written_order_id	job_id	case_id	step	surface	decoded_card_no	decoded_component_parse	decoded_command_de	exact_backward_read
C1-HOLD-LONG-L01	C1-HOLD-LONG	C1	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-HOLD-LONG-L01	C1-HOLD-LONG	C1	2	os	PROC005	OS	ARBEITSFACH	YES
C1-HOLD-LONG-L01	C1-HOLD-LONG	C1	3	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-HOLD-LONG-L01	C1-HOLD-LONG	C1	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-HOLD-LONG-L01	C1-HOLD-LONG	C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1-HOLD-LONG-L01	C1-HOLD-LONG	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1-HOLD-LONG-L02	C1-HOLD-LONG	C1	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-HOLD-LONG-L02	C1-HOLD-LONG	C1	2	os	PROC005	OS	ARBEITSFACH	YES
C1-HOLD-LONG-L02	C1-HOLD-LONG	C1	3	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-HOLD-LONG-L02	C1-HOLD-LONG	C1	4	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-HOLD-LONG-L02	C1-HOLD-LONG	C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1-HOLD-LONG-L02	C1-HOLD-LONG	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1-HOLD-LONG-L03	C1-HOLD-LONG	C1	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-HOLD-LONG-L03	C1-HOLD-LONG	C1	2	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-HOLD-LONG-L03	C1-HOLD-LONG	C1	3	os	PROC005	OS	ARBEITSFACH	YES
C1-HOLD-LONG-L03	C1-HOLD-LONG	C1	4	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-HOLD-LONG-L03	C1-HOLD-LONG	C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1-HOLD-LONG-L03	C1-HOLD-LONG	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1-HOLD-LONG-L04	C1-HOLD-LONG	C1	1	os	PROC005	OS	ARBEITSFACH	YES
C1-HOLD-LONG-L04	C1-HOLD-LONG	C1	2	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-HOLD-LONG-L04	C1-HOLD-LONG	C1	3	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-HOLD-LONG-L04	C1-HOLD-LONG	C1	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-HOLD-LONG-L04	C1-HOLD-LONG	C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1-HOLD-LONG-L04	C1-HOLD-LONG	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1-HOLD-LONG-L05	C1-HOLD-LONG	C1	1	os	PROC005	OS	ARBEITSFACH	YES
C1-HOLD-LONG-L05	C1-HOLD-LONG	C1	2	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-HOLD-LONG-L05	C1-HOLD-LONG	C1	3	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-HOLD-LONG-L05	C1-HOLD-LONG	C1	4	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-HOLD-LONG-L05	C1-HOLD-LONG	C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1-HOLD-LONG-L05	C1-HOLD-LONG	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1-HOLD-LONG-L06	C1-HOLD-LONG	C1	1	os	PROC005	OS	ARBEITSFACH	YES
C1-HOLD-LONG-L06	C1-HOLD-LONG	C1	2	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-HOLD-LONG-L06	C1-HOLD-LONG	C1	3	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-HOLD-LONG-L06	C1-HOLD-LONG	C1	4	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-HOLD-LONG-L06	C1-HOLD-LONG	C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1-HOLD-LONG-L06	C1-HOLD-LONG	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1-HOLD-LONG-L07	C1-HOLD-LONG	C1	1	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-HOLD-LONG-L07	C1-HOLD-LONG	C1	2	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-HOLD-LONG-L07	C1-HOLD-LONG	C1	3	os	PROC005	OS	ARBEITSFACH	YES
C1-HOLD-LONG-L07	C1-HOLD-LONG	C1	4	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-HOLD-LONG-L07	C1-HOLD-LONG	C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1-HOLD-LONG-L07	C1-HOLD-LONG	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1-HOLD-LONG-L08	C1-HOLD-LONG	C1	1	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-HOLD-LONG-L08	C1-HOLD-LONG	C1	2	os	PROC005	OS	ARBEITSFACH	YES
C1-HOLD-LONG-L08	C1-HOLD-LONG	C1	3	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-HOLD-LONG-L08	C1-HOLD-LONG	C1	4	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-HOLD-LONG-L08	C1-HOLD-LONG	C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1-HOLD-LONG-L08	C1-HOLD-LONG	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1-HOLD-SHORT-L01	C1-HOLD-SHORT	C1	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-HOLD-SHORT-L01	C1-HOLD-SHORT	C1	2	os	PROC005	OS	ARBEITSFACH	YES
C1-HOLD-SHORT-L01	C1-HOLD-SHORT	C1	3	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-HOLD-SHORT-L01	C1-HOLD-SHORT	C1	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-HOLD-SHORT-L01	C1-HOLD-SHORT	C1	5	tshey	PROC122	SH+E+Y	HALTEN · KURZ · ARBEITSPOSTEN	YES
C1-HOLD-SHORT-L01	C1-HOLD-SHORT	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1-HOLD-SHORT-L02	C1-HOLD-SHORT	C1	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-HOLD-SHORT-L02	C1-HOLD-SHORT	C1	2	os	PROC005	OS	ARBEITSFACH	YES
