job_id	case_id	variant_kind	slot_node	slot_function	base_surface	base_card_no	base_command	replacement_surface	replacement_surface_card_candidates	replacement_card_no	replacement_component_parse	replacement_command	job_reading_de	existing_word	existing_card	existing_surface
C1-HOLD-LONG	C1	BASE	H	HOLD_GRADE	shey	PROC031	HALTEN · LANG · ARBEITSPOSTEN	shey	1	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	DEN POSTEN LAENGER HALTEN	YES	YES	YES
C1-HOLD-SHORT	C1	SUBSTITUTED	H	HOLD_GRADE	shey	PROC031	HALTEN · LANG · ARBEITSPOSTEN	tshey	1	PROC122	SH+E+Y	HALTEN · KURZ · ARBEITSPOSTEN	DEN POSTEN KURZ HALTEN	YES	YES	YES
C2-CLOSE-FULL	C2	BASE	C	CLOSE_GRADE	qokeeedy	PROC119	ANSETZEN · VOLL; SCHLUSS	qokeeedy	1	PROC119	OK+EEE+DY	ANSETZEN · VOLL; SCHLUSS	BIS ZUM VOLLGRAD ANSETZEN UND SCHLIESSEN	YES	YES	YES
C2-CLOSE-LONG	C2	SUBSTITUTED	C	CLOSE_GRADE	qokeeedy	PROC119	ANSETZEN · VOLL; SCHLUSS	qokeedy	1	PROC100	OK+EE+DY	ANSETZEN · LANG; SCHLUSS	LAENGER ANSETZEN UND SCHLIESSEN	YES	YES	YES
C2-CLOSE-SHORT	C2	SUBSTITUTED	C	CLOSE_GRADE	qokeeedy	PROC119	ANSETZEN · VOLL; SCHLUSS	qokedy	1	PROC067	OK+E+DY	ANSETZEN · KURZ; SCHLUSS	KURZ ANSETZEN UND SCHLIESSEN	YES	YES	YES
C3-HOLD-LONG	C3	BASE	H	HOLD_GRADE	shey	PROC031	HALTEN · LANG · ARBEITSPOSTEN	shey	1	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	DEN AUSZUG LAENGER HALTEN	YES	YES	YES
C3-HOLD-SHORT	C3	SUBSTITUTED	H	HOLD_GRADE	shey	PROC031	HALTEN · LANG · ARBEITSPOSTEN	tshey	1	PROC122	SH+E+Y	HALTEN · KURZ · ARBEITSPOSTEN	DEN AUSZUG KURZ HALTEN	YES	YES	YES
C4-STANDARD-MEASURE	C4	BASE	M	QUANTITY	qokaiin	PROC038	ANSETZEN · SOLLMASS	qokaiin	1	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	SOLLMASS VOR PORTION UND NACHPORTION	YES	YES	YES
C4-DOUBLE-PORTION	C4	SUBSTITUTED	M	QUANTITY	qokaiin	PROC038	ANSETZEN · SOLLMASS	qokain	1	PROC080	OK+AIN	ANSETZEN · PORTION	PORTION, ZWEITE PORTION UND NACHPORTION	YES	YES	YES
C5-STANDARD-MEASURE	C5	BASE	M	QUANTITY	qokaiin	PROC038	ANSETZEN · SOLLMASS	qokaiin	1	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	ZUTAT NACH SOLLMASS	YES	YES	YES
C5-PORTION	C5	SUBSTITUTED	M	QUANTITY	qokaiin	PROC038	ANSETZEN · SOLLMASS	qokain	1	PROC080	OK+AIN	ANSETZEN · PORTION	ZUTAT NACH PORTION	YES	YES	YES
