master_event_id	master_statement_no	docket_id	owner	owner_handoff_before	line_no	line_column	global_position	source_practice_event	component_recipe	selected_card	surface	input_work_state	output_work_state	physical_line_ends_after	statement_ends_after	backread_de
MP001	1	FD01	PLANT	NO	1	1	1	FD01-E01	OK+Y	PROC011	okchy	OWNER_OPEN	OPEN_ACTIVE	NO	NO	ANSETZEN · DIES
MP002	1	FD01	PLANT	NO	1	2	2	FD01-E02	AIIN	PROC009	aiin	OPEN_ACTIVE	OPEN_ACTIVE	NO	YES	MASS
MP003	2	FD02	PLANT	NO	1	3	3	FD02-E01	HO	PROC052	cho	OPEN_ACTIVE	OPEN_ACTIVE	NO	NO	ZUTAT
MP004	2	FD02	PLANT	NO	1	4	4	FD02-E02	OK+Y	PROC011	okchy	OPEN_ACTIVE	OPEN_ACTIVE	YES	NO	ANSETZEN · DIES
MP005	2	FD02	PLANT	NO	2	1	5	FD02-E03	K+HO+AR	PROC063	kchoar	OPEN_ACTIVE	OPEN_ACTIVE	NO	YES	ZUDOSIEREN · ZUTAT · QUELLE
MP006	3	FD05	PLANT	NO	2	2	6	FD05-E01	AIIN	PROC009	aiin	OPEN_ACTIVE	OPEN_ACTIVE	NO	NO	MASS
MP007	3	FD05	PLANT	NO	2	3	7	FD05-E02	CHD+Y	PROC042	chdy	OPEN_ACTIVE	OPEN_ACTIVE	NO	NO	UMSETZEN · DIES
MP008	3	FD05	PLANT	NO	2	4	8	FD05-E03	TALAM	PROC043	talam	OPEN_ACTIVE	OPEN_ACTIVE	NO	YES	VERWAHREN
MP009	4	FD08	PLANT	NO	2	5	9	FD08-E01	AIIN	PROC009	aiin	OPEN_ACTIVE	OPEN_ACTIVE	NO	NO	MASS
MP010	4	FD08	PLANT	NO	2	6	10	FD08-E02	CHD+DY	PROC094	dchdy	OPEN_ACTIVE	CLOSED	YES	NO	UMSETZEN · SCHLUSS
MP011	4	FD08	PLANT	NO	3	1	11	FD08-E03	OR	PROC016	or	CLOSED	REOPENED_ACTIVE	NO	YES	ANSATZ
MP012	5	FD03	BASIN	YES	3	2	12	FD03-E01	AIIN	PROC009	aiin	OWNER_OPEN	OPEN_ACTIVE	NO	NO	MASS
MP013	5	FD03	BASIN	NO	3	3	13	FD03-E02	OK+Y	PROC008	oky	OPEN_ACTIVE	OPEN_ACTIVE	NO	NO	ANSETZEN · DIES
MP014	5	FD03	BASIN	NO	3	4	14	FD03-E03	AL	PROC055	al	OPEN_ACTIVE	OPEN_ACTIVE	NO	YES	ZIEL
MP015	6	FD04	BASIN	NO	3	5	15	FD04-E01	CHD+DY	PROC076	dchedy	OPEN_ACTIVE	CLOSED	YES	NO	UMSETZEN · SCHLUSS
MP016	6	FD04	BASIN	NO	4	1	16	FD04-E02	CHD+Y	PROC133	chedchy	CLOSED	REOPENED_ACTIVE	NO	NO	UMSETZEN · DIES
MP017	6	FD04	BASIN	NO	4	2	17	FD04-E03	OK+AL	PROC048	okal	REOPENED_ACTIVE	OPEN_ACTIVE	NO	YES	ANSETZEN · ZIEL
MP018	7	FD06	BASIN	NO	4	3	18	FD06-E01	CHD+DY	PROC076	dchedy	OPEN_ACTIVE	CLOSED	NO	YES	UMSETZEN · SCHLUSS
MP019	8	FD09	BASIN	NO	4	4	19	FD09-E01	T+E+Y	PROC090	ytey	CLOSED	REOPENED_ACTIVE	NO	NO	EINTRAGEN · KURZ · DIES
MP020	8	FD09	BASIN	NO	4	5	20	FD09-E02	OK+CHD+DY	PROC091	okchedy	REOPENED_ACTIVE	CLOSED	NO	YES	ANSETZEN · UMSETZEN · SCHLUSS
MP021	9	FD10	BASIN	NO	4	6	21	FD10-E01	OK+CHD+DY	PROC082	qokchdy	CLOSED	CLOSED	NO	YES	ANSETZEN · UMSETZEN · SCHLUSS
MP022	10	FD12	BASIN	NO	4	7	22	FD12-E01	CHD+DY	PROC076	dchedy	CLOSED	CLOSED	YES	NO	UMSETZEN · SCHLUSS
MP023	10	FD12	BASIN	NO	5	1	23	FD12-E02	CHD+Y	PROC042	chdy	CLOSED	REOPENED_ACTIVE	NO	NO	UMSETZEN · DIES
MP024	10	FD12	BASIN	NO	5	2	24	FD12-E03	AIIN	PROC009	aiin	REOPENED_ACTIVE	OPEN_ACTIVE	NO	YES	MASS
MP025	11	FD07	APPARATUS	YES	5	3	25	FD07-E01	CKH+Y	PROC075	chckhy	OWNER_OPEN	OPEN_ACTIVE	NO	NO	DURCHLASS · DIES
MP026	11	FD07	APPARATUS	NO	5	4	26	FD07-E02	CHD+DY	PROC076	dchedy	OPEN_ACTIVE	CLOSED	NO	YES	UMSETZEN · SCHLUSS
MP027	12	FD11	APPARATUS	NO	5	5	27	FD11-E01	OK+CHD+DY	PROC082	qokchdy	CLOSED	CLOSED	YES	YES	ANSETZEN · UMSETZEN · SCHLUSS
