writer_order	event_id	macro_item	local_macro	macro_phase	component_parse	procedure_primitive	reading_de
1	E001	W:H1-S001	PFLANZENAUSZUG ZWEIMAL ABZIEHEN UND DOSIEREN	P1_PFLANZENANSATZ	CH+E+Y	SOURCE_DRAW	Kurz Material von der abgebildeten Pflanze abnehmen.
2	E002	W:H1-S001	PFLANZENAUSZUG ZWEIMAL ABZIEHEN UND DOSIEREN	P1_PFLANZENANSATZ	CTH+O+OR	ACTIVATE_CHARGE	Aus diesem Material einen bereiten Pflanzenansatz setzen.
3	E003	W:H1-S001	PFLANZENAUSZUG ZWEIMAL ABZIEHEN UND DOSIEREN	P1_PFLANZENANSATZ	AR	SOURCE_DRAW	Aus dem laufenden Pflanzenansatz speisen.
4	E004	W:H1-S001	PFLANZENAUSZUG ZWEIMAL ABZIEHEN UND DOSIEREN	P2_ERSTER_AUSZUG	T+Y	ACTIVATE_CHARGE	Den Pflanzenansatz in das Arbeitsfach füllen.
5	E005	W:H1-S001	PFLANZENAUSZUG ZWEIMAL ABZIEHEN UND DOSIEREN	P2_ERSTER_AUSZUG	OS	TARGET_HANDOFF	Das örtlich gelernte Auszugsfach oder den Empfänger wählen.
6	E006	W:H1-S001	PFLANZENAUSZUG ZWEIMAL ABZIEHEN UND DOSIEREN	P2_ERSTER_AUSZUG	CH+AIR	SOURCE_DRAW	Die erste Laufflüssigkeit aus dem Arbeitsfach abziehen.
7	E007	W:H1-S001	PFLANZENAUSZUG ZWEIMAL ABZIEHEN UND DOSIEREN	P3_ZWEITER_AUSZUG_UND_DOSIS	OT+Y+T+CH+OL	SOURCE_DRAW	Danach erneut füllen, weiter ausziehen und die zweite Fraktion gewinnen.
8	E008	W:H1-S001	PFLANZENAUSZUG ZWEIMAL ABZIEHEN UND DOSIEREN	P3_ZWEITER_AUSZUG_UND_DOSIS	OK+Y	CONTINUE_USE	Die zweite Auszugsfraktion verwenden.
9	E009	W:H1-S001	PFLANZENAUSZUG ZWEIMAL ABZIEHEN UND DOSIEREN	P3_ZWEITER_AUSZUG_UND_DOSIS	AIIN	METER_CHECK	Die zweite Fraktion auf Sollmaß setzen.
10	E010	W:H1-S001	PFLANZENAUSZUG ZWEIMAL ABZIEHEN UND DOSIEREN	P3_ZWEITER_AUSZUG_UND_DOSIS	E+T+Y	ACTIVATE_CHARGE	Die dosierte Auszugsfraktion kurz einfüllen oder ansetzen.
