held_collection	model	queries	top1	top5	top1_rate	top5_rate	mrr100	mean_top1_transition_jaccard
b4	SIZE_ONLY	239	15	82	0.062761506	0.343096234	0.195172279	0.471275933
b4	UNORDERED_GRAPH	239	144	186	0.602510460	0.778242678	0.685356961	0.753733781
b4	ORDERED_FIELD_GRAPH	239	119	140	0.497907950	0.585774059	0.548246616	0.730300803
b4	ORDERED_REPEAT_GRAPH	239	137	166	0.573221757	0.694560669	0.637714514	0.733673053
b4	GLOBAL_OPAQUE_ID_CEILING	239	229	237	0.958158996	0.991631799	0.973500697	0.878047934
b6	SIZE_ONLY	15	0	1	0.000000000	0.066666667	0.033221307	0.419807622
b6	UNORDERED_GRAPH	15	2	3	0.133333333	0.200000000	0.166260504	0.533070296
b6	ORDERED_FIELD_GRAPH	15	1	2	0.066666667	0.133333333	0.093367216	0.518763156
b6	ORDERED_REPEAT_GRAPH	15	1	2	0.066666667	0.133333333	0.105464903	0.483148001
b6	GLOBAL_OPAQUE_ID_CEILING	15	5	9	0.333333333	0.600000000	0.452671569	0.568990743
br1	SIZE_ONLY	10	0	0	0.000000000	0.000000000	0.005660522	0.528260765
br1	UNORDERED_GRAPH	10	0	0	0.000000000	0.000000000	0.004743519	0.546557280
br1	ORDERED_FIELD_GRAPH	10	1	1	0.100000000	0.100000000	0.107547219	0.538545868
br1	ORDERED_REPEAT_GRAPH	10	0	0	0.000000000	0.000000000	0.015502126	0.457060748
br1	GLOBAL_OPAQUE_ID_CEILING	10	2	2	0.200000000	0.200000000	0.225327960	0.504129560
bs1	SIZE_ONLY	81	4	7	0.049382716	0.086419753	0.075804841	0.448883590
bs1	UNORDERED_GRAPH	81	7	11	0.086419753	0.135802469	0.126515272	0.507663151
bs1	ORDERED_FIELD_GRAPH	81	6	11	0.074074074	0.135802469	0.107717462	0.497296310
bs1	ORDERED_REPEAT_GRAPH	81	4	10	0.049382716	0.123456790	0.087069824	0.477592703
bs1	GLOBAL_OPAQUE_ID_CEILING	81	44	56	0.543209877	0.691358025	0.622281947	0.577601401
gr1	SIZE_ONLY	101	1	5	0.009900990	0.049504950	0.043174000	0.461243224
gr1	UNORDERED_GRAPH	101	4	15	0.039603960	0.148514851	0.092609280	0.525203925
gr1	ORDERED_FIELD_GRAPH	101	5	11	0.049504950	0.108910891	0.090773152	0.507745598
gr1	ORDERED_REPEAT_GRAPH	101	6	14	0.059405941	0.138613861	0.103637371	0.494900943
gr1	GLOBAL_OPAQUE_ID_CEILING	101	51	68	0.504950495	0.673267327	0.581872468	0.612102410
w1	SIZE_ONLY	242	58	108	0.239669421	0.446280992	0.343136707	0.605546420
w1	UNORDERED_GRAPH	242	138	177	0.570247934	0.731404959	0.641625662	0.755405950
w1	ORDERED_FIELD_GRAPH	242	124	137	0.512396694	0.566115702	0.550501234	0.735080015
w1	ORDERED_REPEAT_GRAPH	242	136	164	0.561983471	0.677685950	0.621575997	0.727707941
w1	GLOBAL_OPAQUE_ID_CEILING	242	230	240	0.950413223	0.991735537	0.966942149	0.880946046
