exam_id	role	unit_ordinal	unit_id	surface_or_recipe	knowledge_source	memory_expected	lookup_expected	result
X01_HERBAL_CLOSE	HERBAL_SCRIBE	1	PROC038	qokaiin :: OK+AIIN	COMMON_12_ACTIVE_MEMORY	YES	NO	PASS
X01_HERBAL_CLOSE	HERBAL_SCRIBE	2	PROC009	chaiin :: AIIN	COMMON_12_ACTIVE_MEMORY	YES	NO	PASS
X01_HERBAL_CLOSE	HERBAL_SCRIBE	3	PROC039	ykain :: Y+K+AIN	ROLE_SPECIALIST_CARD_MEMORY	YES	NO	PASS
X01_HERBAL_CLOSE	HERBAL_SCRIBE	4	PROC040	ykan :: Y+K+AN	ROLE_SPECIALIST_CARD_MEMORY	YES	NO	PASS
X01_HERBAL_CLOSE	HERBAL_SCRIBE	5	PROC041	ody :: O+DY	ROLE_SPECIALIST_CARD_MEMORY	YES	NO	PASS
X02_BIO_GRADE_CARRY	BIO_STATION_SCRIBE	1	PROC092	qokeey :: OK+EE+Y	ROLE_SPECIALIST_CARD_MEMORY	YES	NO	PASS
X02_BIO_GRADE_CARRY	BIO_STATION_SCRIBE	2	PROC008	qoky :: OK+Y	COMMON_12_ACTIVE_MEMORY	YES	NO	PASS
X02_BIO_GRADE_CARRY	BIO_STATION_SCRIBE	3	PROC115	ls :: OL	ROLE_SPECIALIST_CARD_MEMORY	YES	NO	PASS
X02_BIO_GRADE_CARRY	BIO_STATION_SCRIBE	4	PROC031	cheey :: SH+EE+Y	COMMON_12_ACTIVE_MEMORY	YES	NO	PASS
X03_MASTER_LOCAL_TAIL	MASTER_CORRECTOR	1	PROC001	dchey :: CH+E+Y	ROLE_SPECIALIST_CARD_MEMORY	YES	NO	PASS
X03_MASTER_LOCAL_TAIL	MASTER_CORRECTOR	2	PROC002	cthoor :: CTH+O+OR	ROLE_SPECIALIST_CARD_MEMORY	YES	NO	PASS
X03_MASTER_LOCAL_TAIL	MASTER_CORRECTOR	3	PROC003	char :: AR	COMMON_12_ACTIVE_MEMORY	YES	NO	PASS
X03_MASTER_LOCAL_TAIL	MASTER_CORRECTOR	4	PROC004	chty :: T+Y	SHARED_5_REFERENCE_LOOKUP	NO	YES	PASS
X03_MASTER_LOCAL_TAIL	MASTER_CORRECTOR	5	PROC005	os :: OS	ROLE_SPECIALIST_CARD_MEMORY	YES	NO	PASS
X03_MASTER_LOCAL_TAIL	MASTER_CORRECTOR	6	PROC006	chair :: CH+AIR	ROLE_SPECIALIST_CARD_MEMORY	YES	NO	PASS
X03_MASTER_LOCAL_TAIL	MASTER_CORRECTOR	7	PROC007	otytchol :: OT+Y+T+CH+OL	ROLE_SPECIALIST_CARD_MEMORY	YES	NO	PASS
X03_MASTER_LOCAL_TAIL	MASTER_CORRECTOR	8	PROC008	oky :: OK+Y	COMMON_12_ACTIVE_MEMORY	YES	NO	PASS
X03_MASTER_LOCAL_TAIL	MASTER_CORRECTOR	9	PROC009	daiin :: AIIN	COMMON_12_ACTIVE_MEMORY	YES	NO	PASS
X03_MASTER_LOCAL_TAIL	MASTER_CORRECTOR	10	PROC010	etyd :: E+T+Y	ROLE_SPECIALIST_CARD_MEMORY	YES	NO	PASS
X04_ASTRO_OWNER_COPY	ASTRO_TABLE_SCRIBE	1	A3:G108	A3:G108	ASTRO_LOCAL_MODEL_LOOKUP	NO	YES	PASS
X04_ASTRO_OWNER_COPY	ASTRO_TABLE_SCRIBE	2	A3:G109	A3:G109	ASTRO_LOCAL_MODEL_LOOKUP	NO	YES	PASS
