event_id	page	record	statement_id	card_no	surface	component_recipe	selected_roots	portable_contributions_de	composed_reading_de	statement_position	contains_close
E003	f10r	H1	H1-S001	PROC003	char	AR	AR	VORRAT	VORRAT	MEDIAL	NO
E006	f10r	H1	H1-S001	PROC006	chair	CH+AIR	AIR	FLUESSIGKEITSLAUF	ABNEHMEN · FLUESSIGKEITSLAUF	MEDIAL	NO
E007	f10r	H1	H1-S001	PROC007	otytchol	OT+Y+T+CH+OL	OT+OL	DANACH · FORTSETZEN	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	MEDIAL	NO
E012	f10r	H1	H1-S002	PROC012	qotchol	OT+CH+OL	OT+OL	DANACH · FORTSETZEN	DANACH · ABNEHMEN · FORTSETZEN	MEDIAL	NO
E013	f10r	H1	H1-S002	PROC013	chol	OL	OL	FORTSETZEN	FORTSETZEN	MEDIAL	NO
E019	f10r	H2	H2-S001	PROC018	qoctholy	O+CTH+OL+Y	OL	FORTSETZEN	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	MEDIAL	NO
E024	f10r	H2	H2-S002	PROC020	qotchor	OT+CH+OR	OT	DANACH	DANACH · ABNEHMEN · ANSATZ	ENTRY	NO
E026	f10r	H2	H2-S002	PROC021	otol	OT+OL	OT+OL	DANACH · FORTSETZEN	DANACH · FORTSETZEN	MEDIAL	NO
E027	f10r	H2	H2-S002	PROC013	chol	OL	OL	FORTSETZEN	FORTSETZEN	MEDIAL	NO
E028	f10r	H2	H2-S002	PROC022	cholor	OL+OR	OL	FORTSETZEN	FORTSETZEN · ANSATZ	MEDIAL	NO
E029	f10r	H2	H2-S002	PROC013	chol	OL	OL	FORTSETZEN	FORTSETZEN	MEDIAL	NO
E031	f10r	H2	H2-S002	PROC003	dar	AR	AR	VORRAT	VORRAT	FINAL	NO
E039	f11r	H3	H3-S001	PROC026	tshol	T+SH+OL	OL	FORTSETZEN	EINTRAGEN · HALTEN · FORTSETZEN	ENTRY	NO
E040	f11r	H3	H3-S001	PROC027	schoal	SH+O+AL	AL	ZIELSTELLE	HALTEN · ARBEITSGANG · ZIELSTELLE	MEDIAL	NO
E052	f11r	H3	H3-S004	PROC036	qotchy	OT+Y	OT	DANACH	DANACH · ARBEITSPOSTEN	ENTRY	NO
E053	f11r	H3	H3-S004	PROC037	okchol	OK+OL	OL	FORTSETZEN	ANSETZEN · FORTSETZEN	MEDIAL	NO
E065	f55v	H4	H4-S003	PROC045	cheoar	CH+E+O+AR	AR	VORRAT	ABNEHMEN · KURZ · ARBEITSGANG · VORRAT	MEDIAL	NO
E067	f55v	H4	H4-S003	PROC047	oldy	OL+DY	OL	FORTSETZEN	FORTSETZEN; SCHLUSS	FINAL	YES
E069	f55v	H4	H4-S004	PROC048	okal	OK+AL	AL	ZIELSTELLE	ANSETZEN · ZIELSTELLE	MEDIAL	NO
E070	f55v	H4	H4-S004	PROC049	oltchy	OL+T+Y	OL	FORTSETZEN	FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN	MEDIAL	NO
E076	f56r	H5	H5-S001	PROC053	chodaly	HO+AL+Y	AL	ZIELSTELLE	ZUTAT · ZIELSTELLE · ARBEITSPOSTEN	MEDIAL	NO
E079	f56r	H5	H5-S001	PROC054	kchol	K+OL	OL	FORTSETZEN	ZUDOSIEREN · FORTSETZEN	MEDIAL	NO
