card_no	surfaces	component_recipe	selected_roots	portable_contributions_de	composed_reading_de	events	pages	event_ids
PROC003	char|dar|sar	AR	AR	VORRAT	VORRAT	5	f10r|f81v|f82r|f83r	E003|E031|E105|E199|E238
PROC006	chair	CH+AIR	AIR	FLUESSIGKEITSLAUF	ABNEHMEN · FLUESSIGKEITSLAUF	1	f10r	E006
PROC007	otytchol	OT+Y+T+CH+OL	OT+OL	DANACH · FORTSETZEN	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	1	f10r	E007
PROC012	qotchol	OT+CH+OL	OT+OL	DANACH · FORTSETZEN	DANACH · ABNEHMEN · FORTSETZEN	1	f10r	E012
PROC013	cheol|chol|ol|qol|sol|tol	OL	OL	FORTSETZEN	FORTSETZEN	19	f10r|f81v|f83r	E013|E027|E029|E106|E110|E114|E121|E124|E133|E135|E148|E154|E295|E324|E343|E366|E370|E376|E378
PROC018	qoctholy	O+CTH+OL+Y	OL	FORTSETZEN	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	1	f10r	E019
PROC020	otchor|qotchor	OT+CH+OR	OT	DANACH	DANACH · ABNEHMEN · ANSATZ	2	f10r|f56r	E024|E080
PROC021	otol	OT+OL	OT+OL	DANACH · FORTSETZEN	DANACH · FORTSETZEN	1	f10r	E026
PROC022	cholor|olor	OL+OR	OL	FORTSETZEN	FORTSETZEN · ANSATZ	2	f10r|f81v	E028|E113
PROC026	tshol	T+SH+OL	OL	FORTSETZEN	EINTRAGEN · HALTEN · FORTSETZEN	1	f11r	E039
PROC027	schoal	SH+O+AL	AL	ZIELSTELLE	HALTEN · ARBEITSGANG · ZIELSTELLE	1	f11r	E040
PROC036	qotchy	OT+Y	OT	DANACH	DANACH · ARBEITSPOSTEN	1	f11r	E052
PROC037	okchol	OK+OL	OL	FORTSETZEN	ANSETZEN · FORTSETZEN	1	f11r	E053
PROC045	cheoar	CH+E+O+AR	AR	VORRAT	ABNEHMEN · KURZ · ARBEITSGANG · VORRAT	1	f55v	E065
PROC047	oldy	OL+DY	OL	FORTSETZEN	FORTSETZEN; SCHLUSS	2	f55v|f83r	E067|E337
PROC048	okal|qokal	OK+AL	AL	ZIELSTELLE	ANSETZEN · ZIELSTELLE	6	f55v|f81v|f82r|f83r	E069|E104|E152|E172|E186|E241
PROC049	oltchy	OL+T+Y	OL	FORTSETZEN	FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN	1	f55v	E070
PROC053	chodaly	HO+AL+Y	AL	ZIELSTELLE	ZUTAT · ZIELSTELLE · ARBEITSPOSTEN	1	f56r	E076
PROC054	kchol	K+OL	OL	FORTSETZEN	ZUDOSIEREN · FORTSETZEN	1	f56r	E079
PROC055	al|chal|cheal|dal|sal|tal	AL	AL	ZIELSTELLE	ZIELSTELLE	10	f56r|f81v|f82r|f83r	E082|E109|E156|E166|E214|E268|E272|E278|E359|E365
PROC062	kchal	K+AL	AL	ZIELSTELLE	ZUDOSIEREN · ZIELSTELLE	1	f56r	E093
PROC063	kchoar	K+HO+AR	AR	VORRAT	ZUDOSIEREN · ZUTAT · VORRAT	1	f56r	E096
PROC064	sotodan	OT+O+AIN	OT	DANACH	DANACH · ARBEITSGANG · PORTION	1	f56r	E097
PROC065	otchey	OT+Y	OT	DANACH	DANACH · ARBEITSPOSTEN	2	f56r|f83r	E098|E321
PROC066	keol	K+E+OL	OL	FORTSETZEN	ZUDOSIEREN · KURZ · FORTSETZEN	1	f56r	E099
PROC068	kair	K+AIR	AIR	FLUESSIGKEITSLAUF	ZUDOSIEREN · FLUESSIGKEITSLAUF	1	f81v	E103
PROC070	olkain|qolkain	OL+K+AIN	OL	FORTSETZEN	FORTSETZEN · ZUDOSIEREN · PORTION	2	f81v|f83r	E108|E358
PROC071	rol	R+OL	OL	FORTSETZEN	KUEHLEN · FORTSETZEN	1	f81v	E111
PROC072	dl	L	L	WEITERLEITEN	WEITERLEITEN	2	f81v	E112|E129
PROC073	sheckhal	SH+E+CKH+AL	AL	ZIELSTELLE	HALTEN · KURZ · DURCHLASSKANAL · ZIELSTELLE	1	f81v	E115
PROC074	qokeedal	OK+EE+AL	AL	ZIELSTELLE	ANSETZEN · LANG · ZIELSTELLE	1	f81v	E117
PROC079	olchedy|qolchedy	OL+CHD+DY	OL	FORTSETZEN	FORTSETZEN · UMSETZEN; SCHLUSS	3	f81v|f82r|f83r	E126|E168|E242
PROC081	ral	R+AL	AL	ZIELSTELLE	KUEHLEN · ZIELSTELLE	1	f81v	E130
PROC088	lchedal	L+CHD+AL	L+AL	WEITERLEITEN · ZIELSTELLE	WEITERLEITEN · UMSETZEN · ZIELSTELLE	1	f81v	E147
PROC089	otar	OT+AR	OT+AR	DANACH · VORRAT	DANACH · VORRAT	1	f81v	E149
PROC093	teol	E+OL	OL	FORTSETZEN	KURZ · FORTSETZEN	1	f81v	E157
PROC095	ly	L+Y	L	WEITERLEITEN	WEITERLEITEN · ARBEITSPOSTEN	1	f81v	E159
PROC096	dsheol	SH+E+OL	OL	FORTSETZEN	HALTEN · KURZ · FORTSETZEN	1	f81v	E160
PROC101	lcheckhy	L+CKH+Y	L	WEITERLEITEN	WEITERLEITEN · DURCHLASSKANAL · ARBEITSPOSTEN	1	f82r	E173
PROC102	lched	L+CHD	L	WEITERLEITEN	WEITERLEITEN · UMSETZEN	1	f82r	E174
PROC103	lcheckhedy	L+CKH+E+DY	L	WEITERLEITEN	WEITERLEITEN · DURCHLASSKANAL · KURZ; SCHLUSS	1	f82r	E176
PROC104	qokaly	OK+AL+Y	AL	ZIELSTELLE	ANSETZEN · ZIELSTELLE · ARBEITSPOSTEN	1	f82r	E177
PROC106	octheol	O+CTH+E+OL	OL	FORTSETZEN	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN	1	f82r	E182
PROC108	ldy	L+DY	L	WEITERLEITEN	WEITERLEITEN; SCHLUSS	2	f82r|f83r	E184|E308
PROC109	oteey	OT+EE+Y	OT	DANACH	DANACH · LANG · ARBEITSPOSTEN	2	f82r	E185|E218
PROC112	otaiin|sotaiin	OT+AIIN	OT	DANACH	DANACH · SOLLMASS	3	f82r|f83r	E190|E306|E312
PROC113	qokar	OK+AR	AR	VORRAT	ANSETZEN · VORRAT	1	f82r	E191
PROC114	solshedy	OL+SH+E+DY	OL	FORTSETZEN	FORTSETZEN · HALTEN · KURZ; SCHLUSS	1	f82r	E193
PROC115	ls	OL	OL	FORTSETZEN	FORTSETZEN	1	f82r	E196
PROC116	lchy	L+CH+Y	L	WEITERLEITEN	WEITERLEITEN · ABNEHMEN · ARBEITSPOSTEN	1	f82r	E202
PROC118	lcheey	L+EE+Y	L	WEITERLEITEN	WEITERLEITEN · LANG · ARBEITSPOSTEN	1	f82r	E206
PROC120	lchedy	L+CHD+DY	L	WEITERLEITEN	WEITERLEITEN · UMSETZEN; SCHLUSS	8	f82r|f83r	E210|E235|E246|E262|E269|E282|E345|E357
PROC121	lar	L+AR	L+AR	WEITERLEITEN · VORRAT	WEITERLEITEN · VORRAT	1	f82r	E211
PROC123	lchedar	L+CHD+AR	L+AR	WEITERLEITEN · VORRAT	WEITERLEITEN · UMSETZEN · VORRAT	1	f82r	E215
PROC126	rsheal	R+SH+E+AL	AL	ZIELSTELLE	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	1	f82r	E222
PROC127	daldy	AL+DY	AL	ZIELSTELLE	ZIELSTELLE; SCHLUSS	1	f82r	E223
PROC129	qoteedy	OT+EE+DY	OT	DANACH	DANACH · LANG; SCHLUSS	2	f82r|f83r	E226|E292
PROC130	lochedy	L+O+CHD+DY	L	WEITERLEITEN	WEITERLEITEN · ARBEITSGANG · UMSETZEN; SCHLUSS	1	f82r	E228
PROC131	otal|qotal	OT+AL	OT+AL	DANACH · ZIELSTELLE	DANACH · ZIELSTELLE	3	f83r	E230|E237|E320
PROC134	pchedal	P+CHD+AL	AL	ZIELSTELLE	EINFUELLEN · UMSETZEN · ZIELSTELLE	1	f83r	E248
PROC135	otedy	OT+E+DY	OT	DANACH	DANACH · KURZ; SCHLUSS	2	f83r	E249|E307
PROC137	chary	AR+Y	AR	VORRAT	VORRAT · ARBEITSPOSTEN	1	f83r	E253
PROC138	okair	OK+AIR	AIR	FLUESSIGKEITSLAUF	ANSETZEN · FLUESSIGKEITSLAUF	1	f83r	E260
PROC140	lo	L+O	L	WEITERLEITEN	WEITERLEITEN · ARBEITSGANG	1	f83r	E263
PROC142	shedal	SHED+AL	AL	ZIELSTELLE	ABSETZEN · ZIELSTELLE	2	f83r	E275|E364
PROC144	dalchdy	AL+CHD+DY	AL	ZIELSTELLE	ZIELSTELLE · UMSETZEN; SCHLUSS	1	f83r	E280
PROC145	otchedy|qotchedy	OT+CHD+DY	OT	DANACH	DANACH · UMSETZEN; SCHLUSS	2	f83r	E281|E301
PROC146	cheedar	EE+AR	AR	VORRAT	LANG · VORRAT	1	f83r	E285
PROC147	chldaiin	L+AIIN	L	WEITERLEITEN	WEITERLEITEN · SOLLMASS	1	f83r	E286
PROC148	chealror	AL+R+OR	AL	ZIELSTELLE	ZIELSTELLE · KUEHLEN · ANSATZ	1	f83r	E290
PROC150	schedair	CHD+AIR	AIR	FLUESSIGKEITSLAUF	UMSETZEN · FLUESSIGKEITSLAUF	1	f83r	E300
PROC152	qotedaiin	OT+E+AIIN	OT	DANACH	DANACH · KURZ · SOLLMASS	1	f83r	E305
PROC153	olsaly	OL+AL+Y	OL+AL	FORTSETZEN · ZIELSTELLE	FORTSETZEN · ZIELSTELLE · ARBEITSPOSTEN	1	f83r	E313
PROC154	qolchey	OL+Y	OL	FORTSETZEN	FORTSETZEN · ARBEITSPOSTEN	1	f83r	E316
PROC158	okeeol	OK+EE+OL	OL	FORTSETZEN	ANSETZEN · LANG · FORTSETZEN	1	f83r	E340
PROC159	lkedy	L+K+E+DY	L	WEITERLEITEN	WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS	1	f83r	E344
PROC160	qokol	OK+OL	OL	FORTSETZEN	ANSETZEN · FORTSETZEN	1	f83r	E346
PROC162	dairydy	AIR+Y+DY	AIR	FLUESSIGKEITSLAUF	FLUESSIGKEITSLAUF · ARBEITSPOSTEN; SCHLUSS	1	f83r	E351
PROC163	chckhal	CH+CKH+AL	AL	ZIELSTELLE	ABNEHMEN · DURCHLASSKANAL · ZIELSTELLE	1	f83r	E355
PROC165	skar	K+AR	AR	VORRAT	ZUDOSIEREN · VORRAT	1	f83r	E360
PROC166	otchdy	OT+CHD+DY	OT	DANACH	DANACH · UMSETZEN; SCHLUSS	1	f83r	E362
PROC167	lol	L+OL	L+OL	WEITERLEITEN · FORTSETZEN	WEITERLEITEN · FORTSETZEN	1	f83r	E367
PROC168	chdal	CHD+AL	AL	ZIELSTELLE	UMSETZEN · ZIELSTELLE	1	f83r	E368
PROC172	raly	R+AL+Y	AL	ZIELSTELLE	KUEHLEN · ZIELSTELLE · ARBEITSPOSTEN	1	f83r	E375
PROC173	ldalor	L+AL+OR	L+AL	WEITERLEITEN · ZIELSTELLE	WEITERLEITEN · ZIELSTELLE · ANSATZ	1	f83r	E381
