direction_root	attached_component	events
L	DY	13
L	CHD	12
AL	OK	8
OT	DY	7
OL	DY	6
OT	Y	6
OL	E	5
OL	Y	5
AL	CHD	4
AL	R	4
AL	Y	4
L	Y	4
OL	K	4
OT	AIIN	4
OT	CH	4
OT	EE	4
AL	OT	3
AL	SH	3
OL	CHD	3
OL	OK	3
OL	OT	3
OL	SH	3
OL	T	3
OT	AL	3
OT	CHD	3
OT	E	3
OT	OL	3
AL	CKH	2
AL	DY	2
AL	E	2
AL	L	2
AL	OR	2
AL	SHED	2
AR	K	2
AR	L	2
L	AL	2
L	AR	2
L	CKH	2
L	E	2
L	O	2
OL	AIN	2
OL	CH	2
OL	CTH	2
OL	O	2
OL	OR	2
OT	OR	2
AIR	CH	1
AIR	CHD	1
AIR	DY	1
AIR	K	1
AIR	OK	1
AIR	Y	1
AL	CH	1
AL	EE	1
AL	HO	1
AL	K	1
AL	O	1
AL	OL	1
AL	P	1
AR	CH	1
AR	CHD	1
AR	E	1
AR	EE	1
AR	HO	1
AR	O	1
AR	OK	1
AR	OT	1
AR	Y	1
L	AIIN	1
L	CH	1
L	EE	1
L	K	1
L	OL	1
L	OR	1
OL	AL	1
OL	EE	1
OL	L	1
OL	R	1
OT	AIN	1
OT	AR	1
OT	O	1
OT	T	1
