edition	start	word	positions_zero_based	possible_codes	unknown_codes
IT2a	0	charor	33	0,1,2,3,4,5,6,7	
IT2a	0	cheey	7,24	0,1,2,3,4,5	
IT2a	0	chl	25	1,3,4,5,7	
IT2a	0	dal	2,8	0,1,2,3,6	
IT2a	0	dlshedy	0	0,1,2,3,4,5	
IT2a	0	okaiin	32	0,1,2,3,4,5,6,7	
IT2a	0	olol	12	0,1,2,3,4,5,6,7	
IT2a	0	qoin	17	0,1,2,3,6	
IT2a	0	qokain	1,11,15,31	0,1,2,3,4,5,6,7	
IT2a	0	qoky	22	0,1,2,3,4,5	
IT2a	0	qolshey	30	0,1,2,3,4,5,6,7	
IT2a	0	sal	13	0,1,2,3,4,5,6,7	
IT2a	0	shedy	14	0,1,2,3,4,5,6,7	
IT2a	0	sheey	10,29	0,1,2,3,4,5	
IT2a	0	sheolo	27	0,3,6	
IT2a	0	shey	16,19,21	0,1,2	
IT2a	1	charor	33	0,1,2,3,4,5,6,7	
IT2a	1	cheey	7,24	0,1,2,3,4,5	
IT2a	1	chl	25	1,3,4,5,7	
IT2a	1	dal	2,8	0,1,2,3,6	
IT2a	1	dlshedy	0	0,1,3,4,6,7	
IT2a	1	okaiin	32	0,1,2,3,4,5,6,7	
IT2a	1	olol	12	0,1,2,3,4,5,6,7	
IT2a	1	qoin	17	0,1,2,3,6	
IT2a	1	qokain	1,11,15,31	0,1,2,3,4,5,6,7	
IT2a	1	qoky	22	0,1,2,3,4,5	
IT2a	1	qolshey	30	0,1,2,3,4,5,6,7	
IT2a	1	sal	13	0,1,2,3,4,5,6,7	
IT2a	1	shedy	14	0,1,2,3,4,5,6,7	
IT2a	1	sheey	10,29	0,1,2,3,4,5	
IT2a	1	sheolo	27	0,3,6	
IT2a	1	shey	16,19,21	0,1,2	
