edition	candidate	status	inherited_status	initial	final_states	sheolo_codes	independent_confirmation
ZL3b	THEN_REPEAT	NO_CAPACITY	COHERENT_UNCONFIRMED				0
ZL3b	THEN_ONCE	NO_CAPACITY	COHERENT_UNCONFIRMED				0
ZL3b	NOT_REPEAT	NO_CAPACITY	INTERNAL_CONTRADICTION				0
ZL3b	NOT_ONCE	NO_CAPACITY	COHERENT_UNCONFIRMED				0
ZL3b	DESCRIPTION	NO_CAPACITY	DESCRIPTIVE_UNSCORED				0
IT2a	THEN_REPEAT	CONTINUATION_SAT	COHERENT_UNCONFIRMED	1	[0, 1]	[0, 3, 6]	0
IT2a	THEN_ONCE	CONTINUATION_SAT	COHERENT_UNCONFIRMED	1	[0, 1]	[0, 3, 6]	0
IT2a	NOT_REPEAT	INHERITED_CONTRADICTION	INTERNAL_CONTRADICTION				0
IT2a	NOT_ONCE	CONTINUATION_SAT	COHERENT_UNCONFIRMED	0	[0, 1]	[0, 3, 6]	0
IT2a	DESCRIPTION	DESCRIPTION_UNSCORED	DESCRIPTIVE_UNSCORED				0
RF1b	THEN_REPEAT	NO_CAPACITY	COHERENT_UNCONFIRMED				0
RF1b	THEN_ONCE	NO_CAPACITY	COHERENT_UNCONFIRMED				0
RF1b	NOT_REPEAT	NO_CAPACITY	INTERNAL_CONTRADICTION				0
RF1b	NOT_ONCE	NO_CAPACITY	COHERENT_UNCONFIRMED				0
RF1b	DESCRIPTION	NO_CAPACITY	DESCRIPTIVE_UNSCORED				0
