family_stem_id	surface_substring	substring_length	working_family_value_de	content_class	label_count	pages	page_counts	surfaces	source_event_ids	selection_rule	claim_status
G460-F01	otora	5	DROGENFAMILIE	DRUG_OR_INGREDIENT_OBJECT	3	f88v|f89r	f88v:2|f89r:1	otoram|otora|otorain	P1003-E0458|P1003-E0459|P1008-E1093	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
G460-F02	arar	4	DROGENFAMILIE	DRUG_OR_INGREDIENT_OBJECT	3	f88v|f89r	f88v:1|f89r:2	dararda|ararchodaiin|sydarary	P1003-E0557|P1008-E1042|P1008-E1177	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
G460-F03	dara	4	DROGENFAMILIE	DRUG_OR_INGREDIENT_OBJECT	3	f88v|f89r	f88v:2|f89r:1	daramdal|dararda|sydarary	P1003-E0554|P1003-E0557|P1008-E1177	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
G460-F04	ala	3	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	9	f71v|f72r	f71v:2|f72r:7	opalar|otalaiin|okalam|ofaralar|okealar|ralal|olkalaiin|alaly|opalal	P1003-E0606|P1003-E0643|P1008-E0132|P1008-E0171|P1008-E0194|P1008-E0280|P1008-E0350|P1008-E0360|P1008-E0452	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
G460-F05	tal	3	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	5	f71v|f72r	f71v:2|f72r:3	otalody|otalaiin|ytalshdy|otalef|oletal	P1003-E0642|P1003-E0643|P1008-E0133|P1008-E0139|P1008-E0459	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
G460-F06	raii	4	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	4	f71v|f72r	f71v:1|f72r:3	okaraiin|oraiinam|ykaraiin|oraiiral	P1003-E0602|P1008-E0352|P1008-E0418|P1008-E0454	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
G460-F07	kar	3	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	4	f71v|f72r	f71v:1|f72r:3	okaraiin|okaram|okarcham|ykaraiin	P1003-E0602|P1008-E0192|P1008-E0287|P1008-E0418	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
G460-F08	ota	3	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	4	f71v|f72r	f71v:2|f72r:2	otalody|otalaiin|otalef|otainy	P1003-E0642|P1003-E0643|P1008-E0139|P1008-E0176	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
G460-F09	pa	2	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	4	f71v|f72r	f71v:2|f72r:2	opalar|opalor|ypaiin|opalal	P1003-E0606|P1003-E0609|P1008-E0359|P1008-E0452	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
G460-F10	raiin	5	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	f71v|f72r	f71v:1|f72r:2	okaraiin|oraiinam|ykaraiin	P1003-E0602|P1008-E0352|P1008-E0418	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
G460-F11	alar	4	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	f71v|f72r	f71v:1|f72r:2	opalar|ofaralar|okealar	P1003-E0606|P1008-E0171|P1008-E0194	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
G460-F12	kara	4	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	f71v|f72r	f71v:1|f72r:2	okaraiin|okaram|ykaraiin	P1003-E0602|P1008-E0192|P1008-E0418	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
G460-F13	okar	4	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	f71v|f72r	f71v:1|f72r:2	okaraiin|okaram|okarcham	P1003-E0602|P1008-E0192|P1008-E0287	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
G460-F14	opal	4	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	f71v|f72r	f71v:2|f72r:1	opalar|opalor|opalal	P1003-E0606|P1003-E0609|P1008-E0452	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
G460-F15	otal	4	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	f71v|f72r	f71v:2|f72r:1	otalody|otalaiin|otalef	P1003-E0642|P1003-E0643|P1008-E0139	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
G460-F16	otch	4	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	f71v|f72r	f71v:1|f72r:2	otchody|otchoshy|otchdal	P1003-E0599|P1008-E0172|P1008-E0173	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
G460-F17	sho	3	STERNSTELLENFAMILIE	STAR_BEARING_RING_POSITION	3	f71v|f72r	f71v:1|f72r:2	sholshdy|oshodady|ofsholdy	P1003-E0646|P1008-E0127|P1008-E0364	3PLUS_LABELS__ONE_CONTENT_CLASS__BOTH_CLASS_PAGES__MAXIMAL_EQUAL_OCCURRENCE_SET	REPLICATED_OWNER_CLASS_FAMILY_MARKER__NOT_OBJECT_NAME
