edge_stem_id	edge	surface_stem	component_recipe	literal_working_value_de	running_extension_type_count	running_matching_type_count	running_type_precision	running_matching_event_count	running_matching_pages	learned_label_hit_count	learned_label_pages	learned_label_surfaces	working_rule_de	claim_status
G460-E01	PREFIX	otal	OT+AL	DANACH · ZIELORT	4	4	1.000000	5	f71v|f72r|f76r|f95v	3	f71v|f72r	otalaiin|otalef|otalody	linken Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E02	PREFIX	otol	OT+OL	DANACH · FORTSETZEN	4	4	1.000000	4	f24v|f55v|f67r2|f89r	5	f72r|f77r|f89r	otolaiin|otolam|otolarol|otold|otoldy	linken Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E03	PREFIX	al	AL	ZIELORT	17	16	0.941176	22	f55v|f67r2|f71v|f72r|f75r|f76r|f81r|f83r|f88r|f95v	3	f71v|f72r	alaly|alcphy|alif	linken Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E04	PREFIX	ok	OK	SETZEN	81	80	0.987654	257	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	13	f71v|f72r|f88v|f89r	okaircham|okairy|okalam|okalyd|okaraiin|okaram|okarcham|okeal|okealar|oklairdy|okolar|okshdchos|okyd	linken Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E05	PREFIX	ol	OL	FORTSETZEN	56	54	0.964286	138	f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	6	f72r|f77r|f89r	olay|oldam|oletal|olfsheoral|olkalaiin|olkchs	linken Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E06	PREFIX	or	OR	EINHEIT	11	11	1.000000	13	f24v|f55v|f67r2|f72r|f75r|f81r|f82r|f88r|f88v	5	f72r	oraiinam|oraiiral|oralkam|orara|orary	linken Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E07	PREFIX	ot	OT	DANACH	66	66	1.000000	211	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	21	f17r|f71v|f72r|f77r|f88v|f89r	otainy|otalaiin|otalef|otalody|otchdal|otchody|otchoshy|otdordy|oteeary|oteeeon|otokol|otolaiin|otolam|otolarol|otold|otoldy|otora|otorain|otoram|otork|otydary	linken Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E08	PREFIX	sh	SH	HALTEN	118	114	0.966102	420	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	2	f71v|f72r	sharam|sholshdy	linken Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E09	SUFFIX	olaiin	OL+AIIN	FORTSETZEN · WERT	4	4	1.000000	4	f72r|f76r|f88v	1	f77r	otolaiin	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E10	SUFFIX	daiin	AIIN	WERT	26	26	1.000000	53	f10r|f11r|f18r|f1r|f24v|f55v|f67r2|f71v|f72r|f76r|f77r|f81r|f82r|f83r|f88v|f89r|f95v	2	f72r|f89r	ararchodaiin|oeeodaiin	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
G460-E11	SUFFIX	aiin	AIIN	WERT	89	89	1.000000	364	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	9	f71v|f72r|f77r|f89r	ararchodaiin|oeeesaiin|oeeodaiin|okaraiin|olkalaiin|otalaiin|otolaiin|ykaraiin|ypaiin	rechten Funktionsrand lesen; Rest als Namenskern behalten	CALIBRATED_FUNCTION_EDGE__NOT_INDIVIDUAL_NAME
