gdt460_label_id	source_event_id	physical_page	register	locus	owner_de	surface	content_class	hybrid_status	prefix_stem	prefix_recipe	prefix_value_de	learned_center_surface	learned_center_default_de	suffix_stem	suffix_recipe	suffix_value_de	known_edge_character_count	surface_character_count	known_edge_fraction	edge_recipe_trace	owner_family_stem_trace	hybrid_short_default_de	strongest_rival	image_object_id	review_image_sha256
G460-L001	P1003-E0079	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oteeeon	PICTURED_PLANT	FUNCTION_EDGE_PLUS_LEARNED_CORE	ot	OT	DANACH	eeeon	PFLANZENNAME	NONE	NONE	NONE	2	7	0.285714	OT	NONE	DANACH · [PFLANZENNAME:eeeon]	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006106	eccb822a72a8c27045aefa4f19d558dba29ef046c1d8e3772c715a99ee7113b9
G460-L002	P1003-E0080	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oiil	PICTURED_PLANT	WHOLE_LEARNED_LABEL	NONE	NONE	NONE	oiil	PFLANZENNAME	NONE	NONE	NONE	0	4	0.000000	NONE	NONE	[PFLANZENNAME:oiil]	UNANALYZED_WHOLE_NOMENCLATOR_ENTRY	1006106	eccb822a72a8c27045aefa4f19d558dba29ef046c1d8e3772c715a99ee7113b9
G460-L003	P1003-E0596	f71v	CELESTIAL	f71v.2	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	arom	STAR_BEARING_RING_POSITION	WHOLE_LEARNED_LABEL	NONE	NONE	NONE	arom	STERNSTELLENNAME	NONE	NONE	NONE	0	4	0.000000	NONE	NONE	[STERNSTELLENNAME:arom]	UNANALYZED_WHOLE_NOMENCLATOR_ENTRY	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93
G460-L004	P1003-E0597	f71v	CELESTIAL	f71v.3	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	chfaly	STAR_BEARING_RING_POSITION	FUNCTION_EDGE_PLUS_LEARNED_CORE	NONE	NONE	NONE	chf	STERNSTELLENNAME	aly	AL+Y	ZIELORT · POSTEN	3	6	0.500000	AL+Y	NONE	[STERNSTELLENNAME:chf] · ZIELORT · POSTEN	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93
G460-L005	P1003-E0598	f71v	CELESTIAL	f71v.4	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	okolar	STAR_BEARING_RING_POSITION	FUNCTION_EDGE_PLUS_LEARNED_CORE	ok	OK	SETZEN	ol	STERNSTELLENNAME	ar	AR	AUSGANG	4	6	0.666667	OK+AR	NONE	SETZEN · [STERNSTELLENNAME:ol] · AUSGANG	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93
G460-L006	P1003-E0599	f71v	CELESTIAL	f71v.5	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	otchody	STAR_BEARING_RING_POSITION	FUNCTION_EDGE_PLUS_LEARNED_CORE	ot	OT	DANACH	chody	STERNSTELLENNAME	NONE	NONE	NONE	2	7	0.285714	OT	otch=STERNSTELLENFAMILIE	DANACH · [STERNSTELLENNAME:chody]	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93
G460-L007	P1003-E0600	f71v	CELESTIAL	f71v.6	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	alcphy	STAR_BEARING_RING_POSITION	FULL_EDGE_FORMULA	al	AL	ZIELORT	NONE	NONE	cphy	CH+P+Y	NEHMEN · EINSETZEN · POSTEN	6	6	1.000000	AL+CH+P+Y	NONE	ZIELORT · NEHMEN · EINSETZEN · POSTEN	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93
G460-L008	P1003-E0602	f71v	CELESTIAL	f71v.8	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	okaraiin	STAR_BEARING_RING_POSITION	FUNCTION_EDGE_PLUS_LEARNED_CORE	ok	OK	SETZEN	ar	STERNSTELLENNAME	aiin	AIIN	WERT	6	8	0.750000	OK+AIIN	raii=STERNSTELLENFAMILIE|kar=STERNSTELLENFAMILIE|raiin=STERNSTELLENFAMILIE|kara=STERNSTELLENFAMILIE|okar=STERNSTELLENFAMILIE	SETZEN · [STERNSTELLENNAME:ar] · WERT	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93
G460-L009	P1003-E0606	f71v	CELESTIAL	f71v.10	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	opalar	STAR_BEARING_RING_POSITION	FUNCTION_EDGE_PLUS_LEARNED_CORE	NONE	NONE	NONE	opal	STERNSTELLENNAME	ar	AR	AUSGANG	2	6	0.333333	AR	ala=STERNSTELLENFAMILIE|pa=STERNSTELLENFAMILIE|alar=STERNSTELLENFAMILIE|opal=STERNSTELLENFAMILIE	[STERNSTELLENNAME:opal] · AUSGANG	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93
G460-L010	P1003-E0609	f71v	CELESTIAL	f71v.11	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	opalor	STAR_BEARING_RING_POSITION	FUNCTION_EDGE_PLUS_LEARNED_CORE	NONE	NONE	NONE	op	STERNSTELLENNAME	alor	AL+OR	ZIELORT · EINHEIT	4	6	0.666667	AL+OR	pa=STERNSTELLENFAMILIE|opal=STERNSTELLENFAMILIE	[STERNSTELLENNAME:op] · ZIELORT · EINHEIT	RENDERER_EDGE_WITHOUT_SEMANTIC_CONTRIBUTION	1006203	7eaf311574f105436335d50d4e67b33cef6191e32d0c54742d30a7076e966c93
