edge_id	batch_id	span_id	page	physical_folio	locus	ol_ordinal	field_start_ordinal	field_end_ordinal	written_span_eva	registered_fused_form	head_id	body_surface	selection_rule	score_eligible	component_export_credit
G777-E001	GDT777_REGISTERED_WHOLE	G777-S001	f103v	f103	f103v.9	10	11	11	ol lkar	lkar	H4	kar	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E002	GDT777_REGISTERED_SPLIT	G777-S002	f105r	f105	f105r.15	2	3	4	ol r aiin	raiin	H3	aiin	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E003	GDT777_REGISTERED_WHOLE	G777-S003	f106r	f106	f106r.28	2	3	3	ol lcho	lcho	H4	cho	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E004	GDT777_REGISTERED_WHOLE	G777-S004	f107r	f107	f107r.19	2	3	3	ol rar	rar	H3	ar	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E005	GDT777_REGISTERED_WHOLE	G777-S005	f108r	f108	f108r.25	12	13	13	ol rain	rain	H3	ain	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E006	GDT777_REGISTERED_SPLIT	G777-S006	f108v	f108	f108v.24	4	5	6	ol r ain	rain	H3	ain	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E007	GDT777_REGISTERED_WHOLE	G777-S007	f108v	f108	f108v.25	5	6	6	ol lchey	lchey	H4	chey	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E008	GDT777_REGISTERED_WHOLE	G777-S008	f116r	f116	f116r.32	7	8	8	ol lchedy	lchedy	H4	chedy	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E009	GDT777_REGISTERED_WHOLE	G777-S009	f116r	f116	f116r.44	5	6	6	ol lcheor	lcheor	H4	cheor	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E010	GDT777_REGISTERED_WHOLE	G777-S010	f116r	f116	f116r.6	2	3	3	ol lchedy	lchedy	H4	chedy	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E011	GDT777_REGISTERED_SPLIT	G777-S011	f24r	f24	f24r.13	2	3	4	ol s chey	schey	H2	chey	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E012	GDT777_REGISTERED_SPLIT	G777-S012	f55v	f55	f55v.10	2	3	4	ol s aiin	saiin	H2	aiin	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
G777-E013	GDT777_REGISTERED_WHOLE	G777-S013	f75r	f75	f75r.21	6	7	7	ol lor	lor	H4	or	SURFACE_REGISTERED_AND_REQUIRED_TOKENS_READER_EXACT__NO_OCCURRENCE_ID	0	0
