passage_patch_id	page	physical_folio	locus	section	language	hand	selected_spans	fallback_replacements	contextual_sharpenings	selected_units_de	written_line_eva	practical_patch_de	patch_legend	default_is_translation	confirmed_plaintext	component_export_credit
G777-P001	f103v	f103	f103v.9	S	B	3	1	1	0	ol lkar → Binnenfeld: heißer Anteil I	pchal shal shorchdy okeor okaiin shedy pchedy qotchedy qotar ol lkar	pchal shal shorchdy okeor okaiin shedy pchedy qotchedy qotar ⟦Binnenfeld: heißer Anteil I⟧	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P002	f105r	f105	f105r.15	S	B	3	1	0	1	ol r aiin → Bezugsfeld: Wert III	lksheey ol r aiin okeedy olkeeody lkaiin okeeol oteeol shod daiin aral	lksheey ⟦Bezugsfeld: Wert III⟧ okeedy olkeeody lkaiin okeeol oteeol shod daiin aral	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P003	f106r	f106	f106r.28	S	B	3	1	1	0	ol lcho → Binnenfeld: Trockenansatz	okaiin ol lcho rcheo raiin qokaiin chey chokaiin chear ar ol raralchl	okaiin ⟦Binnenfeld: Trockenansatz⟧ rcheo raiin qokaiin chey chokaiin chear ar ol raralchl	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P004	f107r	f107	f107r.19	S	B	3	1	1	0	ol rar → Bezugsfeld: Anteil I	oaiin ol rar sheey ylar aiin cholal dy cheeody okeeey cheodaiin aldy	oaiin ⟦Bezugsfeld: Anteil I⟧ sheey ylar aiin cholal dy cheeody okeeey cheodaiin aldy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P005	f108r	f108	f108r.25	S	B	3	1	1	0	ol rain → Bezugsfeld: Wert II	y cheeor aiin okeey cheol chedy opchsd opchedy alkedy al lkeam ol rain al	y cheeor aiin okeey cheol chedy opchsd opchedy alkedy al lkeam ⟦Bezugsfeld: Wert II⟧ al	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P006	f108v	f108	f108v.24	S	B	3	1	0	1	ol r ain → Bezugsfeld: Wert II	daiin chekeek checkhy ol r ain odar sheey daiin tchar okeedaiin oram	daiin chekeek checkhy ⟦Bezugsfeld: Wert II⟧ odar sheey daiin tchar okeedaiin oram	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P007	f108v	f108	f108v.25	S	B	3	1	0	1	ol lchey → Binnenfeld: trockene Form I	sheeol okeey kaiin okaiin ol lchey ctheo r aiin cheey qokeey qokeeaiin al	sheeol okeey kaiin okaiin ⟦Binnenfeld: trockene Form I⟧ ctheo r aiin cheey qokeey qokeeaiin al	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P008	f116r	f116	f116r.32	S	B	3	1	0	1	ol lchedy → Binnenfeld: Trockenresultat I	olkeey rain shey qor aiin shey ol lchedy rshey qokeedy chtain oly	olkeey rain shey qor aiin shey ⟦Binnenfeld: Trockenresultat I⟧ rshey qokeedy chtain oly	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P009	f116r	f116	f116r.44	S	B	3	1	1	0	ol lcheor → Binnenfeld: Trockenportion	s okeedy qokain shckhy ol lcheor chky raiin chey qol okam	s okeedy qokain shckhy ⟦Binnenfeld: Trockenportion⟧ chky raiin chey qol okam	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P010	f116r	f116	f116r.6	S	B	3	1	1	0	ol lchedy → Binnenfeld: Trockenresultat I	sain ol lchedy chedy otey chedy lain otedy oteey	sain ⟦Binnenfeld: Trockenresultat I⟧ chedy otey chedy lain otedy oteey	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P011	f24r	f24	f24r.13	H	A	1	1	0	1	ol s chey → Unterposten: trockene Form I	oees ol s chey chcth s ar	oees ⟦Unterposten: trockene Form I⟧ chcth s ar	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P012	f55v	f55	f55v.10	H	B	2	1	0	1	ol s aiin → Menge: drei Drachmen	oaiin ol s aiin okaiin oky ytaiin otar y kal ykar ol	oaiin ⟦Menge: drei Drachmen⟧ okaiin oky ytaiin otar y kal ykar ol	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P013	f75r	f75	f75r.21	B	B	2	1	1	0	ol lor → Binnenfeld: Portion	oqokain chey qckhsy or ysheor ol lor am	oqokain chey qckhsy or ysheor ⟦Binnenfeld: Portion⟧ am	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P014	f77v	f77	f77v.41	B	B	2	1	1	0	ol raiin → Bezugsfeld: Wert III	chedy lchedy lkaiin dy qokal dar chdain ldchey ol raiin oldy	chedy lchedy lkaiin dy qokal dar chdain ldchey ⟦Bezugsfeld: Wert III⟧ oldy	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P015	f78r	f78	f78r.37	B	B	2	1	0	1	ol s aiin → Menge: drei Drachmen	osal ol s aiin shee aiin oly	osal ⟦Menge: drei Drachmen⟧ shee aiin oly	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P016	f79r	f79	f79r.23	B	B	2	1	1	0	ol lkain → Binnenfeld: heiße Form II	das shear qotaiin ol lkain otchedy or olkl o tshedy otory	das shear qotaiin ⟦Binnenfeld: heiße Form II⟧ otchedy or olkl o tshedy otory	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P017	f80r	f80	f80r.36	B	B	2	1	1	0	ol lom → Binnenfeld: Zubereitungsmaß	qokeey rchey tain oteey qokain shekaiin sheckhy qolshey qokain ol lom	qokeey rchey tain oteey qokain shekaiin sheckhy qolshey qokain ⟦Binnenfeld: Zubereitungsmaß⟧	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P018	f81v	f81	f81v.1	B	B	2	1	1	0	ol pchedy → Eintragsfeld: Trockenresultat I	par shey keedy shekal dal dar ol pchedy shek dain ofalsheky	par shey keedy shekal dal dar ⟦Eintragsfeld: Trockenresultat I⟧ shek dain ofalsheky	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
G777-P019	f81v	f81	f81v.2	B	B	2	1	1	0	ol rol → Bezugsfeld: Stoffträger	qokedy okaiin kair okal sar ol kain olkain al ol rol dl	qokedy okaiin kair okal sar ⟦und⟧ kain olkain al ⟦Bezugsfeld: Stoffträger⟧ dl	double brackets are replaceable exact-span defaults; unbracketed EVA remains unresolved	0	0	0
