registered_form	head_id	opaque_head_surface	body_surface	semantic_family	guarded_fused_exact_occurrences	guarded_fused_physical_folios	guarded_split_exact_occurrences	guarded_split_physical_folios	renderer_whole_spans	renderer_split_spans	register_cosine_fused_split	line_position_cosine_fused_split	outer_neighbor_cosine_fused_split	gdt759_exact_span_occurrences	gdt759_exact_boundary_bridges	profile_relation	boundary_equivalence_required_for_renderer	literal_spelling_identity_inferred	semantic_identity_inferred	component_export_credit
lchedy	H4	l	chedy	DRY_RESULT_I	75	22	1	1	2	0	0.732072081	0.991206238	0.510867256	0	0	DISTINCT_SURFACE_CONSTRUCTIONS__REGISTERED_BODY_SHARED	0	0	0	0
lcheol	H4	l	cheol	DRY_MATERIAL	8	6	2	2	1	0	0.970725343	0.948683298	0.213200716	0	0	DISTINCT_SURFACE_CONSTRUCTIONS__REGISTERED_BODY_SHARED	0	0	0	0
lcheor	H4	l	cheor	DRY_PART	2	2	0	0	1	0	0.000000000	0.000000000	0.000000000	0	0	FUSED_ONLY_IN_GUARDED_CACHE__NO_SPLIT_CLAIM	0	0	0	0
lchey	H4	l	chey	DRY_FORM_I	37	20	1	1	1	0	0.700972727	0.989753828	0.089802651	0	0	DISTINCT_SURFACE_CONSTRUCTIONS__REGISTERED_BODY_SHARED	0	0	0	0
lcho	H4	l	cho	DRY_PREPARATION	3	2	0	0	1	0	0.000000000	0.000000000	0.000000000	0	0	FUSED_ONLY_IN_GUARDED_CACHE__NO_SPLIT_CLAIM	0	0	0	0
lkain	H4	l	kain	HEATED_FORM_II	27	12	1	1	1	0	0.984495185	0.996815279	0.553398591	0	0	DISTINCT_SURFACE_CONSTRUCTIONS__REGISTERED_BODY_SHARED	0	0	0	0
lkar	H4	l	kar	HEATED_PART	29	13	0	0	1	0	0.000000000	0.000000000	0.000000000	0	0	FUSED_ONLY_IN_GUARDED_CACHE__NO_SPLIT_CLAIM	0	0	0	0
lom	H4	l	om	PREPARATION_MEASURE	4	3	0	0	1	0	0.000000000	0.000000000	0.000000000	0	0	FUSED_ONLY_IN_GUARDED_CACHE__NO_SPLIT_CLAIM	0	0	0	0
lor	H4	l	or	PART_CARRIER	30	17	1	1	1	0	0.117444044	0.977176364	0.316227766	0	0	DISTINCT_SURFACE_CONSTRUCTIONS__REGISTERED_BODY_SHARED	0	0	0	0
pchedy	H1	p	chedy	DRY_RESULT_I	25	18	0	0	1	0	0.000000000	0.000000000	0.000000000	0	0	FUSED_ONLY_IN_GUARDED_CACHE__NO_SPLIT_CLAIM	0	0	0	0
raiin	H3	r	aiin	VALUE_III	45	21	6	6	1	1	0.912547541	0.994989943	0.425998860	0	0	DISTINCT_SURFACE_CONSTRUCTIONS__REGISTERED_BODY_SHARED	0	0	0	0
rain	H3	r	ain	VALUE_II	14	7	4	4	1	1	0.478920744	0.964763821	0.045643546	0	0	DISTINCT_SURFACE_CONSTRUCTIONS__REGISTERED_BODY_SHARED	0	0	0	0
rar	H3	r	ar	PART_VALUE_I	11	8	1	1	1	0	0.000000000	0.995037190	0.000000000	0	0	DISTINCT_SURFACE_CONSTRUCTIONS__REGISTERED_BODY_SHARED	0	0	0	0
rol	H3	r	ol	MATERIAL_CARRIER	14	11	5	5	1	0	0.953462589	0.928476691	0.263752189	0	0	DISTINCT_SURFACE_CONSTRUCTIONS__REGISTERED_BODY_SHARED	0	0	0	0
rsheedy	H3	r	sheedy	MOIST_RESULT_II	2	2	0	0	1	0	0.000000000	0.000000000	0.000000000	0	0	FUSED_ONLY_IN_GUARDED_CACHE__NO_SPLIT_CLAIM	0	0	0	0
saiin	H2	s	aiin	QUANTITY_VALUE_III	89	38	23	21	0	4	0.806676689	0.637794172	0.642244263	23	4	ALTERNATE_READER_BOUNDARY_EQUIVALENT__FIELD_BODY_SHARED	0	0	0	0
schey	H2	s	chey	DRY_FORM_I	4	4	1	1	0	1	1.000000000	0.707106781	0.000000000	0	0	DISTINCT_SURFACE_CONSTRUCTIONS__REGISTERED_BODY_SHARED	0	0	0	0
