entry	head_id	opaque_head_surface	body_surface	semantic_family	preferred_gdt777_default_de	whole_context_default_de	split_context_default_de	confidence	renderer_whole_spans	renderer_split_spans	guarded_fused_exact_occurrences	guarded_split_exact_occurrences	positive_evidence	counterevidence	alternate_1_de	alternate_2_de	profile_relation	scope_status	retired_literal_patient_removed	default_is_translation	confirmed_lexeme	confirmed_plaintext	component_export_credit
lchedy	H4	l	chedy	DRY_RESULT_I	Binnenfeld: Trockenresultat I	Binnenfeld: Trockenresultat I	NONE	C2	2	0	75	1	GDT736 registriert die vollständige H4-Ganzform mit getrocknetem Ergebnis Form I	Ergebnis gegen Zustand und Indexdimension bleiben offen	getrocknete Form I	Endstufe I	DISTINCT_SURFACE_CONSTRUCTIONS__REGISTERED_BODY_SHARED	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	1	0	0	0	0
lcheol	H4	l	cheol	DRY_MATERIAL	Binnenfeld: Trockenmaterial	Binnenfeld: Trockenmaterial	NONE	C1	1	0	8	2	GDT737 registriert die vollständige H4-Ganzform und den body als Trockenmaterial	Material gegen Zubereitung und konkreter Inhalt bleiben offen	Trockenzubereitung	trockenes Inhaltsfeld	DISTINCT_SURFACE_CONSTRUCTIONS__REGISTERED_BODY_SHARED	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	1	0	0	0	0
lcheor	H4	l	cheor	DRY_PART	Binnenfeld: Trockenportion	Binnenfeld: Trockenportion	NONE	C1	1	0	2	0	GDT737 registriert die vollständige H4-Ganzform und den body als trockenen Teil-/Portionsträger	Teil gegen Portion bleibt offen	trockener Teil	Trockenheits-Portion	FUSED_ONLY_IN_GUARDED_CACHE__NO_SPLIT_CLAIM	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	1	0	0	0	0
lchey	H4	l	chey	DRY_FORM_I	Binnenfeld: trockene Form I	Binnenfeld: trockene Form I	NONE	C2	1	0	37	1	GDT736 registriert die vollständige H4-Ganzform mit trockener Form I	Formindex gegen Gradindex bleibt offen	Trockenheitsgrad I	Binnenzustand I	DISTINCT_SURFACE_CONSTRUCTIONS__REGISTERED_BODY_SHARED	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	1	0	0	0	0
lcho	H4	l	cho	DRY_PREPARATION	Binnenfeld: Trockenansatz	Binnenfeld: Trockenansatz	NONE	C1	1	0	3	0	GDT737 registriert die vollständige H4-Ganzform und den body als trockenen Ansatz oder Zubereitung	Ansatz gegen Zustand bleibt offen	trockene Zubereitung	Trockenheitszustand	FUSED_ONLY_IN_GUARDED_CACHE__NO_SPLIT_CLAIM	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	1	0	0	0	0
lkain	H4	l	kain	HEATED_FORM_II	Binnenfeld: heiße Form II	Binnenfeld: heiße Form II	NONE	C1	1	0	27	1	GDT737 registriert die vollständige H4-Ganzform und den body als erhitzte Form Index II	Form gegen Wert sowie Zustand gegen Prozess bleiben offen	erhitzter Wert II	Wärmestufe II	DISTINCT_SURFACE_CONSTRUCTIONS__REGISTERED_BODY_SHARED	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	1	0	0	0	0
lkar	H4	l	kar	HEATED_PART	Binnenfeld: heißer Anteil I	Binnenfeld: heißer Anteil I	NONE	C1	1	0	29	0	GDT737 registriert die vollständige H4-Ganzform und den body als erhitzte Teil-/Fraktionsstufe I	Teil gegen Fraktion sowie Zustand gegen Prozess bleiben offen	heiße Fraktion I	Wärmestufe I	FUSED_ONLY_IN_GUARDED_CACHE__NO_SPLIT_CLAIM	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	1	0	0	0	0
lom	H4	l	om	PREPARATION_MEASURE	Binnenfeld: Zubereitungsmaß	Binnenfeld: Zubereitungsmaß	NONE	C0	1	0	4	0	GDT737 registriert die vollständige H4-Ganzform und den body als Zubereitungsmaß	Einheit und konkrete Maßdimension bleiben offen	Maßfeld	interne Zubereitung	FUSED_ONLY_IN_GUARDED_CACHE__NO_SPLIT_CLAIM	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	1	0	0	0	0
lor	H4	l	or	PART_CARRIER	Binnenfeld: Portion	Binnenfeld: Portion	NONE	C1	1	0	30	1	GDT736 registriert die vollständige H4-Ganzform mit Teil-/Portionsträger	Teil gegen Portion und Träger gegen Relation bleiben offen	Teilträger	Binnenrelation	DISTINCT_SURFACE_CONSTRUCTIONS__REGISTERED_BODY_SHARED	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	1	0	0	0	0
pchedy	H1	p	chedy	DRY_RESULT_I	Eintragsfeld: Trockenresultat I	Eintragsfeld: Trockenresultat I	NONE	C1	1	0	25	0	GDT736 registriert die vollständige H1-Ganzform mit getrocknetem Ergebnis Form I	Die H1-Openerrolle passt nicht automatisch auf diese mediale ol-Position	Trockeneintrag Form I	getrocknete Zustandsstufe I	FUSED_ONLY_IN_GUARDED_CACHE__NO_SPLIT_CLAIM	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	1	0	0	0	0
