registered_form	head_id	body	registry_source	record_role	body_candidate_de	body_confidence	registry_exact_occurrences	registry_renderer_de	inherited_whole_status	semantic_family	selected_whole_field_de	selected_split_field_de	confidence	alternate_1_de	alternate_2_de	positive_evidence	counterevidence	gdt759_exact_expression	scope_status	gdt762_repair_present	gdt762_repair_decision	retired_literal_patient_removed	literal_head_lexeme	default_is_translation	confirmed_lexeme	component_export_credit
lchedy	H4	chedy	GDT736_TRAINING	INTERNAL_BOUND_FIELD_OPERATOR	getrocknetes Ergebnis, Form I	HIGH	75	internes Feld: getrocknetes Ergebnis, Form I	SCOPED_ROLE_DEFAULT__REPLACEABLE_BY_EXACT_WHOLE_EVIDENCE	DRY_RESULT_I	Binnenfeld: Trockenresultat I	NONE	C2	getrocknete Form I	Endstufe I	GDT736 registriert die vollständige H4-Ganzform mit getrocknetem Ergebnis Form I	Ergebnis gegen Zustand und Indexdimension bleiben offen	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	1	UNRESOLVED	0	0	0
lcheol	H4	cheol	GDT737_HELD	INTERNAL_BOUND_FIELD_OPERATOR	Trockenmaterial	MEDIUM_HIGH	8	internes Feld: Trockenmaterial	NO_V99R7_WHOLE_CARD	DRY_MATERIAL	Binnenfeld: Trockenmaterial	NONE	C1	Trockenzubereitung	trockenes Inhaltsfeld	GDT737 registriert die vollständige H4-Ganzform und den body als Trockenmaterial	Material gegen Zubereitung und konkreter Inhalt bleiben offen	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	0	SUPERSEDED_BY_GDT759_S_VALUE_REPAIR	1	UNRESOLVED	0	0	0
lcheor	H4	cheor	GDT737_HELD	INTERNAL_BOUND_FIELD_OPERATOR	trockener Teil-/Portionsträger	HIGH	2	internes Feld: trockener Teil-/Portionsträger	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	DRY_PART	Binnenfeld: Trockenportion	NONE	C1	trockener Teil	Trockenheits-Portion	GDT737 registriert die vollständige H4-Ganzform und den body als trockenen Teil-/Portionsträger	Teil gegen Portion bleibt offen	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	0	SUPERSEDED_BY_GDT759_S_VALUE_REPAIR	1	UNRESOLVED	0	0	0
lchey	H4	chey	GDT736_TRAINING	INTERNAL_BOUND_FIELD_OPERATOR	trockene Form I	HIGH	37	internes Feld: trockene Form I	SCOPED_ROLE_DEFAULT__REPLACEABLE_BY_EXACT_WHOLE_EVIDENCE	DRY_FORM_I	Binnenfeld: trockene Form I	NONE	C2	Trockenheitsgrad I	Binnenzustand I	GDT736 registriert die vollständige H4-Ganzform mit trockener Form I	Formindex gegen Gradindex bleibt offen	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	1	UNRESOLVED	0	0	0
lcho	H4	cho	GDT737_HELD	INTERNAL_BOUND_FIELD_OPERATOR	trockener Ansatz oder Zubereitung	HIGH	3	internes Feld: trockener Ansatz oder Zubereitung	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	DRY_PREPARATION	Binnenfeld: Trockenansatz	NONE	C1	trockene Zubereitung	Trockenheitszustand	GDT737 registriert die vollständige H4-Ganzform und den body als trockenen Ansatz oder Zubereitung	Ansatz gegen Zustand bleibt offen	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	0	SUPERSEDED_BY_GDT759_S_VALUE_REPAIR	1	UNRESOLVED	0	0	0
lkain	H4	kain	GDT737_HELD	INTERNAL_BOUND_FIELD_OPERATOR	erhitzte Form: Index II	HIGH	27	internes Feld: erhitzte Form: Index II	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	HEATED_FORM_II	Binnenfeld: heiße Form II	NONE	C1	erhitzter Wert II	Wärmestufe II	GDT737 registriert die vollständige H4-Ganzform und den body als erhitzte Form Index II	Form gegen Wert sowie Zustand gegen Prozess bleiben offen	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	0	SUPERSEDED_BY_GDT759_S_VALUE_REPAIR	1	UNRESOLVED	0	0	0
lkar	H4	kar	GDT737_HELD	INTERNAL_BOUND_FIELD_OPERATOR	erhitzte Teil-/Fraktionsstufe I	HIGH	29	internes Feld: erhitzte Teil-/Fraktionsstufe I	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	HEATED_PART	Binnenfeld: heißer Anteil I	NONE	C1	heiße Fraktion I	Wärmestufe I	GDT737 registriert die vollständige H4-Ganzform und den body als erhitzte Teil-/Fraktionsstufe I	Teil gegen Fraktion sowie Zustand gegen Prozess bleiben offen	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	0	SUPERSEDED_BY_GDT759_S_VALUE_REPAIR	1	UNRESOLVED	0	0	0
lom	H4	om	GDT737_HELD	INTERNAL_BOUND_FIELD_OPERATOR	Zubereitungsmaß	MEDIUM	4	internes Feld: Zubereitungsmaß	NO_V99R7_WHOLE_CARD	PREPARATION_MEASURE	Binnenfeld: Zubereitungsmaß	NONE	C0	Maßfeld	interne Zubereitung	GDT737 registriert die vollständige H4-Ganzform und den body als Zubereitungsmaß	Einheit und konkrete Maßdimension bleiben offen	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	0	SUPERSEDED_BY_GDT759_S_VALUE_REPAIR	1	UNRESOLVED	0	0	0
lor	H4	or	GDT736_TRAINING	INTERNAL_BOUND_FIELD_OPERATOR	Teil- oder Portionsträger	MEDIUM_HIGH	30	internes Feld: Teil- oder Portionsträger	SCOPED_ROLE_DEFAULT__REPLACEABLE_BY_EXACT_WHOLE_EVIDENCE	PART_CARRIER	Binnenfeld: Portion	NONE	C1	Teilträger	Binnenrelation	GDT736 registriert die vollständige H4-Ganzform mit Teil-/Portionsträger	Teil gegen Portion und Träger gegen Relation bleiben offen	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	1	UNRESOLVED	0	0	0
pchedy	H1	chedy	GDT736_TRAINING	PARAGRAPH_OR_RECORD_OPENER	getrocknetes Ergebnis, Form I	HIGH	25	Eintrag: getrocknetes Ergebnis, Form I	SCOPED_ROLE_DEFAULT__REPLACEABLE_BY_EXACT_WHOLE_EVIDENCE	DRY_RESULT_I	Eintragsfeld: Trockenresultat I	NONE	C1	Trockeneintrag Form I	getrocknete Zustandsstufe I	GDT736 registriert die vollständige H1-Ganzform mit getrocknetem Ergebnis Form I	Die H1-Openerrolle passt nicht automatisch auf diese mediale ol-Position	NONE	EXACT_OL_PLUS_REGISTERED_WHOLE_ONLY	1	GDT736_STRUCTURAL_FORM_OVERRIDES_GDT734_RETIRED_HEAD_NOUN	1	UNRESOLVED	0	0	0
