contrast_id	base_surface	od_surface	base_reading_de	od_reading_de	constant_od_effect_de
C01	ain	odain	PORTION	MARKIERTE PORTION	markiert/eingetragen
C02	air	odair	LAUF/BAHN	MARKIERTER LAUF	markiert/eingetragen
C03	al	odal	ZIEL	MARKIERTES ZIEL	markiert/eingetragen
C04	iiin	odaiiin	STUFE	MARKIERTE STUFE	markiert/eingetragen
C05	cthy	odchecthy	BEREIT	MARKIERT BEREIT	markiert/eingetragen
C06	okar	okodar	QUELLE AKTIVIEREN	MARKIERTE QUELLE AKTIVIEREN	markiert/eingetragen
C07	okeal	okeodal	ZIEL KURZ AKTIVIEREN	MARKIERTES ZIEL KURZ AKTIVIEREN	markiert/eingetragen
C08	okeeal	okeeodal	ZIEL LÄNGER AKTIVIEREN	MARKIERTES ZIEL LÄNGER AKTIVIEREN	markiert/eingetragen
C09	oty	otody	NÄCHSTER POSTEN	NÄCHSTEN POSTEN MARKIEREN	markiert/eingetragen
C10	ykey	ykeody	KLASSENPOSTEN	KLASSENPOSTEN KURZ MARKIEREN	markiert/eingetragen
C11	yto	ytody	PLATZ	PLATZ EINTRAGEN	markiert/eingetragen
