group_serial	opaque_local_id	page	locus	visible_owner	visible_surface	revised_atom_sequence	revised_short_reading_de
12	A1:G012	f67r2	f67r2.5	A1_RIGHT_SECTOR_SLOT_05	ykeody	YK+E+OD+Y	diesen Klassenposten kurz markieren
37	A1:G037	f67r2	f67r2.16	A1_LEFT_LOCAL_FIELD_16	odaeiin	OD+IIN	Arbeits- oder Bedingungsstufe markieren
72	A1:G072	f67r2	f67r2.29	A1_LEFT_LOCAL_FIELD_29	ytody	YT+OD+Y	diesen Platz eintragen
78	A1:G078	f67r2	f67r2.32	A1_LEFT_LOCAL_FIELD_32	odas	OD	Nebenwert markieren
83	A1:G083	f67r2	f67r2.33	A1_LEFT_LOCAL_FIELD_33	odal	OD+AL	Ziel markieren
102	A1:G102	f67r2	f67r2.41	A1_LEFT_LOCAL_FIELD_41	chekody	CHK+OD+Y	erwärmten/gehaltenen Posten markieren
111	A1:G111	f67r2	f67r2.44	A1_LEFT_LOCAL_FIELD_44	sheody	E+OD+Y	diesen gehaltenen Posten kurz markieren
115	A1:G115	f67r2	f67r2.45	A1_LEFT_LOCAL_FIELD_45	odaiiin	OD+IIN	Stufe markieren
144	A1:G144	f67r2	f67r2.63	A1_LEFT_OUTER_STAR_STATION_12	okodar	OK+OD+AR	markierte Quelle aktivieren
149	A1:G149	f67r2	f67r2.67	A1_RIGHT_PHASE_STATION_04	okodar	OK+OD+AR	markierte Quelle aktivieren
179	A1:G179	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	qokeeody	OK+EE+OD+Y	diesen Posten länger aktivieren und eintragen
185	A1:G185	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	okeeody	OK+EE+OD+Y	diesen Posten länger aktivieren und eintragen
187	A1:G187	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	odain	OD+AIN	Portion markieren
205	A2:G015	f68r1	f68r1.2	A2_MIDDLE_PANEL_HEADER	yteody	YT+E+OD+Y	diesen Platz kurz markieren
222	A2:G032	f68r1	f68r1.8	A2_CENTRE_KEY_UNRESOLVED	okodaly	OK+OD+AL+Y	dieses markierte Ziel aktivieren
223	A2:G033	f68r1	f68r1.9	A2_STAR_STATION_01	odchecthy	OD+CTH	Bereitbedingung markieren
244	A2:G054	f68r1	f68r1.30	A2_STAR_STATION_22	oeeody	EE+OD+Y	diesen Posten in langer Stufe eintragen
246	A2:G056	f68r1	f68r1.32	A2_STAR_STATION_24	okeeodal	OK+EE+OD+AL	markiertes Ziel länger aktivieren
269	A3:G014	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	okeeody	OK+EE+OD+Y	diesen Posten länger aktivieren und eintragen
279	A3:G024	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	okeod	OK+E+OD	kurz aktivieren und markieren
288	A3:G033	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	odair	OD+AIR	Lauf oder Bahn markieren
293	A3:G038	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	eykeody	E+YK+E+OD+Y	Klassenposten in kurzer Stufe markieren
326	A3:G071	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	ykeeody	YK+EE+OD+Y	diesen Klassenposten länger markieren
329	A3:G074	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	ody	OD+Y	diesen Posten eintragen
349	A3:G094	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	oteody	OT+E+OD+Y	den nächsten Posten kurz markieren
354	A3:G099	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	okeodal	OK+E+OD+AL	markiertes Ziel kurz aktivieren
359	A3:G104	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	okody	OK+OD+Y	diesen markierten Posten aktivieren
371	A3:G116	f69v	f69v.10	A3_LEFT_RADIAL_SLOT_07	ytody	YT+OD+Y	diesen Platz eintragen
372	A3:G117	f69v	f69v.11	A3_LEFT_RADIAL_SLOT_08	okody	OK+OD+Y	diesen markierten Posten aktivieren
373	A3:G118	f69v	f69v.12	A3_LEFT_RADIAL_SLOT_09	otody	OT+OD+Y	den nächsten Posten markieren
375	A3:G120	f69v	f69v.14	A3_LEFT_RADIAL_SLOT_11	okeod	OK+E+OD	kurz aktivieren und markieren
379	A3:G124	f69v	f69v.18	A3_LEFT_RADIAL_SLOT_15	okeod	OK+E+OD	kurz aktivieren und markieren
383	A3:G128	f69v	f69v.22	A3_LEFT_RADIAL_SLOT_19	ykeody	YK+E+OD+Y	diesen Klassenposten kurz markieren
390	A3:G135	f69v	f69v.27	A3_LEFT_RADIAL_SLOT_24	okeod	OK+E+OD	kurz aktivieren und markieren
391	A3:G136	f69v	f69v.28	A3_LEFT_RADIAL_SLOT_25	okodchy	OK+OD+Y	diesen markierten Posten aktivieren
392	A3:G137	f69v	f69v.29	A3_LEFT_RADIAL_SLOT_26	okeody	OK+E+OD+Y	diesen Posten kurz aktivieren und eintragen
