visible_surface	occurrences	pages	owners	revised_atom_sequence	od_contribution_de	revised_short_reading_de	previous_reading_de	decision
chekody	1	f67r2	A1_LEFT_LOCAL_FIELD_41	CHK+OD+Y	MARKIERT/EINGETRAGEN	erwärmten/gehaltenen Posten markieren	A1_LEFT_LOCAL_FIELD_41: abgeleiteter Klassenwert.	PROMOTE_OD_BOUND_TABLE_MODIFIER
eykeody	1	f69v	A3_LEFT_WHEEL_RING_TEXT	E+YK+E+OD+Y	MARKIERT/EINGETRAGEN	Klassenposten in kurzer Stufe markieren	A3_LEFT_WHEEL_RING_TEXT: ausgewählter Klassenplatz.	PROMOTE_OD_BOUND_TABLE_MODIFIER
odaeiin	1	f67r2	A1_LEFT_LOCAL_FIELD_16	OD+IIN	MARKIERT/EINGETRAGEN	Arbeits- oder Bedingungsstufe markieren	Sternplatz A1_LEFT_LOCAL_FIELD_16: Grad- oder Bedingungsstufe; lokaler Namensrest odae.	PROMOTE_OD_BOUND_TABLE_MODIFIER
odaiiin	1	f67r2	A1_LEFT_LOCAL_FIELD_45	OD+IIN	MARKIERT/EINGETRAGEN	Stufe markieren	Sternplatz A1_LEFT_LOCAL_FIELD_45: Grad- oder Bedingungsstufe; lokaler Namensrest odai.	PROMOTE_OD_BOUND_TABLE_MODIFIER
odain	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	OD+AIN	MARKIERT/EINGETRAGEN	Portion markieren	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest od.	PROMOTE_OD_BOUND_TABLE_MODIFIER
odair	1	f69v	A3_LEFT_WHEEL_RING_TEXT	OD+AIR	MARKIERT/EINGETRAGEN	Lauf oder Bahn markieren	Radstelle A3_LEFT_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest od.	PROMOTE_OD_BOUND_TABLE_MODIFIER
odal	1	f67r2	A1_LEFT_LOCAL_FIELD_33	OD+AL	MARKIERT/EINGETRAGEN	Ziel markieren	Sternplatz A1_LEFT_LOCAL_FIELD_33: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od.	PROMOTE_OD_BOUND_TABLE_MODIFIER
odas	1	f67r2	A1_LEFT_LOCAL_FIELD_32	OD	MARKIERT/EINGETRAGEN	Nebenwert markieren	A1_LEFT_LOCAL_FIELD_32: fester Nebenwert.	PROMOTE_OD_BOUND_TABLE_MODIFIER
odchecthy	1	f68r1	A2_STAR_STATION_01	OD+CTH	MARKIERT/EINGETRAGEN	Bereitbedingung markieren	A2_STAR_STATION_01: feste abgeleitete Bedingung.	PROMOTE_OD_BOUND_TABLE_MODIFIER
ody	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	OD+Y	MARKIERT/EINGETRAGEN	diesen Posten eintragen	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diesen Diagrammposten zuruecknehmen.	PROMOTE_OD_BOUND_TABLE_MODIFIER
oeeody	1	f68r1	A2_STAR_STATION_22	EE+OD+Y	MARKIERT/EINGETRAGEN	diesen Posten in langer Stufe eintragen	Sternplatz A2_STAR_STATION_22: lange oder volle Diagrammstufe; lokaler Namensrest o/ody.	PROMOTE_OD_BOUND_TABLE_MODIFIER
okeeodal	1	f68r1	A2_STAR_STATION_24	OK+EE+OD+AL	MARKIERT/EINGETRAGEN	markiertes Ziel länger aktivieren	Sternplatz A2_STAR_STATION_24: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od.	PROMOTE_OD_BOUND_TABLE_MODIFIER
okeeody	2	f67r2|f69v	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED|A3_LEFT_WHEEL_RING_TEXT	OK+EE+OD+Y	MARKIERT/EINGETRAGEN	diesen Posten länger aktivieren und eintragen	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest ody.	PROMOTE_OD_BOUND_TABLE_MODIFIER
okeod	4	f69v	A3_LEFT_RADIAL_SLOT_11|A3_LEFT_RADIAL_SLOT_15|A3_LEFT_RADIAL_SLOT_24|A3_LEFT_WHEEL_RING_TEXT	OK+E+OD	MARKIERT/EINGETRAGEN	kurz aktivieren und markieren	Radstelle A3_LEFT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren; lokaler Namensrest eod.	PROMOTE_OD_BOUND_TABLE_MODIFIER
okeodal	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	OK+E+OD+AL	MARKIERT/EINGETRAGEN	markiertes Ziel kurz aktivieren	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest eod.	PROMOTE_OD_BOUND_TABLE_MODIFIER
okeody	1	f69v	A3_LEFT_RADIAL_SLOT_26	OK+E+OD+Y	MARKIERT/EINGETRAGEN	diesen Posten kurz aktivieren und eintragen	Radstelle A3_LEFT_RADIAL_SLOT_26: Diagrammposten setzen oder aktivieren; lokaler Namensrest eody.	PROMOTE_OD_BOUND_TABLE_MODIFIER
okodaly	1	f68r1	A2_CENTRE_KEY_UNRESOLVED	OK+OD+AL+Y	MARKIERT/EINGETRAGEN	dieses markierte Ziel aktivieren	Zentrumsmarke A2_CENTRE_KEY_UNRESOLVED: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od/y.	PROMOTE_OD_BOUND_TABLE_MODIFIER
okodar	2	f67r2	A1_LEFT_OUTER_STAR_STATION_12|A1_RIGHT_PHASE_STATION_04	OK+OD+AR	MARKIERT/EINGETRAGEN	markierte Quelle aktivieren	Sternplatz A1_LEFT_OUTER_STAR_STATION_12: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest od.	PROMOTE_OD_BOUND_TABLE_MODIFIER
okodchy	1	f69v	A3_LEFT_RADIAL_SLOT_25	OK+OD+Y	MARKIERT/EINGETRAGEN	diesen markierten Posten aktivieren	Radstelle A3_LEFT_RADIAL_SLOT_25: Diagrammposten setzen oder aktivieren; lokaler Namensrest odchy.	PROMOTE_OD_BOUND_TABLE_MODIFIER
okody	2	f69v	A3_LEFT_RADIAL_SLOT_08|A3_RIGHT_WHEEL_RING_TEXT	OK+OD+Y	MARKIERT/EINGETRAGEN	diesen markierten Posten aktivieren	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren; lokaler Namensrest ody.	PROMOTE_OD_BOUND_TABLE_MODIFIER
oteody	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	OT+E+OD+Y	MARKIERT/EINGETRAGEN	den nächsten Posten kurz markieren	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung; lokaler Namensrest eody.	PROMOTE_OD_BOUND_TABLE_MODIFIER
otody	1	f69v	A3_LEFT_RADIAL_SLOT_09	OT+OD+Y	MARKIERT/EINGETRAGEN	den nächsten Posten markieren	Radstelle A3_LEFT_RADIAL_SLOT_09: naechster Platz oder folgende Bedingung; lokaler Namensrest ody.	PROMOTE_OD_BOUND_TABLE_MODIFIER
