language	rank	locus	page	section	token_count	decoded_chars	score_bits_per_char	rendered
latin	1	f75r.38	f75r	B	6	8	-2.879764791251235	rritermi
latin	2	f54v.4	f54v	H	8	8	-2.915594710552667	ed [cheky] ateman
latin	3	f21r.1	f21r	H	9	9	-2.966093618500874	to [o]  [eeockhy]  [o]  [fychey] lerites
latin	4	f86v6.42	f86v6	T	10	11	-2.980186350658394	ttell [lt] ossaqu
latin	5	f76r.33	f76r	T	16	22	-3.038524013157959	iseiniremi [l] tentatime [r] ate
latin	6	f80r.40	f80r	B	7	8	-3.0409676070595175	 [torolshsdy] ne [shepchy] umtima
latin	7	f82r.6	f82r	B	9	12	-3.0436159279892525	ciebatben [sheky] tel
latin	8	f108r.30	f108r	S	8	9	-3.0508211582382447	iaes [chokedy]  [o] inema [alkan]
latin	9	f107v.47	f107v	S	11	13	-3.1020620587104473	ods [okeoteey] tetesnoste
latin	10	f76r.42	f76r	T	12	13	-3.119203806401463	nee [lsh] maccedelin [shecthy]  [otalam]
latin	11	f83v.16	f83v	B	10	12	-3.152787161543815	ntn [sheckhey] sentuteco
latin	12	f56v.10	f56v	H	8	10	-3.15701260163184	antsihae [chotor] on
italian	1	f22r.5	f22r	H	10	10	-2.825395073799989	angendempo [choldchy]
italian	2	f23v.8	f23v	H	9	11	-2.988523379669456	tantol [g] ndeen
italian	3	f86v6.42	f86v6	T	10	11	-3.0164167322181274	ttell [lt] ossaqu
italian	4	f76v.27	f76v	B	11	10	-3.040045909640398	nferma [chek] o [r] o [o] is [chlaiiin]
italian	5	f106r.10	f106r	S	9	9	-3.09555759047166	 [pshoair]  [lkeeshedy] teepietei [qotoky]
italian	6	f114r.18	f114r	S	7	8	-3.10465147698024	como [cheodeeey] eder [daildain]
italian	7	f77v.37	f77v	B	8	11	-3.1443345791090462	lem [sarolsheedy] tedonnae
italian	8	f54v.4	f54v	H	8	8	-3.1465162609780712	ed [cheky] ateman
italian	9	f36v.7	f36v	H	7	9	-3.183095952994944	piano [o]  [s] etas
italian	10	f34v.11	f34v	H	7	9	-3.2510354968942266	rsdi [s] oveni
italian	11	f107r.21	f107r	S	11	15	-3.301573610586049	 [taror] enutinaatacesco
italian	12	f108r.30	f108r	S	8	8	-3.314457537678741	iaes [chokedy]  [o] inel [alkan]
