global_teaching_order	hierarchy_level	entry_id	surface_symbol_or_pattern	minimal_dictionary_value_de	dictionary_status	original_layer_function	concrete_content_source
1	L1_ATOMIC_ROOT	ROOT_AIIN	AIIN	Sollwert	WORDLIKE_PRODUCTIVE_COMPONENT	sollwert	OWNER supplies the concrete noun or address
2	L1_ATOMIC_ROOT	ROOT_AIN	AIN	Anteil	WORDLIKE_PRODUCTIVE_COMPONENT	portion	OWNER supplies the concrete noun or address
3	L1_ATOMIC_ROOT	ROOT_IIN	IIN	Stufe	WORDLIKE_PRODUCTIVE_COMPONENT	stufe	OWNER supplies the concrete noun or address
4	L1_ATOMIC_ROOT	ROOT_AL	AL	Ziel	WORDLIKE_PRODUCTIVE_COMPONENT	ziel	OWNER supplies the concrete noun or address
5	L1_ATOMIC_ROOT	ROOT_AR	AR	Quelle	WORDLIKE_PRODUCTIVE_COMPONENT	quelle	OWNER supplies the concrete noun or address
6	L1_ATOMIC_ROOT	ROOT_AIR	AIR	Lauf	WORDLIKE_PRODUCTIVE_COMPONENT	Lauf/Bahn	OWNER supplies the concrete noun or address
7	L1_ATOMIC_ROOT	ROOT_OK	OK	ansetzen	WORDLIKE_PRODUCTIVE_COMPONENT	ansetzen	OWNER supplies the concrete noun or address
8	L1_ATOMIC_ROOT	ROOT_OL	OL	weiter	WORDLIKE_PRODUCTIVE_COMPONENT	fortsetzen	OWNER supplies the concrete noun or address
9	L1_ATOMIC_ROOT	ROOT_OT	OT	danach	WORDLIKE_PRODUCTIVE_COMPONENT	folgend	OWNER supplies the concrete noun or address
10	L1_ATOMIC_ROOT	ROOT_OR	OR	Ansatz	WORDLIKE_PRODUCTIVE_COMPONENT	Ansatz	OWNER supplies the concrete noun or address
11	L1_ATOMIC_ROOT	ROOT_Y	Y	dies	WORDLIKE_PRODUCTIVE_COMPONENT	dieser Posten	OWNER supplies the concrete noun or address
12	L1_ATOMIC_ROOT	ROOT_E	E	kurz	WORDLIKE_PRODUCTIVE_COMPONENT	kurz	OWNER supplies the concrete noun or address
13	L1_ATOMIC_ROOT	ROOT_EE	EE	länger	WORDLIKE_PRODUCTIVE_COMPONENT	laenger	OWNER supplies the concrete noun or address
14	L1_ATOMIC_ROOT	ROOT_EEE	EEE	vollständig	WORDLIKE_PRODUCTIVE_COMPONENT	voll	OWNER supplies the concrete noun or address
15	L1_ATOMIC_ROOT	ROOT_CLOSE	CLOSE	Ende	WORDLIKE_PRODUCTIVE_COMPONENT	schluss	OWNER supplies the concrete noun or address
16	L1_ATOMIC_ROOT	ROOT_CHD	CHD	umsetzen	WORDLIKE_PRODUCTIVE_COMPONENT	umsetzen	OWNER supplies the concrete noun or address
17	L1_ATOMIC_ROOT	ROOT_CTH	CTH	bereit	WORDLIKE_PRODUCTIVE_COMPONENT	bereit	OWNER supplies the concrete noun or address
18	L1_ATOMIC_ROOT	ROOT_CKH	CKH	Durchlass	WORDLIKE_PRODUCTIVE_COMPONENT	durchlauf	OWNER supplies the concrete noun or address
19	L1_ATOMIC_ROOT	ROOT_CKHE	CKHE	trennen	WORDLIKE_PRODUCTIVE_COMPONENT	trennen	OWNER supplies the concrete noun or address
20	L1_ATOMIC_ROOT	ROOT_CHK	CHK	wärmen	WORDLIKE_PRODUCTIVE_COMPONENT	waermen	OWNER supplies the concrete noun or address
21	L1_ATOMIC_ROOT	ROOT_SHED	SHED	absetzen	WORDLIKE_PRODUCTIVE_COMPONENT	absetzen	OWNER supplies the concrete noun or address
22	L1_ATOMIC_ROOT	ROOT_SOLK	SOLK	sammeln	WORDLIKE_PRODUCTIVE_COMPONENT	sammeln	OWNER supplies the concrete noun or address
23	L1_ATOMIC_ROOT	ROOT_HO	HO	Zutat	WORDLIKE_PRODUCTIVE_COMPONENT	eingangsposten	OWNER supplies the concrete noun or address
24	L1_ATOMIC_ROOT	ROOT_CHEO	CHEO	Auszug	WORDLIKE_PRODUCTIVE_COMPONENT	Auszug	OWNER supplies the concrete noun or address
25	L1_ATOMIC_ROOT	ROOT_KCH	KCH	bearbeiten	WORDLIKE_PRODUCTIVE_COMPONENT	bearbeiten	OWNER supplies the concrete noun or address
26	L1_ATOMIC_ROOT	ROOT_TY	TY	Teil	WORDLIKE_PRODUCTIVE_COMPONENT	teil	OWNER supplies the concrete noun or address
27	L1_ATOMIC_ROOT	ROOT_SH	SH	halten	WORDLIKE_PRODUCTIVE_COMPONENT	halten	OWNER supplies the concrete noun or address
28	L1_ATOMIC_ROOT	ROOT_CHEEY	CHEEY	Ergebnis	WORDLIKE_PRODUCTIVE_COMPONENT	sichtbares Ergebnis	OWNER supplies the concrete noun or address
29	L2_LEARNED_NOMENCLATOR	N01_CFH	cfhy	auswringen	LEARNED_WHOLE_CARD_VALUE	auswringen	learned workshop convention and local owner
30	L2_LEARNED_NOMENCLATOR	N02_CPH	cphy|ocphy	nachseihen	LEARNED_WHOLE_CARD_VALUE	zweiter durchgang	learned workshop convention and local owner
31	L2_LEARNED_NOMENCLATOR	N03_PARTITION	ches|chety|chty	teilen	LEARNED_WHOLE_CARD_VALUE	abteilen	learned workshop convention and local owner
32	L2_LEARNED_NOMENCLATOR	N04_HO	cho|sho|tshol	Zutat	LEARNED_WHOLE_CARD_VALUE	eingangsposten	learned workshop convention and local owner
33	L2_LEARNED_NOMENCLATOR	N05_DCHE	dchey	Wurzelteil	LEARNED_WHOLE_CARD_VALUE	unterer pflanzenteil	learned workshop convention and local owner
34	L2_LEARNED_NOMENCLATOR	N06_PREV	dchol|schol	vorher	LEARNED_WHOLE_CARD_VALUE	voriger posten	learned workshop convention and local owner
35	L2_LEARNED_NOMENCLATOR	N07_WASH	lshedy|lsho|rshedy	waschen	LEARNED_WHOLE_CARD_VALUE	waschgang	learned workshop convention and local owner
36	L2_LEARNED_NOMENCLATOR	N08_LDDY	qokylddy	befestigen	LEARNED_WHOLE_CARD_VALUE	festmachen und schließen	learned workshop convention and local owner
37	L2_LEARNED_NOMENCLATOR	N09_SK	skar	ausgießen	LEARNED_WHOLE_CARD_VALUE	ausgiessen	learned workshop convention and local owner
38	L2_LEARNED_NOMENCLATOR	N10_DAN	sotodan	anwenden	LEARNED_WHOLE_CARD_VALUE	anwenden	learned workshop convention and local owner
39	L2_LEARNED_NOMENCLATOR	N11_DL	dl	Zusatz	LEARNED_WHOLE_CARD_VALUE	zusatz	learned workshop convention and local owner
40	L2_LEARNED_NOMENCLATOR	N12_TALAM	talam	verwahren	LEARNED_WHOLE_CARD_VALUE	am ziel verwahren	learned workshop convention and local owner
