unit_id	page	owner	group_count	surface_sequence	minimal_card_sequence_de	clause_shape_sequence	owner_augmented_minimal_reading_de	rich_master_reading_de
H1-S001	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	10	dchey cthoor char chty os chair otytchol oky daiin etyd	Wurzel als aktueller Posten; bereit + Ansatz; Quelle; teilen + Teil; Mischgefäß; Lauf; danach + Teil + weiter; ansetzen + dies; Sollwert; kurz + Teil	C01>C05>C09>C06>C01>C09>C02>C07>C10>C10	Bei der ganzen breitblättrigen gezähnten Bildpflanze: Wurzel als aktueller Posten; bereit + Ansatz; Quelle; teilen + Teil; Mischgefäß; Lauf; danach + Teil + weiter; ansetzen + dies; Sollwert; kurz + Teil.	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.
H1-S002	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	4	qokchy qotchol chol cthy	ansetzen + dies; danach + weiter; weiter; bereit + dies	C07>C02>C02>C07	Bei der ganzen breitblättrigen gezähnten Bildpflanze: ansetzen + dies; danach + weiter; weiter; bereit + dies.	Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.
H2-S001	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	dies + Auszug + Ansatz; bereit + dies; Ansatz; bereit + Sollwert; bereit + weiter + dies; dies; dies; Sollwert; dies	C09>C07>C09>C06>C02>C12>C12>C10>C12	Bei der ganzen breitblättrigen gezähnten Bildpflanze: dies + Auszug + Ansatz; bereit + dies; Ansatz; bereit + Sollwert; bereit + weiter + dies; dies; dies; Sollwert; dies.	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.
H2-S002	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	8	qotchor chor otol chol cholor chol daiin dar	danach + Ansatz; Ansatz; danach + weiter; weiter; weiter + Ansatz; weiter; Sollwert; Quelle	C02>C09>C02>C02>C02>C02>C10>C09	Bei der ganzen breitblättrigen gezähnten Bildpflanze: danach + Ansatz; Ansatz; danach + weiter; weiter; weiter + Ansatz; weiter; Sollwert; Quelle.	Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.
H2-S003	f10r	der ganzen breitblättrigen gezähnten Bildpflanze	7	oykchor shor chor chy kaiiin dy chodaiin	dies + bearbeiten + Ansatz; Ansatz; Ansatz; dies; Stufe; dies; Zutatenmaß	C05>C09>C09>C12>C10>C12>C01	Bei der ganzen breitblättrigen gezähnten Bildpflanze: dies + bearbeiten + Ansatz; Ansatz; Ansatz; dies; Stufe; dies; Zutatenmaß.	Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.
H3-S001	f11r	der ganzen dicht blau bekrönten Bildpflanze	7	tshol schoal cfhy shfydaiin cphy shey tchody	Zutat entnehmen; Zutat an die Arbeitsstelle geben; auswringen + dies; halten + Sollwert; nachseihen + dies; klarer Auszug; Eingangsposten beiseitestellen; Schluss	C01>C01>C07>C06>C07>C01>C01	Bei der ganzen dicht blau bekrönten Bildpflanze: Zutat entnehmen; Zutat an die Arbeitsstelle geben; auswringen + dies; halten + Sollwert; nachseihen + dies; klarer Auszug; Eingangsposten beiseitestellen; Schluss.	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.
H3-S002	f11r	der ganzen dicht blau bekrönten Bildpflanze	1	shoyty	Zutatenteil	C01	Bei der ganzen dicht blau bekrönten Bildpflanze: Zutatenteil.	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.
H3-S003	f11r	der ganzen dicht blau bekrönten Bildpflanze	5	dchol chy kchy dy daiin	vorher + weiter; dies; bearbeiten + dies; dies; Sollwert	C02>C12>C07>C12>C10	Bei der ganzen dicht blau bekrönten Bildpflanze: vorher + weiter; dies; bearbeiten + dies; dies; Sollwert.	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.
H3-S004	f11r	der ganzen dicht blau bekrönten Bildpflanze	4	qotchy okchol cthy dy	danach + dies; ansetzen + weiter; bereit + dies; dies	C02>C02>C07>C12	Bei der ganzen dicht blau bekrönten Bildpflanze: danach + dies; ansetzen + weiter; bereit + dies; dies.	Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.
H4-S001	f55v	der ganzen breitblättrigen rispigen Bildpflanze	5	qokaiin chaiin ykain ykan ody	ansetzen + Sollwert; Sollwert; dies + Anteil; dies + Anteil; kühlen	C06>C10>C10>C10>C01	Bei der ganzen breitblättrigen rispigen Bildpflanze: ansetzen + Sollwert; Sollwert; dies + Anteil; dies + Anteil; kühlen.	Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.
