source_group_id	unit_id	page	visible_surface	atom_sequence	minimal_component_reading_de	minimal_card_reading_de	reading_source	clause_shape_id	unresolved_internal_atom	rich_content_not_in_dictionary
E001	H1-S001	f10r	dchey	DCHE+Y	Wurzelteil + dies	Wurzel als aktueller Posten	LEARNED_WHOLE_CARD	C01	NO	YES
E002	H1-S001	f10r	cthoor	CTH+OR	bereit + Ansatz	bereit + Ansatz	PRODUCTIVE_COMPONENTS	C05	NO	YES
E003	H1-S001	f10r	char	AR	Quelle	Quelle	PRODUCTIVE_COMPONENTS	C09	NO	YES
E004	H1-S001	f10r	chty	PARTITION+TY	teilen + Teil	teilen + Teil	PRODUCTIVE_COMPONENTS	C06	NO	YES
E005	H1-S001	f10r	os	OS	Gefäß	Mischgefäß	LEARNED_WHOLE_CARD	C01	NO	YES
E006	H1-S001	f10r	chair	AIR	Lauf	Lauf	PRODUCTIVE_COMPONENTS	C09	NO	YES
E007	H1-S001	f10r	otytchol	OT+TY+OL	danach + Teil + weiter	danach + Teil + weiter	PRODUCTIVE_COMPONENTS	C02	NO	YES
E008	H1-S001	f10r	oky	OK+Y	ansetzen + dies	ansetzen + dies	PRODUCTIVE_COMPONENTS	C07	NO	YES
E009	H1-S001	f10r	daiin	AIIN	Sollwert	Sollwert	PRODUCTIVE_COMPONENTS	C10	NO	YES
E010	H1-S001	f10r	etyd	E+TY	kurz + Teil	kurz + Teil	PRODUCTIVE_COMPONENTS	C10	NO	YES
E011	H1-S002	f10r	qokchy	OK+Y	ansetzen + dies	ansetzen + dies	PRODUCTIVE_COMPONENTS	C07	NO	YES
E012	H1-S002	f10r	qotchol	OT+OL	danach + weiter	danach + weiter	PRODUCTIVE_COMPONENTS	C02	NO	YES
E013	H1-S002	f10r	chol	OL	weiter	weiter	PRODUCTIVE_COMPONENTS	C02	NO	YES
E014	H1-S002	f10r	cthy	CTH+Y	bereit + dies	bereit + dies	PRODUCTIVE_COMPONENTS	C07	NO	YES
E015	H2-S001	f10r	ycheor	Y+CHEO+OR	dies + Auszug + Ansatz	dies + Auszug + Ansatz	PRODUCTIVE_COMPONENTS	C09	NO	YES
E016	H2-S001	f10r	cthy	CTH+Y	bereit + dies	bereit + dies	PRODUCTIVE_COMPONENTS	C07	NO	YES
E017	H2-S001	f10r	chor	OR	Ansatz	Ansatz	PRODUCTIVE_COMPONENTS	C09	NO	YES
E018	H2-S001	f10r	cthaiin	CTH+AIIN	bereit + Sollwert	bereit + Sollwert	PRODUCTIVE_COMPONENTS	C06	NO	YES
E019	H2-S001	f10r	qoctholy	CTH+OL+Y	bereit + weiter + dies	bereit + weiter + dies	PRODUCTIVE_COMPONENTS	C02	NO	YES
E020	H2-S001	f10r	dy	Y	dies	dies	PRODUCTIVE_COMPONENTS	C12	NO	YES
E021	H2-S001	f10r	chy	Y	dies	dies	PRODUCTIVE_COMPONENTS	C12	NO	YES
E022	H2-S001	f10r	taiin	AIIN	Sollwert	Sollwert	PRODUCTIVE_COMPONENTS	C10	NO	YES
E023	H2-S001	f10r	shy	Y	dies	dies	PRODUCTIVE_COMPONENTS	C12	NO	YES
