source_position	joint_tuple_id	atomic_value_de	copy_one_surface	copy_two_surface	copy_three_surface	distinct_observed_surfaces	registered_surface_palette	productive_core	core_value_de	composition	status	unseen_registered_surfaces
1	2cc054357a929df85f64	Zutat	sho	cho	sho	2	cho|sho	HO	Zutat	ENTRY_WRAPPER+HO	PRODUCTIVE_WRAPPER_PARADIGM	NONE
2	7a4bb8136330ee4e6e56	Ansatz	sor	chor	shor	3	chor|or|shor|sor	OR	Ansatz	ENTRY_WRAPPER+OR	PRODUCTIVE_WRAPPER_PARADIGM	or
3	807591efc3d3f7ddbfab	Auszugnahme	cheoar	cheoar	cheoar	1	cheoar	NONE	WHOLE_CARD	FIXED_CARD_OR_FIXED_COMPOUND	FIXED_CARD	NONE
4	d904bf7b044dd3922781	Kurzwärme	cheky	cheky	cheky	1	cheky	NONE	WHOLE_CARD	FIXED_CARD_OR_FIXED_COMPOUND	FIXED_CARD	NONE
5	5fca8fc3dee57e1d8c1f	Klarabzug	lcheey	lcheey	lcheey	1	lcheey	NONE	WHOLE_CARD	FIXED_CARD_OR_FIXED_COMPOUND	FIXED_CARD	NONE
6	deb377381ceaf55ea310	Nachseihen	cphy	cphy	cphy	1	cphy	NONE	WHOLE_CARD	FIXED_CARD_OR_FIXED_COMPOUND	FIXED_CARD	NONE
7	e0b630cb1b5df5e7105b	Bereit	shcthy	cthy	checthy	3	checthy|cthy|shcthy	CTHY	Bereit	ENTRY_WRAPPER+CTHY	PRODUCTIVE_WRAPPER_PARADIGM	NONE
8	b921a237be883a820352	Diesposten	sy	chey	y	3	chey|chy|dy|shy|sy|y	Y	Diesposten	ENTRY_WRAPPER+Y	PRODUCTIVE_WRAPPER_PARADIGM	chy|dy|shy
9	2f1c5e56e8f0ff459065	Sollmaß	saiin	chaiin	taiin	3	aiin|chaiin|daiin|saiin|taiin	AIIN	Sollmaß	ENTRY_WRAPPER+AIIN	PRODUCTIVE_WRAPPER_PARADIGM	aiin|daiin
10	2cc8bb3c2af19607888f	durchleiten	shckhy	chckhy	shckhy	2	chckhy|shckhy	CKHY	durchleiten	ENTRY_WRAPPER+CKH+Y	PRODUCTIVE_WRAPPER_PARADIGM	NONE
11	276a7c2d74d1143446f4	Einsetzen	choky	oky	qoky	3	choky|oky|qoky	OKY	Einsetzen	ENTRY_WRAPPER+OK+Y	PRODUCTIVE_WRAPPER_PARADIGM	NONE
12	0275fbf14e07935b0a45	Langkontakt	qokeey	okeey	qokeey	2	okeey|qokeey	OKEEY	Langkontakt	ENTRY_WRAPPER+OK+EE+Y	PRODUCTIVE_WRAPPER_PARADIGM	NONE
13	7db18b2f0fb7ed0fcfd3	Kurzkontakt	qokedy	qokedy	qokedy	1	qokedy	NONE	WHOLE_CARD	FIXED_CARD_OR_FIXED_COMPOUND	FIXED_CARD	NONE
14	e026af581c99322fbd46	Verwahren	talam	talam	talam	1	talam	NONE	WHOLE_CARD	FIXED_CARD_OR_FIXED_COMPOUND	FIXED_CARD	NONE
