case_id	page	physical_folio	locus	ordinal	context_eva	gdt773_dispatch_rule_id	gdt773_selected_function	gdt773_default_de	automatic_rule_id	automatic_branch	automatic_default_de	automatic_exact_match	miss_reason	hybrid_rule_id	hybrid_default_de	hybrid_exact_match	amount_transfer_signal	process_right_signal	close_left_signal	close_right_signal	f15_state_transition_bridge	score_credit	confirmed_lexeme	component_export_credit
G772-OL01	f112r	f112	f112r.36	2	sain [ol] checkhy	G773-D01	CONTENT_FIELD_HEAD	Ansatz:	G774-D01	AMOUNT_TO_CONTENT_HEAD	Ansatz:	1	NONE	G774-D00	Ansatz:	1	1	0	0	0	0	0	0	0
G772-OL02	f30v	f30	f30v.2	7	keor [ol] chy daiin	G773-D05	FIELD_SEPARATOR_OR_CLOSE	;	G774-D07	GENERIC_NOMINAL_FALLBACK	Ansatz-/Zubereitungsposten	0	NO_OCCURRENCE_ID_FREE_TRANSFER_TRIGGER	G774-D00	;	1	0	0	0	0	0	0	0	0
G772-OL03	f3r	f3	f3r.19	2	otchor [ol] cheor	G773-D04	COORDINATION	und	G774-D06	STATE_FIELD_CHAIN	und	1	NONE	G774-D00	und	1	0	0	0	0	1	0	0	0
G772-OL04	f55v	f55	f55v.10	2	oaiin [ol] s aiin	G773-D02	MEASURE_FIELD_HEAD	Menge:	G774-D02	CONTENT_TO_AMOUNT_HEAD	Menge:	1	NONE	G774-D00	Menge:	1	1	0	0	0	0	0	0	0
G772-OL05	f55v	f55	f55v.10	12	ykar [ol]	G773-D05	FIELD_SEPARATOR_OR_CLOSE	;	G774-D07	GENERIC_NOMINAL_FALLBACK	Ansatz-/Zubereitungsposten	0	NO_OCCURRENCE_ID_FREE_TRANSFER_TRIGGER	G774-D00	;	1	0	0	0	0	0	0	0	0
G772-OL06	f58r	f58	f58r.13	9	chaiin [ol] oly	G773-D03	SEQUENCE	und dann	G774-D03	PROCESS_SEQUENCE_RIGHT	und dann	1	NONE	G774-D00	und dann	1	0	1	0	0	0	0	0	0
G772-OL07	f75r	f75	f75r.26	2	dain [ol] sheol	G773-D01	CONTENT_FIELD_HEAD	Ansatz:	G774-D07	GENERIC_NOMINAL_FALLBACK	Ansatz-/Zubereitungsposten	0	NO_OCCURRENCE_ID_FREE_TRANSFER_TRIGGER	G774-D00	Ansatz:	1	0	0	0	0	0	0	0	0
G772-OL08	f75r	f75	f75r.26	5	dain [ol] qoly	G773-D05	FIELD_SEPARATOR_OR_CLOSE	;	G774-D07	GENERIC_NOMINAL_FALLBACK	Ansatz-/Zubereitungsposten	0	NO_OCCURRENCE_ID_FREE_TRANSFER_TRIGGER	G774-D00	;	1	0	0	0	0	0	0	0	0
G772-OL09	f78r	f78	f78r.37	2	osal [ol] s aiin	G773-D02	MEASURE_FIELD_HEAD	Menge:	G774-D02	CONTENT_TO_AMOUNT_HEAD	Menge:	1	NONE	G774-D00	Menge:	1	1	0	0	0	0	0	0	0
G772-OL10	f81r	f81	f81r.15	2	sain [ol] cheedy	G773-D01	CONTENT_FIELD_HEAD	Ansatz:	G774-D01	AMOUNT_TO_CONTENT_HEAD	Ansatz:	1	NONE	G774-D00	Ansatz:	1	1	0	0	1	0	0	0	0
G772-OL11	f81r	f81	f81r.22	4	qol [ol] daiin	G773-D05	FIELD_SEPARATOR_OR_CLOSE	:	G774-D07	GENERIC_NOMINAL_FALLBACK	Ansatz-/Zubereitungsposten	0	NO_OCCURRENCE_ID_FREE_TRANSFER_TRIGGER	G774-D00	:	1	0	0	0	0	0	0	0	0
G772-OL12	f81r	f81	f81r.22	6	daiin [ol] chedar	G773-D05	FIELD_SEPARATOR_OR_CLOSE	;	G774-D07	GENERIC_NOMINAL_FALLBACK	Ansatz-/Zubereitungsposten	0	NO_OCCURRENCE_ID_FREE_TRANSFER_TRIGGER	G774-D00	;	1	0	0	0	0	0	0	0	0
G772-OL13	f81r	f81	f81r.22	8	chedar [ol] oly	G773-D03	SEQUENCE	und dann	G774-D03	PROCESS_SEQUENCE_RIGHT	und dann	1	NONE	G774-D00	und dann	1	0	1	0	0	0	0	0	0
G772-OL14	f82r	f82	f82r.33	2	sain [ol] cheol	G773-D01	CONTENT_FIELD_HEAD	Ansatz:	G774-D01	AMOUNT_TO_CONTENT_HEAD	Ansatz:	1	NONE	G774-D00	Ansatz:	1	1	0	0	0	0	0	0	0
G772-OL15	f85r1	f85	f85r1.21	4	oraiin [ol] okaiin	G773-D01	CONTENT_FIELD_HEAD	Ansatz:	G774-D01	AMOUNT_TO_CONTENT_HEAD	Ansatz:	1	NONE	G774-D00	Ansatz:	1	1	0	0	0	0	0	0	0
