row_type	renderer	rule_id	branch	output_de	occurrences	page_labels	physical_folios	loci	contextual_occurrences
BRANCH	AUTOMATIC	G774-D01	AMOUNT_TO_CONTENT_HEAD	Ansatz:	10	7	7	10	10
BRANCH	AUTOMATIC	G774-D02	CONTENT_TO_AMOUNT_HEAD	Menge:	5	5	5	5	5
BRANCH	AUTOMATIC	G774-D03	PROCESS_SEQUENCE_RIGHT	und dann	4	4	4	4	4
BRANCH	AUTOMATIC	G774-D04	FIELD_CLOSURE_LEFT	;	3	3	3	3	3
BRANCH	AUTOMATIC	G774-D05	CLOSE_RIGHT_NOMINAL_VETO	Ansatz-/Zubereitungsposten	7	7	6	7	0
BRANCH	AUTOMATIC	G774-D06	STATE_FIELD_CHAIN	und	27	23	18	27	27
BRANCH	AUTOMATIC	G774-D07	GENERIC_NOMINAL_FALLBACK	Ansatz-/Zubereitungsposten	320	93	59	290	0
TOTAL	AUTOMATIC	ALL	ALL	ALL	376	98	61	340	49
BRANCH	HYBRID	G774-D00	GDT773_CALIBRATION_COPY	:	1	1	1	1	1
BRANCH	HYBRID	G774-D00	GDT773_CALIBRATION_COPY	;	4	4	4	4	4
BRANCH	HYBRID	G774-D00	GDT773_CALIBRATION_COPY	Ansatz:	5	5	5	5	5
BRANCH	HYBRID	G774-D00	GDT773_CALIBRATION_COPY	Menge:	2	2	2	2	2
BRANCH	HYBRID	G774-D00	GDT773_CALIBRATION_COPY	und	1	1	1	1	1
BRANCH	HYBRID	G774-D00	GDT773_CALIBRATION_COPY	und dann	2	2	2	2	2
BRANCH	HYBRID	G774-D01	AMOUNT_TO_CONTENT_HEAD	Ansatz:	6	5	5	6	6
BRANCH	HYBRID	G774-D02	CONTENT_TO_AMOUNT_HEAD	Menge:	3	3	3	3	3
BRANCH	HYBRID	G774-D03	PROCESS_SEQUENCE_RIGHT	und dann	2	2	2	2	2
BRANCH	HYBRID	G774-D04	FIELD_CLOSURE_LEFT	;	3	3	3	3	3
BRANCH	HYBRID	G774-D05	CLOSE_RIGHT_NOMINAL_VETO	Ansatz-/Zubereitungsposten	7	7	6	7	0
BRANCH	HYBRID	G774-D06	STATE_FIELD_CHAIN	und	26	22	17	26	26
BRANCH	HYBRID	G774-D07	GENERIC_NOMINAL_FALLBACK	Ansatz-/Zubereitungsposten	314	92	59	286	0
TOTAL	HYBRID	ALL	ALL	ALL	376	98	61	340	55
