group_type	group_value	occurrences	page_labels	physical_folios	loci	line_first	line_middle	line_last	multi_ol_line_tokens	adjacent_repeat_tokens	any_direct_signature	automatic_contextual	automatic_nominal	hybrid_contextual	hybrid_nominal
ALL	ALL	376	98	61	340	22	317	37	68	14	35	49	327	55	321
SECTION	B	167	17	9	139	2	144	21	52	10	17	20	147	24	143
SECTION	NON_B	209	81	53	201	20	173	16	16	4	18	29	180	31	178
HAND	2	216	33	18	184	4	186	26	60	10	21	30	186	35	181
HAND	NON_2	160	65	43	156	18	131	11	8	4	14	19	141	20	140
SECTION_VALUE	C	4	1	1	3	1	3	0	2	0	0	0	4	0	4
SECTION_VALUE	H	70	42	31	68	11	50	9	4	2	6	6	64	8	62
SECTION_VALUE	P	17	8	5	16	1	16	0	2	2	3	3	14	3	14
SECTION_VALUE	S	87	25	13	85	6	75	6	4	0	6	11	76	11	76
SECTION_VALUE	T	31	5	4	29	1	29	1	4	0	3	9	22	9	22
HAND_VALUE	1	55	33	25	53	8	42	5	4	4	4	6	49	7	48
HAND_VALUE	2	216	33	18	184	4	186	26	60	10	21	30	186	35	181
HAND_VALUE	3	97	28	15	95	9	82	6	4	0	9	12	85	12	85
HAND_VALUE	5	7	3	3	7	1	6	0	0	0	1	1	6	1	6
HAND_VALUE	@	1	1	1	1	0	1	0	0	0	0	0	1	0	1
