category	occurrences	page_labels	physical_folios	loci	automatic_contextual	automatic_nominal	hybrid_contextual	interpretation
ALL	376	98	61	340	49	327	55	complete 376-token transfer universe
LINE_FIRST	22	18	17	22	0	22	0	written-line first position
LINE_MIDDLE	317	90	58	292	49	268	54	written-line medial position
LINE_LAST	37	25	19	37	0	37	1	written-line final position
PARAGRAPH_START_LINE	33	25	20	32	2	31	2	occurs somewhere on a paragraph-start line
PARAGRAPH_END_LINE	45	29	26	40	10	35	12	occurs somewhere on a paragraph-end line
TRUE_PARAGRAPH_OPENER	0	0	0	0	0	0	0	token itself opens paragraph
TRUE_PARAGRAPH_CLOSER	1	1	1	1	0	1	0	token itself closes paragraph
MULTI_OL_LINE_TOKEN	68	18	13	32	6	62	11	token lies on a locus with repeated ol
ADJACENT_OL_REPEAT_TOKEN	14	5	4	7	0	14	0	token belongs to an adjacent ol ol pair
F14_MEDIAL_TWO_SIDED	212	80	53	198	43	169	46	geometry alone has zero dispatch credit
F15_STATE_TRANSITION	31	26	18	31	29	2	29	state bridge; lower than direct rules
NO_DIRECT_SIGNATURE	341	95	60	312	30	311	36	no GDT769 direct signature
