sample_id	locus	ordinal	stratum	preferred_output	acceptable_rival	reason_de	page	physical_folio	written_line_eva	automatic_rule_id	automatic_default_de	automatic_preferred_match	automatic_acceptable_rival_match	hybrid_rule_id	hybrid_default_de	hybrid_preferred_match	hybrid_acceptable_rival_match	audit_is_independent_semantic_test	score_credit	confirmed_lexeme	component_export_credit
S01	f112r.36	2	AMOUNT_BEFORE_OL_G763_EXPANDED	Ansatz:	Ansatz-/Zubereitungsposten	sain steht unmittelbar links; die Mengenrichtung ist klar, aber dieser Fall gehört nicht zum strengeren GDT769-F01-Subset.	f112r	f112	sain ol checkhy olchain okeey olam	G774-D01	Ansatz:	1	0	G774-D00	Ansatz:	1	0	0	0	0	0
S02	f55v.10	2	OL_BEFORE_AMOUNT_G769_F01	Menge:	Ansatz-/Zubereitungsposten	ol s aiin ist ein reader-exakter direkter Mengenrahmen; Inhalt zu Menge ist die GDT773-Gegenrichtung.	f55v	f55	oaiin ol s aiin okaiin oky ytaiin otar y kal ykar ol	G774-D02	Menge:	1	0	G774-D00	Menge:	1	0	0	0	0	0
S03	f85r1.13	7	BILATERAL_AMOUNT_LEFT_MEMBER	Menge:	Ansatz-/Zubereitungsposten	Linkes ol in ol s aiin ol; deterministische Richtung, aber die beidseitige Doppelbesetzung macht die Gesamtlesung ausdrücklich ambig.	f85r1	f85	rsheodar qocthy kar okaiin ykeeeody qotal ol s aiin ol daldy shody	G774-D02	Menge:	1	0	G774-D02	Menge:	1	0	0	0	0	0
S04	f85r1.13	10	BILATERAL_AMOUNT_RIGHT_MEMBER	Ansatz:	Ansatz-/Zubereitungsposten	Rechtes ol in ol s aiin ol; Gegenrichtung zu S03, daher Paarambiguität trotz eindeutiger lokaler Seite.	f85r1	f85	rsheodar qocthy kar okaiin ykeeeody qotal ol s aiin ol daldy shody	G774-D01	Ansatz:	1	0	G774-D01	Ansatz:	1	0	0	0	0	0
S05	f104r.5	4	PROCESS_RIGHT_DIRECT	und dann	Ansatz-/Zubereitungsposten	Unmittelbares ol chl; PROCESS liegt rechts. Der Prozessnachbar ist ED2-geblockt, bleibt aber als exakte Direktsignatur sichtbar.	f104r	f104	kchdal qotaiin qoshedy ol chl ol cheday al lod pchdair opchdy qod	G774-D03	und dann	1	0	G774-D03	und dann	1	0	0	0	0	0
S06	f58r.13	9	PROCESS_RIGHT_OLY	und dann	Ansatz-/Zubereitungsposten	Unmittelbares ol oly; genau der in GDT773 verwendete Feld-zu-Prozess-Rahmen.	f58r	f58	ytar sheear cheoldy ykeol cheal cheody chal chaiin ol oly	G774-D03	und dann	1	0	G774-D00	und dann	1	0	0	0	0	0
S07	f78v.9	6	PROCESS_RIGHT_DIRECT	und dann	Ansatz-/Zubereitungsposten	chedol steht unmittelbar rechts mit PROCESS_PASS; Feldfortsetzung ist brauchbar, nominaler Patient bleibt Rivale.	f78v	f78	y cheolk o lkeedy qokedy ol chedol okeedy qotedy rorarol	G774-D03	und dann	1	0	G774-D03	und dann	1	0	0	0	0	0
S08	f81r.22	8	PROCESS_RIGHT_OLY	und dann	;	Unmittelbares ol oly; GDT773 wählt hier bereits dieselbe Prozessfortsetzung.	f81r	f81	qotal chedy qol ol daiin ol chedar ol oly	G774-D03	und dann	1	0	G774-D00	und dann	1	0	0	0	0	0
S09	f104r.5	6	PROCESS_LEFT_DIRECT	Ansatz-/Zubereitungsposten	;	In chl ol liegt PROCESS links; die GDT773-Regel sagt nur Feld zu PROCESS voraus, nicht PROCESS zu Feld.	f104r	f104	kchdal qotaiin qoshedy ol chl ol cheday al lod pchdair opchdy qod	G774-D07	Ansatz-/Zubereitungsposten	1	0	G774-D07	Ansatz-/Zubereitungsposten	1	0	0	0	0	0
S10	f79v.35	5	PROCESS_LEFT_DIRECT	Ansatz-/Zubereitungsposten	;	Unmittelbares chl ol; ohne rechtsgerichteten Prozessanker wäre und dann richtungswidrig.	f79v	f79	qor cheey kain chl ol otol dain otain ol oteedy qokan	G774-D07	Ansatz-/Zubereitungsposten	1	0	G774-D07	Ansatz-/Zubereitungsposten	1	0	0	0	0	0
