family_no	component_recipe	compact_reading_de	events	pages	records	distinct_pages	distinct_records	exact_cards	card_nos	surface_forms	surfaces	position_counts	prefix_counts	production_rule
F01	AIIN	MASS	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	7	11	1	PROC009	5	aiin|chaiin|daiin|saiin|taiin	FIRST:4;MIDDLE:14;LAST:2	S_ENTRY_FORM:4;OTHER_FORM:16	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F02	OL	FORTSETZEN	20	f10r|f81v|f82r|f83r	B1|B2|B3|B4|B5|B6|H1|H2	4	8	2	PROC013|PROC115	7	cheol|chol|ls|ol|qol|sol|tol	FIRST:2;MIDDLE:18	Q_ENTRY_FORM:3;S_ENTRY_FORM:3;OTHER_FORM:14	RECIPE_INVARIANT__LOCAL_CARD_AND_SURFACE_LOOKUP
F03	Y	DIES	18	f10r|f11r|f55v|f81v|f82r|f83r	B1|B2|B3|B4|B6|H2|H3|H4	6	8	1	PROC019	6	chey|chy|dy|shy|sy|y	FIRST:2;MIDDLE:14;LAST:2	S_ENTRY_FORM:2;OTHER_FORM:16	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F04	OK+Y	ANSETZEN · DIES	13	f10r|f56r|f81v|f82r|f83r	B1|B2|B3|B4|H1|H5	5	6	2	PROC008|PROC011	6	chokchy|choky|okchy|oky|qokchy|qoky	FIRST:3;MIDDLE:7;LAST:2;ONLY:1	Q_ENTRY_FORM:8;OTHER_FORM:5	RECIPE_INVARIANT__LOCAL_CARD_AND_SURFACE_LOOKUP
F05	CHD+Y	UMSETZEN · DIES	12	f55v|f81v|f83r	B1|B3|B4|B5|H4	3	5	2	PROC042|PROC133	3	chdy|chedchy|chedy	FIRST:4;MIDDLE:7;LAST:1	OTHER_FORM:12	RECIPE_INVARIANT__LOCAL_CARD_AND_SURFACE_LOOKUP
F06	SHED+DY	ABSETZEN · SCHLUSS	12	f81v|f82r|f83r	B1|B2|B3|B4	3	4	1	PROC078	3	cheedy|shedy|tedy	LAST:9;ONLY:3	S_ENTRY_FORM:10;OTHER_FORM:2	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F07	AL	ZIEL	10	f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|H5	4	6	1	PROC055	6	al|chal|cheal|dal|sal|tal	FIRST:3;MIDDLE:5;LAST:1;ONLY:1	S_ENTRY_FORM:1;OTHER_FORM:9	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F08	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	10	f82r|f83r	B2|B3|B4	2	3	1	PROC100	1	qokeedy	LAST:5;ONLY:5	Q_ENTRY_FORM:10	RECIPE_CARD_SURFACE_INVARIANT
F09	OK+AIIN	ANSETZEN · MASS	9	f55v|f81v|f82r|f83r	B1|B2|B3|H4	4	4	1	PROC038	2	okaiin|qokaiin	FIRST:6;MIDDLE:3	Q_ENTRY_FORM:8;OTHER_FORM:1	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F10	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	8	f82r|f83r	B2|B3|B4	2	3	1	PROC120	1	lchedy	LAST:3;ONLY:5	OTHER_FORM:8	RECIPE_CARD_SURFACE_INVARIANT
F11	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	8	f81v|f83r	B1|B3|B4	2	3	1	PROC067	1	qokedy	LAST:5;ONLY:3	Q_ENTRY_FORM:8	RECIPE_CARD_SURFACE_INVARIANT
F12	CTH+Y	BEREIT · DIES	7	f10r|f11r|f83r	B3|H1|H2|H3	3	4	1	PROC014	3	checthy|cthy|shcthy	MIDDLE:6;LAST:1	S_ENTRY_FORM:2;OTHER_FORM:5	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F13	OK+AIN	ANSETZEN · PORTION	7	f81v|f82r|f83r	B1|B2|B3|B4	3	4	1	PROC080	2	okain|qokain	FIRST:4;MIDDLE:3	Q_ENTRY_FORM:4;OTHER_FORM:3	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F14	OK+EE+Y	ANSETZEN · LANG · DIES	7	f81v|f82r|f83r	B1|B2|B3|B4	3	4	1	PROC092	2	okeey|qokeey	FIRST:2;MIDDLE:5	Q_ENTRY_FORM:6;OTHER_FORM:1	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F15	OR	ANSATZ	7	f10r|f55v|f83r	B3|B4|H2|H4	3	4	1	PROC016	4	chor|or|shor|sor	FIRST:2;MIDDLE:5	S_ENTRY_FORM:2;OTHER_FORM:5	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F16	OK+AL	ANSETZEN · ZIEL	6	f55v|f81v|f82r|f83r	B1|B2|B3|H4	4	4	1	PROC048	2	okal|qokal	FIRST:2;MIDDLE:4	Q_ENTRY_FORM:4;OTHER_FORM:2	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F17	AR	QUELLE	5	f10r|f81v|f82r|f83r	B1|B2|B3|H1|H2	4	5	1	PROC003	3	char|dar|sar	MIDDLE:3;LAST:2	S_ENTRY_FORM:1;OTHER_FORM:4	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F18	CHD+DY	UMSETZEN · SCHLUSS	5	f81v|f82r|f83r	B1|B2|B3	3	3	2	PROC076|PROC094	4	dchdy|dchedy|schedy|tchedy	LAST:2;ONLY:3	S_ENTRY_FORM:2;OTHER_FORM:3	RECIPE_INVARIANT__LOCAL_CARD_AND_SURFACE_LOOKUP
F19	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	5	f81v|f83r	B1|B3|B5	2	3	2	PROC082|PROC091	3	okchedy|qokchdy|qokchedy	LAST:2;ONLY:3	Q_ENTRY_FORM:4;OTHER_FORM:1	RECIPE_INVARIANT__LOCAL_CARD_AND_SURFACE_LOOKUP
F20	SH+EE+Y	HALTEN · LANG · DIES	5	f11r|f82r|f83r	B2|B4|H3	3	3	2	PROC031|PROC157	3	cheey|sheey|shey	MIDDLE:4;LAST:1	S_ENTRY_FORM:3;OTHER_FORM:2	RECIPE_INVARIANT__LOCAL_CARD_AND_SURFACE_LOOKUP
F21	CKH+Y	DURCHLASS · DIES	4	f81v|f82r	B1|B2	2	2	1	PROC075	2	chckhy|shckhy	FIRST:1;MIDDLE:3	S_ENTRY_FORM:1;OTHER_FORM:3	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F22	HO	ZUTAT	4	f56r	H5	1	1	1	PROC052	2	cho|sho	FIRST:1;MIDDLE:3	S_ENTRY_FORM:2;OTHER_FORM:2	RECIPE_AND_CARD_INVARIANT__LOCAL_SURFACE_LOOKUP
F23	CHK+E+Y	WAERMEN · KURZ · DIES	3	f81v|f83r	B1|B4	2	2	1	PROC083	1	cheky	FIRST:1;MIDDLE:2	OTHER_FORM:3	RECIPE_CARD_SURFACE_INVARIANT
