event_id	page	record	statement_id	statement_position	dictated_recipe	invariant_reading_de	selected_exact_card	copied_surface	surface_prefix_class
E003	f10r	H1	H1-S001	MIDDLE	AR	QUELLE	PROC003	char	OTHER_FORM
E004	f10r	H1	H1-S001	MIDDLE	T+Y	EINTRAGEN · DIES	PROC004	chty	OTHER_FORM
E008	f10r	H1	H1-S001	MIDDLE	OK+Y	ANSETZEN · DIES	PROC008	oky	OTHER_FORM
E009	f10r	H1	H1-S001	MIDDLE	AIIN	MASS	PROC009	daiin	OTHER_FORM
E011	f10r	H1	H1-S002	FIRST	OK+Y	ANSETZEN · DIES	PROC011	qokchy	Q_ENTRY_FORM
E013	f10r	H1	H1-S002	MIDDLE	OL	FORTSETZEN	PROC013	chol	OTHER_FORM
E014	f10r	H1	H1-S002	LAST	CTH+Y	BEREIT · DIES	PROC014	cthy	OTHER_FORM
E016	f10r	H2	H2-S001	MIDDLE	CTH+Y	BEREIT · DIES	PROC014	cthy	OTHER_FORM
E017	f10r	H2	H2-S001	MIDDLE	OR	ANSATZ	PROC016	chor	OTHER_FORM
E020	f10r	H2	H2-S001	MIDDLE	Y	DIES	PROC019	dy	OTHER_FORM
E021	f10r	H2	H2-S001	MIDDLE	Y	DIES	PROC019	chy	OTHER_FORM
E022	f10r	H2	H2-S001	MIDDLE	AIIN	MASS	PROC009	taiin	OTHER_FORM
E023	f10r	H2	H2-S001	LAST	Y	DIES	PROC019	shy	S_ENTRY_FORM
E024	f10r	H2	H2-S002	FIRST	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	PROC020	qotchor	Q_ENTRY_FORM
E025	f10r	H2	H2-S002	MIDDLE	OR	ANSATZ	PROC016	chor	OTHER_FORM
E027	f10r	H2	H2-S002	MIDDLE	OL	FORTSETZEN	PROC013	chol	OTHER_FORM
E028	f10r	H2	H2-S002	MIDDLE	OL+OR	FORTSETZEN · ANSATZ	PROC022	cholor	OTHER_FORM
E029	f10r	H2	H2-S002	MIDDLE	OL	FORTSETZEN	PROC013	chol	OTHER_FORM
E030	f10r	H2	H2-S002	MIDDLE	AIIN	MASS	PROC009	daiin	OTHER_FORM
E031	f10r	H2	H2-S002	LAST	AR	QUELLE	PROC003	dar	OTHER_FORM
E033	f10r	H2	H2-S003	MIDDLE	OR	ANSATZ	PROC016	shor	S_ENTRY_FORM
E034	f10r	H2	H2-S003	MIDDLE	OR	ANSATZ	PROC016	chor	OTHER_FORM
E035	f10r	H2	H2-S003	MIDDLE	Y	DIES	PROC019	chy	OTHER_FORM
E037	f10r	H2	H2-S003	MIDDLE	Y	DIES	PROC019	dy	OTHER_FORM
E044	f11r	H3	H3-S001	MIDDLE	SH+EE+Y	HALTEN · LANG · DIES	PROC031	shey	S_ENTRY_FORM
E047	f11r	H3	H3-S003	FIRST	RESUME_CARD	WIEDERAUFNEHMEN	PROC034	dchol	OTHER_FORM
E048	f11r	H3	H3-S003	MIDDLE	Y	DIES	PROC019	chy	OTHER_FORM
E050	f11r	H3	H3-S003	MIDDLE	Y	DIES	PROC019	dy	OTHER_FORM
E051	f11r	H3	H3-S003	LAST	AIIN	MASS	PROC009	daiin	OTHER_FORM
E052	f11r	H3	H3-S004	FIRST	OT+Y	DANACH · DIES	PROC036	qotchy	Q_ENTRY_FORM
E053	f11r	H3	H3-S004	MIDDLE	OK+OL	ANSETZEN · FORTSETZEN	PROC037	okchol	OTHER_FORM
E054	f11r	H3	H3-S004	MIDDLE	CTH+Y	BEREIT · DIES	PROC014	cthy	OTHER_FORM
E055	f11r	H3	H3-S004	LAST	Y	DIES	PROC019	dy	OTHER_FORM
E056	f55v	H4	H4-S001	FIRST	OK+AIIN	ANSETZEN · MASS	PROC038	qokaiin	Q_ENTRY_FORM
E057	f55v	H4	H4-S001	MIDDLE	AIIN	MASS	PROC009	chaiin	OTHER_FORM
E061	f55v	H4	H4-S002	FIRST	AIIN	MASS	PROC009	daiin	OTHER_FORM
E062	f55v	H4	H4-S002	MIDDLE	CHD+Y	UMSETZEN · DIES	PROC042	chedy	OTHER_FORM
E066	f55v	H4	H4-S003	MIDDLE	CHK+EE+Y	WAERMEN · LANG · DIES	PROC046	cheeky	OTHER_FORM
E067	f55v	H4	H4-S003	LAST	OL+DY	FORTSETZEN · SCHLUSS	PROC047	oldy	OTHER_FORM
E068	f55v	H4	H4-S004	FIRST	AIIN	MASS	PROC009	aiin	OTHER_FORM
E069	f55v	H4	H4-S004	MIDDLE	OK+AL	ANSETZEN · ZIEL	PROC048	okal	OTHER_FORM
E071	f55v	H4	H4-S004	MIDDLE	OR	ANSATZ	PROC016	or	OTHER_FORM
E072	f55v	H4	H4-S004	MIDDLE	Y	DIES	PROC019	y	OTHER_FORM
E075	f56r	H5	H5-S001	MIDDLE	HO	ZUTAT	PROC052	cho	OTHER_FORM
E077	f56r	H5	H5-S001	MIDDLE	AIIN	MASS	PROC009	daiin	OTHER_FORM
E078	f56r	H5	H5-S001	MIDDLE	HO	ZUTAT	PROC052	sho	S_ENTRY_FORM
E080	f56r	H5	H5-S001	MIDDLE	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	PROC020	otchor	OTHER_FORM
E081	f56r	H5	H5-S001	MIDDLE	OK+Y	ANSETZEN · DIES	PROC008	choky	OTHER_FORM
E082	f56r	H5	H5-S001	LAST	AL	ZIEL	PROC055	dal	OTHER_FORM
E083	f56r	H5	H5-S002	FIRST	RESUME_CARD	WIEDERAUFNEHMEN	PROC034	schol	S_ENTRY_FORM
E085	f56r	H5	H5-S002	MIDDLE	OK+Y	ANSETZEN · DIES	PROC008	choky	OTHER_FORM
E088	f56r	H5	H5-S003	MIDDLE	HO	ZUTAT	PROC052	cho	OTHER_FORM
E091	f56r	H5	H5-S004	FIRST	OK+Y	ANSETZEN · DIES	PROC011	okchy	OTHER_FORM
E094	f56r	H5	H5-S005	FIRST	HO	ZUTAT	PROC052	sho	S_ENTRY_FORM
E095	f56r	H5	H5-S005	MIDDLE	OK+Y	ANSETZEN · DIES	PROC011	chokchy	OTHER_FORM
E098	f56r	H5	H5-S006	FIRST	OT+Y	DANACH · DIES	PROC065	otchey	OTHER_FORM
E100	f56r	H5	H5-S006	LAST	AIIN	MASS	PROC009	daiin	OTHER_FORM
E101	f81v	B1	B1-S001	ONLY	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	PROC067	qokedy	Q_ENTRY_FORM
E102	f81v	B1	B1-S002	FIRST	OK+AIIN	ANSETZEN · MASS	PROC038	okaiin	OTHER_FORM
E104	f81v	B1	B1-S002	MIDDLE	OK+AL	ANSETZEN · ZIEL	PROC048	okal	OTHER_FORM
E105	f81v	B1	B1-S002	MIDDLE	AR	QUELLE	PROC003	sar	S_ENTRY_FORM
E106	f81v	B1	B1-S002	MIDDLE	OL	FORTSETZEN	PROC013	ol	OTHER_FORM
E107	f81v	B1	B1-S002	MIDDLE	K+AIN	ZUDOSIEREN · PORTION	PROC069	kain	OTHER_FORM
E108	f81v	B1	B1-S002	MIDDLE	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	PROC070	olkain	OTHER_FORM
E109	f81v	B1	B1-S002	MIDDLE	AL	ZIEL	PROC055	al	OTHER_FORM
E110	f81v	B1	B1-S002	MIDDLE	OL	FORTSETZEN	PROC013	ol	OTHER_FORM
E112	f81v	B1	B1-S002	MIDDLE	L	WEITERLEITEN	PROC072	dl	OTHER_FORM
