lesson_no	dictated_recipe	spoken_value_de	events	records	exact_cards	surfaces	master_instruction_de
1	AIIN	MASS	20	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	1	aiin|chaiin|daiin|saiin|taiin	Bedeutungsrezept unveraendert lassen; passende exakte Karte und sichtbare Form aus dem lokalen Exemplar kopieren.
2	OL	FORTSETZEN	20	B1|B2|B3|B4|B5|B6|H1|H2	2	cheol|chol|ls|ol|qol|sol|tol	Bedeutungsrezept unveraendert lassen; passende exakte Karte und sichtbare Form aus dem lokalen Exemplar kopieren.
3	Y	DIES	18	B1|B2|B3|B4|B6|H2|H3|H4	1	chey|chy|dy|shy|sy|y	Bedeutungsrezept unveraendert lassen; passende exakte Karte und sichtbare Form aus dem lokalen Exemplar kopieren.
4	OK+Y	ANSETZEN · DIES	13	B1|B2|B3|B4|H1|H5	2	chokchy|choky|okchy|oky|qokchy|qoky	Bedeutungsrezept unveraendert lassen; passende exakte Karte und sichtbare Form aus dem lokalen Exemplar kopieren.
5	CHD+Y	UMSETZEN · DIES	12	B1|B3|B4|B5|H4	2	chdy|chedchy|chedy	Bedeutungsrezept unveraendert lassen; passende exakte Karte und sichtbare Form aus dem lokalen Exemplar kopieren.
6	SHED+DY	ABSETZEN · SCHLUSS	12	B1|B2|B3|B4	1	cheedy|shedy|tedy	Bedeutungsrezept unveraendert lassen; passende exakte Karte und sichtbare Form aus dem lokalen Exemplar kopieren.
7	AL	ZIEL	10	B1|B2|B3|B4|B5|H5	1	al|chal|cheal|dal|sal|tal	Bedeutungsrezept unveraendert lassen; passende exakte Karte und sichtbare Form aus dem lokalen Exemplar kopieren.
8	OK+AIIN	ANSETZEN · MASS	9	B1|B2|B3|H4	1	okaiin|qokaiin	Bedeutungsrezept unveraendert lassen; passende exakte Karte und sichtbare Form aus dem lokalen Exemplar kopieren.
9	OK+AIN	ANSETZEN · PORTION	7	B1|B2|B3|B4	1	okain|qokain	Bedeutungsrezept unveraendert lassen; passende exakte Karte und sichtbare Form aus dem lokalen Exemplar kopieren.
10	OK+EE+Y	ANSETZEN · LANG · DIES	7	B1|B2|B3|B4	1	okeey|qokeey	Bedeutungsrezept unveraendert lassen; passende exakte Karte und sichtbare Form aus dem lokalen Exemplar kopieren.
11	AR	QUELLE	5	B1|B2|B3|H1|H2	1	char|dar|sar	Bedeutungsrezept unveraendert lassen; passende exakte Karte und sichtbare Form aus dem lokalen Exemplar kopieren.
12	OR	ANSATZ	7	B3|B4|H2|H4	1	chor|or|shor|sor	Bedeutungsrezept unveraendert lassen; passende exakte Karte und sichtbare Form aus dem lokalen Exemplar kopieren.
