action_frame_id	frame_id	frozen_frame	action_root	action_recipe	register_cell_count	observed_register_cell_count	observed_registers	composed_register_cell_count	observed_event_count	all_five_registers_readable	all_owner_value_cells_old
G498-AF001	G493-F01	@ACTION	OK	OK	5	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	2	5	YES	YES
G498-AF002	G493-F01	@ACTION	CH	CH	5	2	HERBAL|BIOLOGICAL	3	2	YES	YES
G498-AF003	G493-F01	@ACTION	SH	SH	5	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	2	4	YES	YES
G498-AF004	G493-F01	@ACTION	K	K	5	1	HERBAL	4	4	YES	YES
G498-AF005	G493-F01	@ACTION	S	S	5	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	0	38	YES	YES
G498-AF006	G493-F01	@ACTION	CHD	CHD	5	1	BIOLOGICAL	4	2	YES	YES
G498-AF007	G493-F01	@ACTION	T	T	5	1	HERBAL	4	1	YES	YES
G498-AF008	G493-F01	@ACTION	R	R	5	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	0	21	YES	YES
G498-AF009	G493-F01	@ACTION	P	P	5	0	NONE	5	0	YES	YES
G498-AF010	G493-F02	@ACTION+AIIN	OK	OK+AIIN	5	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	0	64	YES	YES
G498-AF011	G493-F02	@ACTION+AIIN	CH	CH+AIIN	5	2	HERBAL|PHARMA	3	5	YES	YES
G498-AF012	G493-F02	@ACTION+AIIN	SH	SH+AIIN	5	2	SOURCE_SECTION_T|HERBAL	3	4	YES	YES
G498-AF013	G493-F02	@ACTION+AIIN	K	K+AIIN	5	3	SOURCE_SECTION_T|BIOLOGICAL|CELESTIAL	2	6	YES	YES
G498-AF014	G493-F02	@ACTION+AIIN	S	S+AIIN	5	3	BIOLOGICAL|CELESTIAL|PHARMA	2	21	YES	YES
G498-AF015	G493-F02	@ACTION+AIIN	CHD	CHD+AIIN	5	3	HERBAL|BIOLOGICAL|CELESTIAL	2	8	YES	YES
G498-AF016	G493-F02	@ACTION+AIIN	T	T+AIIN	5	3	HERBAL|BIOLOGICAL|PHARMA	2	5	YES	YES
G498-AF017	G493-F02	@ACTION+AIIN	R	R+AIIN	5	2	HERBAL|BIOLOGICAL	3	8	YES	YES
G498-AF018	G493-F02	@ACTION+AIIN	P	P+AIIN	5	0	NONE	5	0	YES	YES
G498-AF019	G493-F03	@ACTION+AIN	OK	OK+AIN	5	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	1	63	YES	YES
G498-AF020	G493-F03	@ACTION+AIN	CH	CH+AIN	5	0	NONE	5	0	YES	YES
G498-AF021	G493-F03	@ACTION+AIN	SH	SH+AIN	5	0	NONE	5	0	YES	YES
G498-AF022	G493-F03	@ACTION+AIN	K	K+AIN	5	2	HERBAL|BIOLOGICAL	3	6	YES	YES
G498-AF023	G493-F03	@ACTION+AIN	S	S+AIN	5	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	1	23	YES	YES
G498-AF024	G493-F03	@ACTION+AIN	CHD	CHD+AIN	5	3	HERBAL|BIOLOGICAL|PHARMA	2	4	YES	YES
G498-AF025	G493-F03	@ACTION+AIN	T	T+AIN	5	2	BIOLOGICAL|PHARMA	3	2	YES	YES
G498-AF026	G493-F03	@ACTION+AIN	R	R+AIN	5	1	BIOLOGICAL	4	3	YES	YES
G498-AF027	G493-F03	@ACTION+AIN	P	P+AIN	5	0	NONE	5	0	YES	YES
G498-AF028	G493-F04	@ACTION+AL	OK	OK+AL	5	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	1	47	YES	YES
G498-AF029	G493-F04	@ACTION+AL	CH	CH+AL	5	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL	1	8	YES	YES
G498-AF030	G493-F04	@ACTION+AL	SH	SH+AL	5	1	BIOLOGICAL	4	1	YES	YES
G498-AF031	G493-F04	@ACTION+AL	K	K+AL	5	3	HERBAL|BIOLOGICAL|CELESTIAL	2	5	YES	YES
G498-AF032	G493-F04	@ACTION+AL	S	S+AL	5	2	BIOLOGICAL|CELESTIAL	3	10	YES	YES
G498-AF033	G493-F04	@ACTION+AL	CHD	CHD+AL	5	2	BIOLOGICAL|CELESTIAL	3	2	YES	YES
G498-AF034	G493-F04	@ACTION+AL	T	T+AL	5	2	BIOLOGICAL|CELESTIAL	3	3	YES	YES
G498-AF035	G493-F04	@ACTION+AL	R	R+AL	5	2	BIOLOGICAL|PHARMA	3	2	YES	YES
G498-AF036	G493-F04	@ACTION+AL	P	P+AL	5	0	NONE	5	0	YES	YES
G498-AF037	G493-F05	@ACTION+AL+Y	OK	OK+AL+Y	5	2	BIOLOGICAL|CELESTIAL	3	5	YES	YES
G498-AF038	G493-F05	@ACTION+AL+Y	CH	CH+AL+Y	5	2	BIOLOGICAL|PHARMA	3	3	YES	YES
G498-AF039	G493-F05	@ACTION+AL+Y	SH	SH+AL+Y	5	0	NONE	5	0	YES	YES
G498-AF040	G493-F05	@ACTION+AL+Y	K	K+AL+Y	5	0	NONE	5	0	YES	YES
G498-AF041	G493-F05	@ACTION+AL+Y	S	S+AL+Y	5	0	NONE	5	0	YES	YES
G498-AF042	G493-F05	@ACTION+AL+Y	CHD	CHD+AL+Y	5	0	NONE	5	0	YES	YES
G498-AF043	G493-F05	@ACTION+AL+Y	T	T+AL+Y	5	1	CELESTIAL	4	1	YES	YES
G498-AF044	G493-F05	@ACTION+AL+Y	R	R+AL+Y	5	1	BIOLOGICAL	4	1	YES	YES
G498-AF045	G493-F05	@ACTION+AL+Y	P	P+AL+Y	5	0	NONE	5	0	YES	YES
G498-AF046	G493-F06	@ACTION+CH+E+Y	OK	OK+CH+E+Y	5	1	HERBAL	4	1	YES	YES
G498-AF047	G493-F06	@ACTION+CH+E+Y	CH	CH+CH+E+Y	5	0	NONE	5	0	YES	YES
G498-AF048	G493-F06	@ACTION+CH+E+Y	SH	SH+CH+E+Y	5	0	NONE	5	0	YES	YES
G498-AF049	G493-F06	@ACTION+CH+E+Y	K	K+CH+E+Y	5	1	HERBAL	4	1	YES	YES
G498-AF050	G493-F06	@ACTION+CH+E+Y	S	S+CH+E+Y	5	1	HERBAL	4	1	YES	YES
G498-AF051	G493-F06	@ACTION+CH+E+Y	CHD	CHD+CH+E+Y	5	0	NONE	5	0	YES	YES
G498-AF052	G493-F06	@ACTION+CH+E+Y	T	T+CH+E+Y	5	1	SOURCE_SECTION_T	4	1	YES	YES
G498-AF053	G493-F06	@ACTION+CH+E+Y	R	R+CH+E+Y	5	1	BIOLOGICAL	4	1	YES	YES
G498-AF054	G493-F06	@ACTION+CH+E+Y	P	P+CH+E+Y	5	0	NONE	5	0	YES	YES
G498-AF055	G493-F07	@ACTION+CHD+Y	OK	OK+CHD+Y	5	1	BIOLOGICAL	4	4	YES	YES
G498-AF056	G493-F07	@ACTION+CHD+Y	CH	CH+CHD+Y	5	0	NONE	5	0	YES	YES
G498-AF057	G493-F07	@ACTION+CHD+Y	SH	SH+CHD+Y	5	0	NONE	5	0	YES	YES
G498-AF058	G493-F07	@ACTION+CHD+Y	K	K+CHD+Y	5	1	HERBAL	4	2	YES	YES
G498-AF059	G493-F07	@ACTION+CHD+Y	S	S+CHD+Y	5	0	NONE	5	0	YES	YES
G498-AF060	G493-F07	@ACTION+CHD+Y	CHD	CHD+CHD+Y	5	0	NONE	5	0	YES	YES
