frame_register_id	frame_id	frozen_frame	register	action_cell_count	observed_action_head_count	observed_action_heads	composed_action_cell_count	observed_event_count	all_nine_actions_readable	all_owner_value_cells_old
G498-FR01	G493-F01	@ACTION	SOURCE_SECTION_T	9	4	OK|SH|S|R	5	5	YES	YES
G498-FR02	G493-F01	@ACTION	HERBAL	9	7	OK|CH|SH|K|S|T|R	2	22	YES	YES
G498-FR03	G493-F01	@ACTION	BIOLOGICAL	9	6	OK|CH|SH|S|CHD|R	3	29	YES	YES
G498-FR04	G493-F01	@ACTION	CELESTIAL	9	2	S|R	7	5	YES	YES
G498-FR05	G493-F01	@ACTION	PHARMA	9	2	S|R	7	16	YES	YES
G498-FR06	G493-F02	@ACTION+AIIN	SOURCE_SECTION_T	9	3	OK|SH|K	6	4	YES	YES
G498-FR07	G493-F02	@ACTION+AIIN	HERBAL	9	6	OK|CH|SH|CHD|T|R	3	22	YES	YES
G498-FR08	G493-F02	@ACTION+AIIN	BIOLOGICAL	9	6	OK|K|S|CHD|T|R	3	74	YES	YES
G498-FR09	G493-F02	@ACTION+AIIN	CELESTIAL	9	4	OK|K|S|CHD	5	12	YES	YES
G498-FR10	G493-F02	@ACTION+AIIN	PHARMA	9	4	OK|CH|S|T	5	9	YES	YES
G498-FR11	G493-F03	@ACTION+AIN	SOURCE_SECTION_T	9	1	OK	8	1	YES	YES
G498-FR12	G493-F03	@ACTION+AIN	HERBAL	9	4	OK|K|S|CHD	5	12	YES	YES
G498-FR13	G493-F03	@ACTION+AIN	BIOLOGICAL	9	6	OK|K|S|CHD|T|R	3	83	YES	YES
G498-FR14	G493-F03	@ACTION+AIN	CELESTIAL	9	1	S	8	1	YES	YES
G498-FR15	G493-F03	@ACTION+AIN	PHARMA	9	4	OK|S|CHD|T	5	4	YES	YES
G498-FR16	G493-F04	@ACTION+AL	SOURCE_SECTION_T	9	1	CH	8	1	YES	YES
G498-FR17	G493-F04	@ACTION+AL	HERBAL	9	3	OK|CH|K	6	9	YES	YES
G498-FR18	G493-F04	@ACTION+AL	BIOLOGICAL	9	8	OK|CH|SH|K|S|CHD|T|R	1	54	YES	YES
G498-FR19	G493-F04	@ACTION+AL	CELESTIAL	9	6	OK|CH|K|S|CHD|T	3	12	YES	YES
G498-FR20	G493-F04	@ACTION+AL	PHARMA	9	2	OK|R	7	2	YES	YES
G498-FR21	G493-F05	@ACTION+AL+Y	SOURCE_SECTION_T	9	0	NONE	9	0	YES	YES
G498-FR22	G493-F05	@ACTION+AL+Y	HERBAL	9	0	NONE	9	0	YES	YES
G498-FR23	G493-F05	@ACTION+AL+Y	BIOLOGICAL	9	3	OK|CH|R	6	5	YES	YES
G498-FR24	G493-F05	@ACTION+AL+Y	CELESTIAL	9	2	OK|T	7	3	YES	YES
G498-FR25	G493-F05	@ACTION+AL+Y	PHARMA	9	1	CH	8	2	YES	YES
G498-FR26	G493-F06	@ACTION+CH+E+Y	SOURCE_SECTION_T	9	1	T	8	1	YES	YES
G498-FR27	G493-F06	@ACTION+CH+E+Y	HERBAL	9	3	OK|K|S	6	3	YES	YES
G498-FR28	G493-F06	@ACTION+CH+E+Y	BIOLOGICAL	9	1	R	8	1	YES	YES
