bridge_id	edge_stem	edge_recipe	carrier_surface	carrier_recipe	carrier_event_count	carrier_pages	carrier_registers	edge_relation
G463-B01	oin	O+IIN	doiin	D_ADDR+O+IIN	2	f13r|f67r2	CELESTIAL|HERBAL	RECIPE_SEQUENCE_SUPPORT
G463-B01	oin	O+IIN	doiir	D_ADDR+O+IIN+R	2	f10r|f24v	HERBAL	RECIPE_SEQUENCE_SUPPORT
G463-B01	oin	O+IIN	loiiin	L+O+IIN	1	f89r	PHARMA	RECIPE_SEQUENCE_SUPPORT
G463-B01	oin	O+IIN	oiiiin	O+IIN	1	f77r	BIOLOGICAL	RECIPE_SEQUENCE_SUPPORT
G463-B01	oin	O+IIN	oiiin	O+IIN	4	f72r|f81v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	RECIPE_SEQUENCE_SUPPORT
G463-B01	oin	O+IIN	oiin	O+IIN	6	f13r|f1r|f67r2|f72r|f81v	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	RECIPE_SEQUENCE_SUPPORT
G463-B01	oin	O+IIN	oin	O+IIN	2	f76r|f77r	BIOLOGICAL	BASE
G463-B01	oin	O+IIN	okoiin	OK+O+IIN	1	f89r	PHARMA	RECIPE_SEQUENCE_SUPPORT
G463-B01	oin	O+IIN	qoaiis	CARRIER_Q+O+IIN+S	1	f89r	PHARMA	RECIPE_SEQUENCE_SUPPORT
G463-B01	oin	O+IIN	qokoiin	OK+O+IIN	1	f82r	BIOLOGICAL	RECIPE_SEQUENCE_SUPPORT
G463-B01	oin	O+IIN	qoloin	OL+O+IIN	1	f76r	BIOLOGICAL	MATCHED_EDGE_EXTENSION
G463-B01	oin	O+IIN	shekoiin	SH+E+K+O+IIN	1	f95v	HERBAL	RECIPE_SEQUENCE_SUPPORT
G463-B01	oin	O+IIN	soiin	S+O+IIN	2	f1r|f81r	BIOLOGICAL|SOURCE_SECTION_T	RECIPE_SEQUENCE_SUPPORT
G463-B01	oin	O+IIN	soin	S+O+IIN	1	f76r	BIOLOGICAL	MATCHED_EDGE_EXTENSION
G463-B01	oin	O+IIN	ydoin	Y+D_ADDR+O+IIN	1	f1r	SOURCE_SECTION_T	MATCHED_EDGE_EXTENSION
G463-B01	oin	O+IIN	ytoiin	Y+T+O+IIN	1	f10r	HERBAL	RECIPE_SEQUENCE_SUPPORT
G463-B02	kor	K+OR	cheokorchey	CH+E+O+K+OR+CH+E+Y	1	f68r1	CELESTIAL	RECIPE_SEQUENCE_SUPPORT
G463-B02	kor	K+OR	chkor	CH+K+OR	1	f56r	HERBAL	RECIPE_SEQUENCE_SUPPORT
G463-B02	kor	K+OR	chkorol	CH+K+OR	1	f76r	BIOLOGICAL	RECIPE_SEQUENCE_SUPPORT
G463-B02	kor	K+OR	ckhor	CH+K+OR	1	f24v	HERBAL	RECIPE_SEQUENCE_SUPPORT
G463-B02	kor	K+OR	kor	K+OR	3	f1r|f88r	PHARMA|SOURCE_SECTION_T	BASE
G463-B02	kor	K+OR	korain	K+OR+AIN	1	f88v	PHARMA	MATCHED_EDGE_EXTENSION
G463-B02	kor	K+OR	korchy	K+OR+CH+Y	1	f56r	HERBAL	MATCHED_EDGE_EXTENSION
G463-B02	kor	K+OR	qkor	K+OR	1	f76r	BIOLOGICAL	RECIPE_SEQUENCE_SUPPORT
G463-B02	kor	K+OR	shekor	SH+E+K+OR	1	f88r	PHARMA	RECIPE_SEQUENCE_SUPPORT
G463-B02	kor	K+OR	ykor	Y+K+OR	3	f13r|f67r2|f68r1	CELESTIAL|HERBAL	RECIPE_SEQUENCE_SUPPORT
G463-B03	yky	Y+K+Y	ykchy	Y+K+Y	3	f13r|f17r	HERBAL	RECIPE_SEQUENCE_SUPPORT
G463-B03	yky	Y+K+Y	yky	Y+K+Y	1	f68r1	CELESTIAL	BASE
G463-B03	yky	Y+K+Y	ykychy	Y+K+Y+CH+Y	1	f11r	HERBAL	MATCHED_EDGE_EXTENSION
G463-B04	cfhy	CH+LOCAL_CHAR_F+Y	cfhy	CH+LOCAL_CHAR_F+Y	2	f10r|f11r	HERBAL	BASE
G463-B04	cfhy	CH+LOCAL_CHAR_F+Y	chcfhdy	CH+O+CH+LOCAL_CHAR_F+Y	1	f76r	BIOLOGICAL	RECIPE_SEQUENCE_SUPPORT
G463-B04	cfhy	CH+LOCAL_CHAR_F+Y	chocfhy	CH+O+CH+LOCAL_CHAR_F+Y	1	f67r2	CELESTIAL	MATCHED_EDGE_EXTENSION
