fusion_unit_order	fusion_unit_id	statement_id	record_unit_id	page	member_event_ids	field_ids	owner_statuses	selected_visible_owners	silent_argument_defaults	owner_accessibility	textual_item_values	primary_noun_source	literal_workshop_clause_de
1	FU001	H1-S001	H1	f10r	E001|E002|E003	F001	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	PAGE_OWNER_ONLY	Wurzel+Posten+Ansatz	TEXT_NAMES_OBJECT__OWNER_LIMITS_REFERENT	Vorgang=bereithalten; Posten=Wurzel+Posten+Ansatz; Quelle=gesetzt; Zustand=bereit
2	FU002	H1-S001	H1	f10r	E004|E005	F001	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	PAGE_OWNER_ONLY	Teil+Gefäß	TEXT_NAMES_OBJECT__OWNER_LIMITS_REFERENT	Vorgang=teilen; Posten=Teil+Gefäß
3	FU003	H1-S001	H1	f10r	E006|E007	F001	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	PAGE_OWNER_ONLY	Teil	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter; Posten=Teil; Lauf=gesetzt
4	FU004	H1-S001	H1	f10r	E008|E009|E010	F001	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	PAGE_OWNER_ONLY	Posten+Teil	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=ansetzen; Posten=Posten+Teil; Wert=Sollmaß; Grad=kurz
5	FU005	H1-S002	H1	f10r	E011	F002	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	PAGE_OWNER_ONLY	Posten	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=ansetzen; Posten=Posten
6	FU006	H1-S002	H1	f10r	E012	F002	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	PAGE_OWNER_ONLY	NONE	OWNER_SUPPLIES_ELLIPTIC_PRIMARY_NOUN	Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter
7	FU007	H1-S002	H1	f10r	E013	F002	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	PAGE_OWNER_ONLY	NONE	OWNER_SUPPLIES_ELLIPTIC_PRIMARY_NOUN	Vorgang=weiterführen; Reihenfolge=weiter
8	FU008	H1-S002	H1	f10r	E014	F002	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	PAGE_OWNER_ONLY	Posten	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=bereithalten; Posten=Posten; Zustand=bereit
9	FU009	H2-S001	H2	f10r	E015|E016	F003	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	PAGE_OWNER_ONLY	Posten+Auszug+Ansatz	TEXT_NAMES_OBJECT__OWNER_LIMITS_REFERENT	Vorgang=bereithalten; Posten=Posten+Auszug+Ansatz; Zustand=bereit
10	FU010	H2-S001	H2	f10r	E017|E018	F003	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	PAGE_OWNER_ONLY	Ansatz	TEXT_NAMES_OBJECT__OWNER_LIMITS_REFERENT	Vorgang=bereithalten; Posten=Ansatz; Wert=Sollmaß; Zustand=bereit
11	FU011	H2-S001	H2	f10r	E019|E020|E021|E022|E023	F003	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	PAGE_OWNER_ONLY	Posten	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=bereithalten→weiterführen; Reihenfolge=weiter; Posten=Posten; Wert=Sollmaß; Zustand=bereit
12	FU012	H2-S002	H2	f10r	E024|E025|E026	F004	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	PAGE_OWNER_ONLY	Ansatz	TEXT_NAMES_OBJECT__OWNER_LIMITS_REFERENT	Vorgang=folgen→weiterführen; Reihenfolge=danach+weiter; Posten=Ansatz
13	FU013	H2-S002	H2	f10r	E027	F004	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	PAGE_OWNER_ONLY	NONE	OWNER_SUPPLIES_ELLIPTIC_PRIMARY_NOUN	Vorgang=weiterführen; Reihenfolge=weiter
14	FU014	H2-S002	H2	f10r	E028	F004	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	PAGE_OWNER_ONLY	Ansatz	TEXT_NAMES_OBJECT__OWNER_LIMITS_REFERENT	Vorgang=weiterführen; Reihenfolge=weiter; Posten=Ansatz
15	FU015	H2-S002	H2	f10r	E029|E030|E031	F004	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	PAGE_OWNER_ONLY	NONE	OWNER_SUPPLIES_ELLIPTIC_PRIMARY_NOUN	Vorgang=weiterführen; Reihenfolge=weiter; Quelle=gesetzt; Wert=Sollmaß
16	FU016	H2-S003	H2	f10r	E032|E033|E034|E035|E036|E037|E038	F005	PAGE_OWNER_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	The same whole illustrated plant remains the article subject; water, preparation, or application may be supplied only as an unpictured source argument.	PAGE_OWNER_ONLY	Posten+Ansatz+Zutat	TEXT_NAMES_OBJECT__OWNER_LIMITS_REFERENT	Vorgang=bearbeiten→zugeben; Posten=Posten+Ansatz+Zutat; Wert=Stufe+Sollmaß
17	FU017	H3-S001	H3	f11r	E039	F006	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	PAGE_OWNER_ONLY	Zutat	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=zugeben→abführen; Posten=Zutat
18	FU018	H3-S001	H3	f11r	E040|E041	F006	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	PAGE_OWNER_ONLY	Zutat+Posten	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=zugeben→auswringen; Posten=Zutat+Posten; Ziel=gesetzt
19	FU019	H3-S001	H3	f11r	E042	F006	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	PAGE_OWNER_ONLY	NONE	OWNER_SUPPLIES_ELLIPTIC_PRIMARY_NOUN	Vorgang=halten; Wert=Sollmaß
20	FU020	H3-S001	H3	f11r	E043|E044|E045	F006	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	PAGE_OWNER_ONLY	Posten+Ergebnis+Zutat	TEXT_NAMES_OBJECT__OWNER_LIMITS_REFERENT	Vorgang=nachseihen→zugeben; Posten=Posten+Ergebnis+Zutat; Zustand=Ergebnis; Schluss
21	FU021	H3-S002	H3	f11r	E046	F007	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	PAGE_OWNER_ONLY	Zutat+Posten+Teil	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=zugeben; Posten=Zutat+Posten+Teil
22	FU022	H3-S003	H3	f11r	E047|E048|E049|E050|E051	F008	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	PAGE_OWNER_ONLY	Vorposten+Posten	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=bearbeiten; Reihenfolge=vorher; Posten=Vorposten+Posten; Wert=Sollmaß
23	FU023	H3-S004	H3	f11r	E052|E053	F009	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	PAGE_OWNER_ONLY	Posten	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=folgen→ansetzen→weiterführen; Reihenfolge=danach+weiter; Posten=Posten
24	FU024	H3-S004	H3	f11r	E054|E055	F009	PAGE_OWNER_ONLY	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	The same whole illustrated plant remains the article subject; any preparation or use is unpictured source matter.	PAGE_OWNER_ONLY	Posten	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=bereithalten; Posten=Posten; Zustand=bereit
25	FU025	H4-S001	H4	f55v	E056|E057|E058	F010	PAGE_OWNER_ONLY	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	The uninterrupted whole plant remains the subject across all four text pockets; a source recipe may silently supply an unpictured material or use.	PAGE_OWNER_ONLY	Posten	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=ansetzen; Posten=Posten; Wert=Sollmaß+Anteil
26	FU026	H4-S001	H4	f55v	E059|E060	F010	PAGE_OWNER_ONLY	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	The uninterrupted whole plant remains the subject across all four text pockets; a source recipe may silently supply an unpictured material or use.	PAGE_OWNER_ONLY	Posten	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=kühlen; Posten=Posten; Wert=Anteil
27	FU027	H4-S002	H4	f55v	E061|E062	F011	PAGE_OWNER_ONLY	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	The uninterrupted whole plant remains the subject across all four text pockets; a source recipe may silently supply an unpictured material or use.	PAGE_OWNER_ONLY	Posten	OWNER_RESOLVES_GENERIC_TEXT_ITEM	Vorgang=umsetzen; Posten=Posten; Wert=Sollmaß
