statement_order	statement_id	record_unit_id	page	clause_count	visible_owners	owner_resolved_generic_clauses	owner_supplied_elliptic_clauses	text_named_object_clauses	unresolved_owner_clauses	concrete_source_expansion_de
1	H1-S001	H1	f10r	4	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	2	0	2	0	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
2	H1-S002	H1	f10r	4	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	2	2	0	0	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
3	H2-S001	H2	f10r	3	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	1	0	2	0	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
4	H2-S002	H2	f10r	4	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	0	2	2	0	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
5	H2-S003	H2	f10r	1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	0	0	1	0	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
6	H3-S001	H3	f11r	4	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	2	1	1	0	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
7	H3-S002	H3	f11r	1	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	1	0	0	0	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.
8	H3-S003	H3	f11r	1	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	1	0	0	0	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
9	H3-S004	H3	f11r	2	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	2	0	0	0	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
10	H4-S001	H4	f55v	2	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	2	0	0	0	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.
