event_id	page	record	statement_id	surface	card_no	component_parse	source_object_class	recipe_object_de	operation_de	local_output_de	water_wine_oil_word_claim
E001	f10r	H1	H1-S001	dchey	PROC001	CH+E+Y	CURRENT_ITEM	aktuelle Portion oder Zwischencharge dieses Rezepts	abziehen	abgenommener oder abgezogener Anteil	NONE__MEDIUM_IS_ARTICLE_CONTEXT
E002	f10r	H1	H1-S001	cthoor	PROC002	CTH+O+OR	PREPARATION	aktuelle Auszugs- oder Auflagenzubereitung	adressieren oder spezifizieren	aktueller Ansatz	NONE__MEDIUM_IS_ARTICLE_CONTEXT
E003	f10r	H1	H1-S001	char	PROC003	AR	SOURCE_STOCK	Vorrat derselben Pflanzencharge oder Traegerfluessigkeit	adressieren oder spezifizieren	lokaler Quellvorrat	NONE__MEDIUM_IS_ARTICLE_CONTEXT
E004	f10r	H1	H1-S001	chty	PROC004	T+Y	CURRENT_ITEM	aktuelle Portion oder Zwischencharge dieses Rezepts	eintragen	im Arbeitsfach eingetragener Posten	NONE__MEDIUM_IS_ARTICLE_CONTEXT
E005	f10r	H1	H1-S001	os	PROC005	OS	WORK_COMPARTMENT	kleines Arbeits- oder Auffangfach	adressieren oder spezifizieren	ausgewaehltes Arbeitsfach	NONE__MEDIUM_IS_ARTICLE_CONTEXT
E006	f10r	H1	H1-S001	chair	PROC006	CH+AIR	FLOWING_MEDIUM	laufender Wasser-/Auszugsstrom dieses Rezepts	abziehen	abgenommener oder abgezogener Anteil	NONE__MEDIUM_IS_ARTICLE_CONTEXT
E007	f10r	H1	H1-S001	otytchol	PROC007	OT+Y+T+CH+OL	CURRENT_ITEM	aktuelle Portion oder Zwischencharge dieses Rezepts	eintragen + abziehen	im Arbeitsfach eingetragener Posten -> abgenommener oder abgezogener Anteil	NONE__MEDIUM_IS_ARTICLE_CONTEXT
E008	f10r	H1	H1-S001	oky	PROC008	OK+Y	CURRENT_ITEM	aktuelle Portion oder Zwischencharge dieses Rezepts	ansetzen	angesetzter Arbeitsposten	NONE__MEDIUM_IS_ARTICLE_CONTEXT
E009	f10r	H1	H1-S001	daiin	PROC009	AIIN	OWNER_BOUND_MATERIAL	Pflanzenstoff oder Zwischenprodukt des sichtbaren Pflanzenbesitzers	adressieren oder spezifizieren	vom Bildbesitzer gesetzter lokaler Arbeitsstoff	NONE__MEDIUM_IS_ARTICLE_CONTEXT
E010	f10r	H1	H1-S001	etyd	PROC010	E+T+Y	CURRENT_ITEM	aktuelle Portion oder Zwischencharge dieses Rezepts	eintragen	im Arbeitsfach eingetragener Posten	NONE__MEDIUM_IS_ARTICLE_CONTEXT
E011	f10r	H1	H1-S002	qokchy	PROC011	OK+Y	CURRENT_ITEM	aktuelle Portion oder Zwischencharge dieses Rezepts	ansetzen	angesetzter Arbeitsposten	NONE__MEDIUM_IS_ARTICLE_CONTEXT
E012	f10r	H1	H1-S002	qotchol	PROC012	OT+CH+OL	OWNER_BOUND_MATERIAL	Pflanzenstoff oder Zwischenprodukt des sichtbaren Pflanzenbesitzers	abziehen	abgenommener oder abgezogener Anteil	NONE__MEDIUM_IS_ARTICLE_CONTEXT
