statement_id	record	page	object_before_id	object_after_id	source_objects_de	source_operations_de	concrete_recipe_step_de	article_medium_de	article_product_de	all_source_objects_preserved
H1-S001	H1	f10r	H1:OWNER_01:MASTER_OR_IMAGE_SUPPLIED	H1:OWNER_01:STATE_01	aktuell gemeinter Arbeitsposten | aktueller Ansatz | lokaler Quellvorrat | ausgewaehltes Arbeitsfach | laufende Arbeitsfluessigkeit | vom Bildbesitzer gesetzter lokaler Arbeitsstoff	abziehen -> eintragen -> abziehen -> eintragen + abziehen -> ansetzen -> eintragen	Frischen Pflanzenteil kurz in den Wasseransatz geben, den ersten Auszug in das Auffangfach laufen lassen und nach Mass zurueck in die Charge eintragen.	frisches Wasser oder bereits angesetzte milde Auszugsfluessigkeit	nach Mass aufgefangener Grundauszug	YES
H1-S002	H1	f10r	H1:OWNER_01:STATE_01	H1:OWNER_01:STATE_02	aktuell gemeinter Arbeitsposten | vom Bildbesitzer gesetzter lokaler Arbeitsstoff	ansetzen -> abziehen	Eine weitere Pflanzenportion in denselben Ansatz geben, kurz abziehen und bis zum bereiten Grundauszug weiterarbeiten.	frisches Wasser oder bereits angesetzte milde Auszugsfluessigkeit	nach Mass aufgefangener Grundauszug	YES
H2-S001	H2	f10r	H2:OWNER_01:MASTER_OR_IMAGE_SUPPLIED	H2:OWNER_01:STATE_01	aktueller Ansatz | aktuell gemeinter Arbeitsposten | vom Bildbesitzer gesetzter lokaler Arbeitsstoff	abziehen	Den zurueckbehaltenen Pflanzenrest oder zweiten Teil abziehen, an Ansatz und Mass binden und bis zur Bereitschaft weiterziehen.	derselbe Wasser-/Auszugsansatz wie im ersten Absatz	zweifach nachbeschickter standardisierter Zweitauszug	YES
H2-S002	H2	f10r	H2:OWNER_01:STATE_01	H2:OWNER_01:STATE_02	aktueller Ansatz | vom Bildbesitzer gesetzter lokaler Arbeitsstoff | lokaler Quellvorrat	abziehen	Vom fortgefuehrten Ansatz einen gemessenen Nachauszug abnehmen; den Rest im Gefaess weiterfuehren.	derselbe Wasser-/Auszugsansatz wie im ersten Absatz	zweifach nachbeschickter standardisierter Zweitauszug	YES
H2-S003	H2	f10r	H2:OWNER_01:STATE_02	H2:OWNER_01:STATE_03	aktueller Ansatz | aktuell gemeinter Arbeitsposten | vom Bildbesitzer gesetzter lokaler Arbeitsstoff	zufuehren -> zufuehren -> abziehen	Den Ansatz zweimal mit frischem Pflanzenstoff oder Medium nachbeschicken und die naechste verbrauchte Portion entfernen.	derselbe Wasser-/Auszugsansatz wie im ersten Absatz	zweifach nachbeschickter standardisierter Zweitauszug	YES
H3-S001	H3	f11r	H3:OWNER_01:MASTER_OR_IMAGE_SUPPLIED	H3:OWNER_01:STATE_01	vom Bildbesitzer gesetzter lokaler Arbeitsstoff | bezeichnete Zielstelle | aktuell gemeinter Arbeitsposten	eintragen + halten -> halten -> auswringen -> halten -> hineingeben -> halten -> eintragen + abziehen	Blueten in das Tuchgefaess geben, ziehen lassen, auswringen, das Pressgut erneut einlegen, nochmals ziehen und den Auszug auffangen.	Wasser als Default; leichter Wein bleibt moeglicher historischer Traeger	zweifach gezogener und ausgewrungener Bluetenauszug	YES
H3-S002	H3	f11r	H3:OWNER_01:STATE_01	H3:OWNER_01:STATE_02	aktuell gemeinter Arbeitsposten	halten + eintragen	Eine zweite Bluetenportion im gleichen Ziehgang halten und eintragen.	Wasser als Default; leichter Wein bleibt moeglicher historischer Traeger	zweifach gezogener und ausgewrungener Bluetenauszug	YES
H3-S003	H3	f11r	H3:OWNER_01:STATE_02	H3:OWNER_01:STATE_03	vom Bildbesitzer gesetzter lokaler Arbeitsstoff | aktuell gemeinter Arbeitsposten	zufuehren	Vom vorhandenen Bluetenmaterial oder Medium eine gemessene Portion weiter zugeben.	Wasser als Default; leichter Wein bleibt moeglicher historischer Traeger	zweifach gezogener und ausgewrungener Bluetenauszug	YES
H3-S004	H3	f11r	H3:OWNER_01:STATE_03	H3:OWNER_01:STATE_04	aktuell gemeinter Arbeitsposten | vom Bildbesitzer gesetzter lokaler Arbeitsstoff	ansetzen	Den zweiten Ansatz fortsetzen, bis der Bluetenauszug gebrauchsfertig ist.	Wasser als Default; leichter Wein bleibt moeglicher historischer Traeger	zweifach gezogener und ausgewrungener Bluetenauszug	YES
H4-S001	H4	f55v	H4:OWNER_01:MASTER_OR_IMAGE_SUPPLIED	H4:OWNER_01:STATE_01	vom Bildbesitzer gesetzter lokaler Arbeitsstoff | abgeteilte Portion	ansetzen -> zufuehren -> zufuehren	Pflanzenstoff nach Mass ansetzen, zwei dosierte Anteile in die Grundmasse geben und den Mischgang schliessen.	so viel warme Traegerfluessigkeit oder Fett, dass eine streich- oder auflegbare Masse entsteht	abgemessene warme Auflage oder dicke Waschzubereitung	YES
