event_serial	page	locus	record	record_unit_id	field_id	field_ordinal_in_locus	event_index_in_locus	event_index_in_record	surface	joint_tuple_id	formal_formula_opaque	FORMAL_VALUE	terminal_status	strict_control_prompt	V59_R1_MNEMONIC	ATOMIC_OR_WHOLE_CARD_MNEMONIC	mnemonic_scope	LOCAL_IATROMEDICAL_EXPANSION	NONMEDICAL_RIVAL	UNKNOWN_EXEMPLAR_STATUS	source_lineage	V60_R2_WORD_CLASS	V60_R2_DECISION	V60_R2_CONFIDENCE
1	f10r	f10r.2	1	H1	F001	1	1	1	dchey	65f320e75510b2f38182	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	Nimm die faserige untere Wurzel	Wurzelstoff aus dem Bildlos übernehmen [lokaler H1-Musterbogenschritt 1/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
2	f10r	f10r.2	1	H1	F001	1	2	2	cthoor	dedc383b600397a301ee	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	wasche sie in fließendem Wasser	Wurzelstoff aus dem Bildlos übernehmen [lokaler H1-Musterbogenschritt 2/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
3	f10r	f10r.2	1	H1	F001	1	3	3	char	4d4559019a961b834aa1	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	Daraus, aus demselben Ansatz	Wurzelstoff aus dem Bildlos übernehmen [lokaler H1-Musterbogenschritt 3/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
4	f10r	f10r.2	1	H1	F001	1	4	4	chty	80ebbbbf238eee9f0aef	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	Gleichmäßig bearbeiten	Wurzelstoff aus dem Bildlos übernehmen [lokaler H1-Musterbogenschritt 4/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
5	f10r	f10r.2	1	H1	F001	1	5	5	os	df1098831679a8ad1b39	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	zerstoße sie zu grobem Pulver	wässern [lokaler H1-Musterbogenschritt 5/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
6	f10r	f10r.2	1	H1	F001	1	6	6	chair	12efe866f335461823a6	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	gib Rotwein hinzu	wässern [lokaler H1-Musterbogenschritt 6/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
7	f10r	f10r.2	1	H1	F001	1	7	7	otytchol	62ff059766b21c7de083	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	trinke es bei Magenschmerz	wässern [lokaler H1-Musterbogenschritt 7/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
8	f10r	f10r.2	1	H1	F001	1	8	8	oky	276a7c2d74d1143446f4	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	VERWENDEN?	VERWENDEN?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Die aktive Portion verwenden	als Standardzusatz ansetzen [lokaler H1-Musterbogenschritt 8/14; keine Kartenbedeutung]	MEANING_UNCONFIRMED;MNEMONIC_ONLY;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_EXACT_CARD_COMPETITION	VERB_INFINITIV_ODER_IMPERATIV	KEEP	.60
9	f10r	f10r.2	1	H1	F001	1	9	9	daiin	2f1c5e56e8f0ff459065	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	VORGABEPARAMETER?	MASS?	MASS?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Ein vorgeschriebenes Maß	als Standardzusatz ansetzen [lokaler H1-Musterbogenschritt 9/14; keine Kartenbedeutung]	MEANING_UNCONFIRMED;MNEMONIC_ONLY;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_EXACT_CARD_COMPETITION	SUBSTANTIV_ODER_MASS_SIGLE	KEEP	.58
10	f10r	f10r.2	1	H1	F001	1	10	10	etyd	a6939862e33ece5a0483	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	bewahre die übrige Wurzel trocken auf	als Standardzusatz ansetzen [lokaler H1-Musterbogenschritt 10/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
11	f10r	f10r.5	1	H1	F002	1	1	11	qokchy	9ad66e67803a12e745de	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	gebrauche die frisch bereitete Arznei	als Standardzusatz ansetzen [lokaler H1-Musterbogenschritt 11/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
12	f10r	f10r.5	1	H1	F002	1	2	12	qotchol	e8a6105b5c3a6220b440	FRAME_OT(OPAQUE_PAYLOAD)	FRAME_OT	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	wende sie warm an	Rest lagern [lokaler H1-Musterbogenschritt 12/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
13	f10r	f10r.5	1	H1	F002	1	3	13	chol	dcda95c81a5460feb191	FRAME_O(LINK)	LINK_ACTIVE_STATE+FRAME_O	NONCLOSE	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	UNKNOWN	UNKNOWN	UNKNOWN	Mit der vorigen Zubereitung weiter	Rest lagern [lokaler H1-Musterbogenschritt 13/14; keine Kartenbedeutung]	FORMAL_VALUE_ONLY;SOURCE_MEANING_UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
14	f10r	f10r.5	1	H1	F002	1	4	14	cthy	e0b630cb1b5df5e7105b	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	BEREIT?	BEREIT?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Sobald die Zubereitung gebrauchsfertig ist	Rest lagern [lokaler H1-Musterbogenschritt 14/14; keine Kartenbedeutung]	MEANING_UNCONFIRMED;MNEMONIC_ONLY;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_EXACT_CARD_COMPETITION	ZUSTANDSADJEKTIV_ODER_TEMPORALPRAEDIKAT	KEEP	.48
15	f10r	f10r.6	2	H2	F003	1	1	1	ycheor	7249edc4df3419c26999	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	sie wächst auf feuchtem Wiesengrund	obere Pflanzenteile übernehmen [lokaler H2-Musterbogenschritt 1/24; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
16	f10r	f10r.6	2	H2	F003	1	2	2	cthy	e0b630cb1b5df5e7105b	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	BEREIT?	BEREIT?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Sobald die Zubereitung gebrauchsfertig ist	obere Pflanzenteile übernehmen [lokaler H2-Musterbogenschritt 2/24; keine Kartenbedeutung]	MEANING_UNCONFIRMED;MNEMONIC_ONLY;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_EXACT_CARD_COMPETITION	ZUSTANDSADJEKTIV_ODER_TEMPORALPRAEDIKAT	KEEP	.48
17	f10r	f10r.6	2	H2	F003	1	3	3	chor	7a4bb8136330ee4e6e56	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	BEREITUNG?	BEREITUNG?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Die bereitete Arbeitsflüssigkeit	obere Pflanzenteile übernehmen [lokaler H2-Musterbogenschritt 3/24; keine Kartenbedeutung]	MEANING_UNCONFIRMED;MNEMONIC_ONLY;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_EXACT_CARD_COMPETITION	SACHNOMEN	KEEP	.42
18	f10r	f10r.6	2	H2	F003	1	4	4	cthaiin	f3c23f42baf625639e1e	OPAQUE_PAYLOAD + <ARG_AIIN>	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	gib den ausgepressten Saft hinzu	obere Pflanzenteile übernehmen [lokaler H2-Musterbogenschritt 4/24; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
19	f10r	f10r.6	2	H2	F003	1	5	5	qoctholy	af816c04e65874a0f2fa	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	koche es sanft	obere Pflanzenteile übernehmen [lokaler H2-Musterbogenschritt 5/24; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
20	f10r	f10r.6	2	H2	F003	1	6	6	dy	b921a237be883a820352	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	Diese aktive Portion	obere Pflanzenteile übernehmen [lokaler H2-Musterbogenschritt 6/24; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
21	f10r	f10r.6	2	H2	F003	1	7	7	chy	b921a237be883a820352	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	Diese aktive Portion	ausziehen [lokaler H2-Musterbogenschritt 7/24; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
22	f10r	f10r.6	2	H2	F003	1	8	8	taiin	2f1c5e56e8f0ff459065	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	MASS?	MASS?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Ein vorgeschriebenes Maß	ausziehen [lokaler H2-Musterbogenschritt 8/24; keine Kartenbedeutung]	MEANING_UNCONFIRMED;MNEMONIC_ONLY;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_EXACT_CARD_COMPETITION	SUBSTANTIV_ODER_MASS_SIGLE	KEEP	.58
23	f10r	f10r.6	2	H2	F003	1	9	9	shy	b921a237be883a820352	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	Diese aktive Portion	ausziehen [lokaler H2-Musterbogenschritt 9/24; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
24	f10r	f10r.8	2	H2	F004	1	1	10	qotchor	10488b911aae52b3b334	FRAME_OT(OPAQUE_PAYLOAD)	FRAME_OT	NONCLOSE	NONE	UNKNOWN	UNKNOWN	UNKNOWN	vor der Blüte gesammelt	ausziehen [lokaler H2-Musterbogenschritt 10/24; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_UNCHANGED	NOT_TARGETED	UNCHANGED_NOT_TARGETED	NOT_TARGETED
25	f10r	f10r.8	2	H2	F004	1	2	11	chor	7a4bb8136330ee4e6e56	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	BEREITUNG?	BEREITUNG?	EXPLORATORY_SHARED_EXACT_CARD_MNEMONIC	Die bereitete Arbeitsflüssigkeit	ausziehen [lokaler H2-Musterbogenschritt 11/24; keine Kartenbedeutung]	MEANING_UNCONFIRMED;MNEMONIC_ONLY;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R2_EXACT_CARD_COMPETITION	SACHNOMEN	KEEP	.42
