canonical_card	joint_tuple_id	selected_default_de	source_class	event_serial	page	register	locus	record	record_unit_id	record_event_position	record_event_count	field_id	field_position	field_event_position	field_event_count	terminal_status	surface_audit_only	formal_formula_audit_only	v59_mnemonic	v60_mnemonic	predecessor_event_serial	predecessor_joint_tuple_id	predecessor_canonical_card	predecessor_local_expansion	current_local_iatromedical_expansion	current_nonmedical_rival	successor_event_serial	successor_joint_tuple_id	successor_canonical_card	successor_local_expansion	whole_field_local_expansion	whole_field_nonmedical_rival	occurrence_pressure	card_context_pressure_summary	strongest_contradiction	binding_rule
OKY	276a7c2d74d1143446f4	verwenden	Verb	8	f10r	HERBAL	f10r.2	1	H1	8	14	F001	MIDDLE	8	10	NONCLOSE	oky	OPAQUE_PAYLOAD	VERWENDEN?	VERWENDEN?	7	62ff059766b21c7de083	OTHER_EXACT	trinke es bei Magenschmerz	Die aktive Portion verwenden	als Standardzusatz ansetzen [lokaler H1-Musterbogenschritt 8/14; keine Kartenbedeutung]	9	2f1c5e56e8f0ff459065	AIIN	Ein vorgeschriebenes Maß	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	Wurzelstoff aus dem Bildlos übernehmen [Ganzfeldexemplar H1, Feld 1/2]	REGISTER=HERBAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=10;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=AIIN	10 Vorkommen auf 5 Seiten/6 Records; 6× MIDDLE, 2× LAST, 1× FIRST, 1× ONLY; zweimal OKEEY→OKY, zweimal OKY→AIIN und einmal OKY→AL. Das Tuple sitzt plausibel als ausführbarer Handlungspivot.	Ein isoliertes und drei feldabschließende Vorkommen lassen ebenso eine Fortsetzungs- oder Freigabefunktion zu; die technische Rivalprosa ist nicht einheitlich.	EXACT_JOINT_TUPLE_ID_ONLY
AIIN	2f1c5e56e8f0ff459065	Maß	Parameter	9	f10r	HERBAL	f10r.2	1	H1	9	14	F001	MIDDLE	9	10	NONCLOSE	daiin	OPAQUE_PAYLOAD	MASS?	MASS?	8	276a7c2d74d1143446f4	OKY	Die aktive Portion verwenden	Ein vorgeschriebenes Maß	als Standardzusatz ansetzen [lokaler H1-Musterbogenschritt 9/14; keine Kartenbedeutung]	10	a6939862e33ece5a0483	OTHER_EXACT	bewahre die übrige Wurzel trocken auf	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	Wurzelstoff aus dem Bildlos übernehmen [Ganzfeldexemplar H1, Feld 1/2]	REGISTER=HERBAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=10;TERMINAL=NONCLOSE;PREDECESSOR=OKY;SUCCESSOR=OTHER_EXACT	20 Vorkommen auf 7 Seiten und in allen 11 Prosarecords; 6× FIRST, 9× MIDDLE, 5× LAST, stets NONCLOSE; zweimal OKY→AIIN. Der breite Anschlussdruck begünstigt einen frei einsetzbaren Parameter.	Keines der 20 Ereignisse trägt selbst eine sichtbare Einheit oder Zahl; alle gleichlautenden Maß-Expansionen sind aus V59 geerbt und daher nicht unabhängig.	EXACT_JOINT_TUPLE_ID_ONLY
CTHY	e0b630cb1b5df5e7105b	bereit	Zustand	14	f10r	HERBAL	f10r.5	1	H1	14	14	F002	LAST	4	4	NONCLOSE	cthy	OPAQUE_PAYLOAD	BEREIT?	BEREIT?	13	dcda95c81a5460feb191	OTHER_EXACT	Mit der vorigen Zubereitung weiter	Sobald die Zubereitung gebrauchsfertig ist	Rest lagern [lokaler H1-Musterbogenschritt 14/14; keine Kartenbedeutung]	BOUNDARY	BOUNDARY	BOUNDARY	BOUNDARY	gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	als Standardzusatz ansetzen [Ganzfeldexemplar H1, Feld 2/2]	REGISTER=HERBAL;FIELD_POSITION=LAST;FIELD_LENGTH=4;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=BOUNDARY	7 Vorkommen auf 3 Seiten/4 Records; 6× MIDDLE und 1× LAST, alle NONCLOSE; je einmal vor OR und AL sowie einmal nach AL. Der Zustandswert ist lokal anschlussfähig.	Nur ein Vorkommen steht unmittelbar vor OR; das feldletzte offene Vorkommen kann auch bloß eine Abschnittsmarke oder ein anderer Zustand sein.	EXACT_JOINT_TUPLE_ID_ONLY
CTHY	e0b630cb1b5df5e7105b	bereit	Zustand	16	f10r	HERBAL	f10r.6	2	H2	2	24	F003	MIDDLE	2	9	NONCLOSE	cthy	OPAQUE_PAYLOAD	BEREIT?	BEREIT?	15	7249edc4df3419c26999	OTHER_EXACT	sie wächst auf feuchtem Wiesengrund	Sobald die Zubereitung gebrauchsfertig ist	obere Pflanzenteile übernehmen [lokaler H2-Musterbogenschritt 2/24; keine Kartenbedeutung]	17	7a4bb8136330ee4e6e56	OR	Die bereitete Arbeitsflüssigkeit	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	obere Pflanzenteile übernehmen [Ganzfeldexemplar H2, Feld 1/3]	REGISTER=HERBAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=9;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=OR	7 Vorkommen auf 3 Seiten/4 Records; 6× MIDDLE und 1× LAST, alle NONCLOSE; je einmal vor OR und AL sowie einmal nach AL. Der Zustandswert ist lokal anschlussfähig.	Nur ein Vorkommen steht unmittelbar vor OR; das feldletzte offene Vorkommen kann auch bloß eine Abschnittsmarke oder ein anderer Zustand sein.	EXACT_JOINT_TUPLE_ID_ONLY
OR	7a4bb8136330ee4e6e56	Zubereitung	Nomen	17	f10r	HERBAL	f10r.6	2	H2	3	24	F003	MIDDLE	3	9	NONCLOSE	chor	OPAQUE_PAYLOAD	BEREITUNG?	ZUBEREITUNG?	16	e0b630cb1b5df5e7105b	CTHY	Sobald die Zubereitung gebrauchsfertig ist	Die bereitete Arbeitsflüssigkeit	obere Pflanzenteile übernehmen [lokaler H2-Musterbogenschritt 3/24; keine Kartenbedeutung]	18	f3c23f42baf625639e1e	OTHER_EXACT	gib den ausgepressten Saft hinzu	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	obere Pflanzenteile übernehmen [Ganzfeldexemplar H2, Feld 1/3]	REGISTER=HERBAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=9;TERMINAL=NONCLOSE;PREDECESSOR=CTHY;SUCCESSOR=OTHER_EXACT	7 Vorkommen auf 3 Seiten/4 Records; 5× MIDDLE, 2× FIRST, alle NONCLOSE; ein CTHY→OR-Anschluss und ein OR→OR-Doppel. Ein wiederaufnehmbares Arbeitsnomen passt.	Die direkte Doppelung ergibt bei wörtlicher Komposition ‚Zubereitung Zubereitung‘; zwei Bio-Vorkommen stehen zudem feldinitial ohne sichtbare Wiederaufnahme.	EXACT_JOINT_TUPLE_ID_ONLY
AIIN	2f1c5e56e8f0ff459065	Maß	Parameter	22	f10r	HERBAL	f10r.6	2	H2	8	24	F003	MIDDLE	8	9	NONCLOSE	taiin	OPAQUE_PAYLOAD	MASS?	MASS?	21	b921a237be883a820352	OTHER_EXACT	Diese aktive Portion	Ein vorgeschriebenes Maß	ausziehen [lokaler H2-Musterbogenschritt 8/24; keine Kartenbedeutung]	23	b921a237be883a820352	OTHER_EXACT	Diese aktive Portion	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	obere Pflanzenteile übernehmen [Ganzfeldexemplar H2, Feld 1/3]	REGISTER=HERBAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=9;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=OTHER_EXACT	20 Vorkommen auf 7 Seiten und in allen 11 Prosarecords; 6× FIRST, 9× MIDDLE, 5× LAST, stets NONCLOSE; zweimal OKY→AIIN. Der breite Anschlussdruck begünstigt einen frei einsetzbaren Parameter.	Keines der 20 Ereignisse trägt selbst eine sichtbare Einheit oder Zahl; alle gleichlautenden Maß-Expansionen sind aus V59 geerbt und daher nicht unabhängig.	EXACT_JOINT_TUPLE_ID_ONLY
OR	7a4bb8136330ee4e6e56	Zubereitung	Nomen	25	f10r	HERBAL	f10r.8	2	H2	11	24	F004	MIDDLE	2	8	NONCLOSE	chor	OPAQUE_PAYLOAD	BEREITUNG?	ZUBEREITUNG?	24	10488b911aae52b3b334	OTHER_EXACT	vor der Blüte gesammelt	Die bereitete Arbeitsflüssigkeit	ausziehen [lokaler H2-Musterbogenschritt 11/24; keine Kartenbedeutung]	26	497cbd9c7401810ff56b	OTHER_EXACT	eine Handvoll	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	ausziehen [Ganzfeldexemplar H2, Feld 2/3]	REGISTER=HERBAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=8;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=OTHER_EXACT	7 Vorkommen auf 3 Seiten/4 Records; 5× MIDDLE, 2× FIRST, alle NONCLOSE; ein CTHY→OR-Anschluss und ein OR→OR-Doppel. Ein wiederaufnehmbares Arbeitsnomen passt.	Die direkte Doppelung ergibt bei wörtlicher Komposition ‚Zubereitung Zubereitung‘; zwei Bio-Vorkommen stehen zudem feldinitial ohne sichtbare Wiederaufnahme.	EXACT_JOINT_TUPLE_ID_ONLY
OLOR	dec401773c1f0347793d	vom Vorigen	Relation	28	f10r	HERBAL	f10r.8	2	H2	14	24	F004	MIDDLE	5	8	NONCLOSE	cholor	OPAQUE_PAYLOAD	ZUVOR?	VOM VORIGEN?	27	dcda95c81a5460feb191	OTHER_EXACT	Mit der vorigen Zubereitung weiter	Aus dem vorigen Ansatz entnehmen	mit einem Träger verbinden [lokaler H2-Musterbogenschritt 14/24; keine Kartenbedeutung]	29	dcda95c81a5460feb191	OTHER_EXACT	Mit der vorigen Zubereitung weiter	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	ausziehen [Ganzfeldexemplar H2, Feld 2/3]	REGISTER=HERBAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=8;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=OTHER_EXACT	2 Vorkommen auf 2 Seiten/2 Registern; einmal MIDDLE, einmal FIRST, beide NONCLOSE; beide werden unmittelbar von einer lokalen Weiterführungsform gefolgt.	Nur zwei Fälle tragen die Entscheidung; ob die Relation anaphorisch, räumlich oder zeitlich ist, wird allein durch die kreative V59-Prosa unterschieden.	EXACT_JOINT_TUPLE_ID_ONLY
AIIN	2f1c5e56e8f0ff459065	Maß	Parameter	30	f10r	HERBAL	f10r.8	2	H2	16	24	F004	MIDDLE	7	8	NONCLOSE	daiin	OPAQUE_PAYLOAD	MASS?	MASS?	29	dcda95c81a5460feb191	OTHER_EXACT	Mit der vorigen Zubereitung weiter	Ein vorgeschriebenes Maß	mit einem Träger verbinden [lokaler H2-Musterbogenschritt 16/24; keine Kartenbedeutung]	31	4d4559019a961b834aa1	OTHER_EXACT	Daraus, aus demselben Ansatz	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	ausziehen [Ganzfeldexemplar H2, Feld 2/3]	REGISTER=HERBAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=8;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=OTHER_EXACT	20 Vorkommen auf 7 Seiten und in allen 11 Prosarecords; 6× FIRST, 9× MIDDLE, 5× LAST, stets NONCLOSE; zweimal OKY→AIIN. Der breite Anschlussdruck begünstigt einen frei einsetzbaren Parameter.	Keines der 20 Ereignisse trägt selbst eine sichtbare Einheit oder Zahl; alle gleichlautenden Maß-Expansionen sind aus V59 geerbt und daher nicht unabhängig.	EXACT_JOINT_TUPLE_ID_ONLY
OR	7a4bb8136330ee4e6e56	Zubereitung	Nomen	33	f10r	HERBAL	f10r.9	2	H2	19	24	F005	MIDDLE	2	7	NONCLOSE	shor	OPAQUE_PAYLOAD	BEREITUNG?	ZUBEREITUNG?	32	27d97af8c96eb056c2e6	OTHER_EXACT	wenn sich die Blüte geöffnet hat	Die bereitete Arbeitsflüssigkeit	zweite Charge buchen [lokaler H2-Musterbogenschritt 19/24; keine Kartenbedeutung]	34	7a4bb8136330ee4e6e56	OR	Die bereitete Arbeitsflüssigkeit	wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	mit einem Träger verbinden [Ganzfeldexemplar H2, Feld 3/3]	REGISTER=HERBAL;FIELD_POSITION=MIDDLE;FIELD_LENGTH=7;TERMINAL=NONCLOSE;PREDECESSOR=OTHER_EXACT;SUCCESSOR=OR	7 Vorkommen auf 3 Seiten/4 Records; 5× MIDDLE, 2× FIRST, alle NONCLOSE; ein CTHY→OR-Anschluss und ein OR→OR-Doppel. Ein wiederaufnehmbares Arbeitsnomen passt.	Die direkte Doppelung ergibt bei wörtlicher Komposition ‚Zubereitung Zubereitung‘; zwei Bio-Vorkommen stehen zudem feldinitial ohne sichtbare Wiederaufnahme.	EXACT_JOINT_TUPLE_ID_ONLY
