card	joint_tuple_id	occurrences	pages	record_units	position_census	terminal_occurrences	v59_r1_mnemonic	v60_r2_winner	rival_1	rival_2	source_word_class	decision	all_occurrence_context_result	historical_workshop_use	strongest_counterevidence	confidence	binding_rule
AIIN	2f1c5e56e8f0ff459065	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	FIRST=6;MIDDLE=9;LAST=5;ONLY=0	0	MASS?	MASS?	VORGABE?	MENGE?	SUBSTANTIV_ODER_MASS_SIGLE	KEEP	20/20 Kontexte erlauben einen breiten Mass-/Parameterhinweis; 6 FIRST, 9 MIDDLE, 5 LAST und kein Schlussvorkommen.	Kurze Rezept- oder Registersigle fuer mensura/quantitas beziehungsweise das vorgeschriebene Mass eines Bestandteils; Analogie, keine Sprachzuweisung.	Kein Kontext zeigt Einheit oder Skala; dieselbe Mobilitaet traegt VORGABE oder blossen Wertslot, und nur sichtbares daiin besitzt den strengeren Parameterlead.	.58	UNSPLIT_EXACT_CARD_ONLY;NO_PAGE_HOST_OR_SUBSTRING_SEMANTICS
OKY	276a7c2d74d1143446f4	10	f10r|f56r|f81v|f82r|f83r	B1|B2|B3|B4|H1|H5	FIRST=1;MIDDLE=6;LAST=2;ONLY=1	0	VERWENDEN?	VERWENDEN?	NEHMEN?	ANWENDEN?	VERB_INFINITIV_ODER_IMPERATIV	KEEP	10/10 Kontexte in Herbal und Bio lassen ein generisches Gebrauchsverb zu; 1 FIRST, 6 MIDDLE, 2 LAST, 1 ONLY.	Knappes Rezeptverb fuer gebrauchen/utere nach bild- oder rubrikgeliefertem Objekt; als Ganzbrevigraf lehrbar, nicht zerlegbar.	In den Biozellen kann dieselbe Karte ebenso einen Posten ausfuehren oder fortsetzen; das verwendete Objekt ist immer still ergaenzt.	.60	UNSPLIT_EXACT_CARD_ONLY;NO_PAGE_HOST_OR_SUBSTRING_SEMANTICS
CTHY	e0b630cb1b5df5e7105b	7	f10r|f11r|f83r	B3|H1|H2|H3	FIRST=0;MIDDLE=6;LAST=1;ONLY=0	0	BEREIT?	BEREIT?	DANN?	FERTIG?	ZUSTANDSADJEKTIV_ODER_TEMPORALPRAEDIKAT	KEEP	7/7 Kontexte dulden Bereitschaft als lokalen Zustand; 6 MIDDLE und 1 LAST, in drei Herbal- und einem Bio-Record.	Statuskuerzel fuer paratus beziehungsweise eine Formel wie wenn bereit; brauchbar in Rezeptfortsetzung und Arbeitszelle.	Mehrere Vorkommen stehen nicht am Prozessende, besonders f10r_R2 vor einem Bereitungsnomen; DANN oder ein formaler Statusslot bleibt fast gleich gut.	.48	UNSPLIT_EXACT_CARD_ONLY;NO_PAGE_HOST_OR_SUBSTRING_SEMANTICS
OR	7a4bb8136330ee4e6e56	7	f10r|f55v|f83r	B3|B4|H2|H4	FIRST=2;MIDDLE=5;LAST=0;ONLY=0	0	BEREITUNG?	BEREITUNG?	FLÜSSIGKEIT?	POSTEN?	SACHNOMEN	KEEP	7/7 Kontexte erlauben ein bereitetes Arbeitsobjekt; 2 FIRST und 5 MIDDLE ueber Herbal und Bio.	Nomen oder Fachsigle fuer praeparatio/confectio, also ein bereits bearbeitetes Werkstueck oder Praeparat ohne festgelegtes Medium.	Die direkte Doppelung in f10r_R2 ist als zweimal Bereitung sprachlich schwer; kein Beleg trennt Praeparat, Fluessigkeit, Posten oder formale Kategorie.	.42	UNSPLIT_EXACT_CARD_ONLY;NO_PAGE_HOST_OR_SUBSTRING_SEMANTICS
AL	dd0ecaf5e27d81befffc	10	f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|H5	FIRST=4;MIDDLE=3;LAST=2;ONLY=1	0	AN?	AN?	DORT?	DAZU?	PRAEPOSITION_ODER_RELATIONSPARTIKEL	KEEP	10/10 Kontexte koennen einen lokalen Zielbezug tragen; 4 FIRST, 3 MIDDLE, 2 LAST und 1 ONLY.	Kurzer ad-locum-Bezug in bildadressierten Rezepten und Stationslisten; das Ziel wird aus Zeichnung oder laufender Rubrik ergaenzt.	FIRST-, LAST- und besonders das Ein-Karten-Feld verlangen ein unsichtbares Komplement; DORT als deiktisches Adverb waere dort grammatisch selbstaendiger.	.43	UNSPLIT_EXACT_CARD_ONLY;NO_PAGE_HOST_OR_SUBSTRING_SEMANTICS
EY	b5df9126607030b95175	4	f11r|f82r|f83r	B2|B4|H3	FIRST=1;MIDDLE=2;LAST=1;ONLY=0	0	KLAR?	KLAR?	FERTIG?	SAUBER?	ZUSTANDSADJEKTIV	KEEP	4/4 Kontexte lassen einen Klarheitszustand zu; 1 FIRST, 2 MIDDLE, 1 LAST auf einer Herbal- und zwei Bioeinheiten.	Qualitaetsprädikat clarus fuer geseihte Fluessigkeit oder klaren Lauf; in Rezepten als Schwellenzustand verwendbar.	f83r.39 steht zwischen abgemessenem Zusatz und Anteil ohne sichtbaren Klaervorgang; zwei von vier V51-Rollen hatten den Wert bereits abgelehnt.	.39	UNSPLIT_EXACT_CARD_ONLY;NO_PAGE_HOST_OR_SUBSTRING_SEMANTICS
OLOR	dec401773c1f0347793d	2	f10r|f81v	B1|H2	FIRST=1;MIDDLE=1;LAST=0;ONLY=0	0	ZUVOR?	VORIGES?	DAVON?	ZUVOR?	ANAPHORISCHES_PRONOMEN_ODER_SUBSTANTIVIERTES_ADJEKTIV	REVISE	2/2 Kontexte verweisen auf einen vorigen Arbeitsbestand, einmal FIRST und einmal MIDDLE, je einmal Herbal und Bio.	Anaphorische Rezeptkuerzung fuer praedictum/idem, das Vorige beziehungsweise Vorgenannte; verweist auf aktiven Ansatz statt nur auf fruehere Zeit.	Nur zwei Belege und kein sichtbarer Antezedent; DAVON, ZUVOR und ein formaler Rueckverweis bleiben praktisch untrennbar.	.36	UNSPLIT_EXACT_CARD_ONLY;NO_PAGE_HOST_OR_SUBSTRING_SEMANTICS
OTCHEY	faf321940aed922846a9	2	f56r|f83r	B4|H5	FIRST=2;MIDDLE=0;LAST=0;ONLY=0	0	TEIL?	NIMM?	TEIL?	DIES?	REZEPTIMPERATIV	REVISE	2/2 Vorkommen stehen feldinitial und leiten eine Objekt-/Zustandsfolge ein; NIMM spart den in beiden lokalen Expansionen ohnehin ergaenzten Imperativ.	Als unteilbares Rezept-Ganzzeichen kann es eine recipe-/nimm-Formel vertreten; der folgende Bild- oder Recordkontext liefert das Objekt.	Zwei Belege reichen nicht, um Handlung von markiertem Teil zu trennen; FRAME_OT kann eine formale Auswahl statt eines Verbs tragen.	.44	UNSPLIT_EXACT_CARD_ONLY;NO_PAGE_HOST_OR_SUBSTRING_SEMANTICS
OKEEY	0275fbf14e07935b0a45	7	f81v|f82r|f83r	B1|B2|B3|B4	FIRST=3;MIDDLE=4;LAST=0;ONLY=0	0	WARM?	WARM?	LAUWARM?	ERWÄRMEN?	TEMPERATURADJEKTIV	KEEP	7/7 Bio-Kontexte lassen einen warmen Zustand zu; 3 FIRST und 4 MIDDLE, haeufig vor SPUELEN oder VERWENDEN.	Temperaturstatus calidus/tepidus fuer Bad, Auflage oder Arbeitsfluessigkeit; als knapper Zustandsvermerk in einer Badezelle plausibel.	Kein Herbal-Vorkommen und kein unabhaengiges Temperaturzeichen; technische Rivaltexte expandieren mehrere Stellen als Fuellen, Bewegen oder Weitergeben.	.52	UNSPLIT_EXACT_CARD_ONLY;NO_PAGE_HOST_OR_SUBSTRING_SEMANTICS
OKE	7db18b2f0fb7ed0fcfd3	8	f81v|f83r	B1|B3|B4	FIRST=0;MIDDLE=0;LAST=5;ONLY=3	8	SPÜLEN?	SPÜLEN?	WASCHEN?	SCHLIESSEN?	HANDLUNGSVERB_IN_TERMINALFORMEL	KEEP	8/8 Bio-Vorkommen koennen einen Spuelgang abschliessen; 5 LAST, 3 ONLY und 8/8 formal TERMINAL.	Kurze lavare-/abluere-Handlung in Bade-, Wasch- oder Irrigationspraxis, fest mit dem lokalen Zellschluss kopiert.	Absolute CLOSE-Konfundierung: Aus den Vorkommen laesst sich SPUELEN nicht von WASCHEN, irgendeiner Endhandlung oder bloss selektiertem Terminalwert isolieren.	.31	UNSPLIT_EXACT_CARD_ONLY;NO_PAGE_HOST_OR_SUBSTRING_SEMANTICS
