audit_serial	card	exact_joint_tuple_id	V60_R3_selected_technical_default	event_serial	page	locus	record_unit_id	field_id	field_position	field_length	physical_line_initial	terminal_status	strict_control_prompt	surface_display_only	previous_exact_id	previous_final_mnemonic	next_exact_id	next_final_mnemonic	LOCAL_IATROMEDICAL_EXPANSION	NONMEDICAL_RIVAL	source_class	process_state_effect	occurrence_fit	strongest_card_contradiction	confidence	binding_basis
1	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	9	f10r	f10r.2	H1	F001	MIDDLE	10	NO	NONCLOSE	VORGABEPARAMETER?	daiin	276a7c2d74d1143446f4	AUSFÜHREN?	a6939862e33ece5a0483	UNKNOWN_EXEMPLAR	Ein vorgeschriebenes Maß	als Standardzusatz ansetzen [lokaler H1-Musterbogenschritt 9/14; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
2	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	22	f10r	f10r.6	H2	F003	MIDDLE	9	NO	NONCLOSE	NONE	taiin	b921a237be883a820352	UNKNOWN_EXEMPLAR	b921a237be883a820352	UNKNOWN_EXEMPLAR	Ein vorgeschriebenes Maß	ausziehen [lokaler H2-Musterbogenschritt 8/24; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
3	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	30	f10r	f10r.8	H2	F004	MIDDLE	8	NO	NONCLOSE	VORGABEPARAMETER?	daiin	dcda95c81a5460feb191	UNKNOWN_EXEMPLAR	4d4559019a961b834aa1	UNKNOWN_EXEMPLAR	Ein vorgeschriebenes Maß	mit einem Träger verbinden [lokaler H2-Musterbogenschritt 16/24; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
4	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	51	f11r	f11r.4	H3	F008	LAST	5	NO	NONCLOSE	VORGABEPARAMETER?	daiin	b921a237be883a820352	UNKNOWN_EXEMPLAR	FIELD_END	FIELD_END	Ein vorgeschriebenes Maß	filtrieren [lokaler H3-Musterbogenschritt 13/17; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
5	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	57	f55v	f55v.5	H4	F010	MIDDLE	5	NO	NONCLOSE	NONE	chaiin	b5fcea1eaed06b2f2291	UNKNOWN_EXEMPLAR	403c1592f918c8f23b88	UNKNOWN_EXEMPLAR	Ein vorgeschriebenes Maß	Blattflotte ansetzen [lokaler H4-Musterbogenschritt 2/18; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
6	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	61	f55v	f55v.5	H4	F011	FIRST	3	NO	NONCLOSE	VORGABEPARAMETER?	daiin	FIELD_START	FIELD_START	6f7ff8287eddf4da9fdb	UNKNOWN_EXEMPLAR	Ein vorgeschriebenes Maß	weichen Rest abteilen [lokaler H4-Musterbogenschritt 6/18; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
7	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	68	f55v	f55v.11	H4	F013	FIRST	6	NO	NONCLOSE	NONE	aiin	FIELD_START	FIELD_START	308e8ea2d5d190c498e8	UNKNOWN_EXEMPLAR	Ein vorgeschriebenes Maß	zwei Arbeitsfraktionen vergleichen [lokaler H4-Musterbogenschritt 13/18; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
8	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	77	f56r	f56r.5	H5	F014	LAST	4	NO	NONCLOSE	VORGABEPARAMETER?	daiin	0ec6a45e2950e8e7061d	UNKNOWN_EXEMPLAR	FIELD_END	FIELD_END	Ein vorgeschriebenes Maß	klebriges Feuchtlandmaterial übernehmen [lokaler H5-Musterbogenschritt 4/27; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
9	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	100	f56r	f56r.19	H5	F020	LAST	3	NO	NONCLOSE	VORGABEPARAMETER?	daiin	9bb7122b386ebbc6138f	UNKNOWN_EXEMPLAR	FIELD_END	FIELD_END	Ein vorgeschriebenes Maß	trocknen und lagern [lokaler H5-Musterbogenschritt 27/27; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
10	AIIN	2f1c5e56e8f0ff459065	SOLLWERT?	116	f81v	f81v.7	B1	F023	MIDDLE	8	NO	NONCLOSE	VORGABEPARAMETER?	daiin	4eab1841ed655c20a348	UNKNOWN_EXEMPLAR	93f69c38fdedee1598e9	UNKNOWN_EXEMPLAR	Ein vorgeschriebenes Maß	Hauptkreislauf beschicken [lokaler B1-Musterbogenschritt 16/66; keine Kartenbedeutung]	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	EXACT_JOINT_TUPLE_ID_ONLY
