card	exact_joint_tuple_id	surface_examples_display_only	V59_R1_previous_mnemonic	V60_R3_selected_technical_default	rival_1	rival_2	source_class	process_state_effect	occurrences_checked	event_serials_checked	pages	record_units	register_counts	field_position_counts	physical_line_initial_count	terminal_count	strict_control_prompt_count	all_occurrence_assessment	strongest_contradiction	confidence	decision	binding_basis
AIIN	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	MASS?	SOLLWERT?	MASS?	DAUER?	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	20	E9,E22,E30,E51,E57,E61,E68,E77,E100,E116,E118,E207,E217,E233,E274,E299,E332,E338,E369,E377	f10r|f11r|f55v|f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	HERBAL=9;BIO=11	FIRST=6;MIDDLE=9;LAST=5;ONLY=0	4	0	11	Generic prescribed reference survives all positions and both registers; exact numeric kind remains a local filler.	No visible scale or unit exists, and five field-final occurrences leave the governed slot implicit.	0.74	REVISE_MASS_TO_BROADER_TECHNICAL_PARAMETER	EXACT_JOINT_TUPLE_ID_ONLY
OKY	276a7c2d74d1143446f4	choky|oky|qoky	VERWENDEN?	AUSFÜHREN?	VERWENDEN?	BUCHEN?	ACTION_EXECUTION_CARD	execute(active_item); advance active_work_state	10	E8,E81,E85,E140,E188,E195,E247,E251,E298,E323	f10r|f56r|f81v|f82r|f83r	B1|B2|B3|B4|H1|H5	HERBAL=3;BIO=7	FIRST=1;MIDDLE=6;LAST=2;ONLY=1	0	0	0	A generic execute instruction covers use, application and facility-cycle continuation without naming the object.	One occurrence is a complete one-card field, so both action and object must be inherited; no external action referent exists.	0.58	REVISE_USE_TO_GENERIC_EXECUTION	EXACT_JOINT_TUPLE_ID_ONLY
CTHY	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	BEREIT?	FREIGABE?	BEREIT?	HALTEN?	STATE_GATE_CARD	active_item.ready := true; permit next operation	7	E14,E16,E54,E271,E279,E289,E310	f10r|f11r|f83r	B3|H1|H2|H3	HERBAL=3;BIO=4	FIRST=0;MIDDLE=6;LAST=1;ONLY=0	0	0	0	Seven nonterminal occurrences act naturally as a gate between preparation and the following local operation.	Six of seven are medial and could be an ordinary connector or inherited stencil prompt rather than a stored readiness state.	0.61	REVISE_READY_TO_EXECUTABLE_RELEASE_GATE	EXACT_JOINT_TUPLE_ID_ONLY
OR	7a4bb8136330ee4e6e56	chor|or|shor|sor	BEREITUNG?	ANSATZ?	BEREITUNG?	CHARGE?	ACTIVE_BATCH_CARD	active_batch := prepared_working_lot	7	E17,E25,E33,E34,E71,E254,E348	f10r|f55v|f83r	B3|B4|H2|H4	HERBAL=5;BIO=2	FIRST=2;MIDDLE=5;LAST=0;ONLY=0	2	0	0	A prepared working lot fits five Herbal and two Bio entries and supports record-level batch bookkeeping.	The exact card occurs twice consecutively in one field; identical adjacent loads may be copying cadence rather than two batches.	0.60	REVISE_PREPARATION_TO_TECHNICAL_BATCH	EXACT_JOINT_TUPLE_ID_ONLY
AL	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	AN?	ZIEL?	AN?	STATION?	TARGET_RELATION_CARD	route.target := pictured_or_local_destination	10	E82,E109,E156,E166,E214,E268,E272,E278,E359,E365	f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|H5	HERBAL=1;BIO=9	FIRST=4;MIDDLE=3;LAST=2;ONLY=1	1	0	0	The target-slot reading tolerates first, medial, last and inherited one-card use across Herbal and Bio.	The only one-card field and several field-initial cases contain no overt route operand; the target is supplied entirely by picture or stencil.	0.50	REVISE_PREPOSITION_TO_TARGET_SLOT	EXACT_JOINT_TUPLE_ID_ONLY
EY	b5df9126607030b95175	cheey|shey	KLAR?	KLARLAUF?	KLAR?	FILTERN?	STATE_THRESHOLD_CARD	flow_state.clarity := threshold_reached	4	E44,E197,E203,E353	f11r|f82r|f83r	B2|B4|H3	HERBAL=1;BIO=3	FIRST=1;MIDDLE=2;LAST=1;ONLY=0	1	0	0	Four open occurrences can mark a clear-flow threshold without importing the filtering apparatus or medium.	The occurrences split across first, medial and last positions; clarity may be a local action expansion rather than a stable state value.	0.49	REVISE_GENERIC_CLEAR_TO_FLOW_THRESHOLD	EXACT_JOINT_TUPLE_ID_ONLY
OLOR	dec401773c1f0347793d	cholor|olor	ZUVOR?	VORLAUF?	ZUVOR?	RÜCKLAUF?	PRIOR_BATCH_RELATION_CARD	link.source := previous_batch_or_run	2	E28,E113	f10r|f81v	B1|H2	HERBAL=1;BIO=1	FIRST=1;MIDDLE=1;LAST=0;ONLY=0	1	0	0	Both occurrences supply a plausible previous-run operand in one Herbal and one Bio record.	There are only two occurrences and both touch an exact LINK card, so the prior relation cannot be isolated from the larger construction.	0.48	REVISE_ANAPHOR_TO_PRIOR_RUN_REFERENCE	EXACT_JOINT_TUPLE_ID_ONLY
OTCHEY	faf321940aed922846a9	otchey	TEIL?	POSTEN?	TEIL?	ABSCHNITT?	MARKED_ITEM_SELECTOR_CARD	active_item := marked_lot_or_section	2	E98,E321	f56r|f83r	B4|H5	HERBAL=1;BIO=1	FIRST=2;MIDDLE=0;LAST=0;ONLY=0	2	0	0	Both line-initial occurrences open a selected subitem before its local specification.	Only two occurrences exist and their plant-part versus apparatus-run owners differ; the formal marked frame may explain all apparent content.	0.40	REVISE_PART_TO_MARKED_WORK_ITEM	EXACT_JOINT_TUPLE_ID_ONLY
OKEEY	0275fbf14e07935b0a45	okeey|qokeey	WARM?	TEMPERIEREN?	WARMHALTEN?	NACHFÜLLEN?	TEMPERATURE_CONTROL_CARD	temperature_state := working_band	7	E153,E175,E194,E205,E293,E317,E322	f81v|f82r|f83r	B1|B2|B3|B4	HERBAL=0;BIO=7	FIRST=3;MIDDLE=4;LAST=0;ONLY=0	1	0	0	Seven Bio occurrences precede or follow filtering, flushing, use and transfer as a reusable temperature-control step.	No scale or independent heat referent is visible, and all evidence comes from one register-local expansion deck.	0.69	REVISE_WARM_TO_EXECUTABLE_TEMPERING	EXACT_JOINT_TUPLE_ID_ONLY
OKE	7db18b2f0fb7ed0fcfd3	qokedy	SPÜLEN?	SPÜLEN?	REINIGEN?	UMWÄLZEN?	FLUSH_ACTION_CARD_CLOSE_CONFOUNDED	working_state := flushed; FORMAL_CLOSE commits field	8	E101,E137,E138,E259,E294,E297,E318,E335	f81v|f83r	B1|B3|B4	HERBAL=0;BIO=8	FIRST=0;MIDDLE=0;LAST=5;ONLY=3	1	8	0	All eight Bio occurrences can end a flush/cleaning cell, including three inherited one-card work cells.	All eight are terminal; the exact card may be an opaque committed categorical value with no independently recoverable flush action.	0.46	KEEP_ACTION_BUT_EXPOSE_CLOSE_CONFOUNDING	EXACT_JOINT_TUPLE_ID_ONLY
