event_serial	page	locus	record	field_id	surface	joint_tuple_id	selected_mnemonic	previous_surface_in_field	next_surface_in_field	field_surface_sequence	field_local_expansion_v59	terminal_status
8	f10r	f10r.2	1	F001	oky	276a7c2d74d1143446f4	ANWENDEN?	otytchol	daiin	dchey cthoor char chty os chair otytchol oky daiin etyd	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	NONCLOSE
9	f10r	f10r.2	1	F001	daiin	2f1c5e56e8f0ff459065	MASS?	oky	etyd	dchey cthoor char chty os chair otytchol oky daiin etyd	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	NONCLOSE
14	f10r	f10r.5	1	F002	cthy	e0b630cb1b5df5e7105b	BEREIT?	chol	FIELD_END	qokchy qotchol chol cthy	gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	NONCLOSE
16	f10r	f10r.6	2	F003	cthy	e0b630cb1b5df5e7105b	BEREIT?	ycheor	chor	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	NONCLOSE
17	f10r	f10r.6	2	F003	chor	7a4bb8136330ee4e6e56	ANSATZ?	cthy	cthaiin	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	NONCLOSE
22	f10r	f10r.6	2	F003	taiin	2f1c5e56e8f0ff459065	MASS?	chy	shy	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	NONCLOSE
25	f10r	f10r.8	2	F004	chor	7a4bb8136330ee4e6e56	ANSATZ?	qotchor	otol	qotchor chor otol chol cholor chol daiin dar	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	NONCLOSE
28	f10r	f10r.8	2	F004	cholor	dec401773c1f0347793d	VORIGES?	chol	chol	qotchor chor otol chol cholor chol daiin dar	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	NONCLOSE
30	f10r	f10r.8	2	F004	daiin	2f1c5e56e8f0ff459065	MASS?	chol	dar	qotchor chor otol chol cholor chol daiin dar	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	NONCLOSE
33	f10r	f10r.9	2	F005	shor	7a4bb8136330ee4e6e56	ANSATZ?	oykchor	chor	oykchor shor chor chy kaiiin dy chodaiin	wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	NONCLOSE
