canonical_card	joint_tuple_id	v59_mnemonic	selected_default_de	v60_mnemonic	source_class	rival_1_de	rival_2_de	occurrences	pages	page_count	records	record_count	register_counts	field_position_counts	terminal_status_counts	predecessor_pressure	successor_pressure	context_pressure	teaching_rule	strongest_contradiction	confidence_numeric	confidence_label	revision_decision	revision_cost	semantic_binding
AIIN	2f1c5e56e8f0ff459065	MASS?	Maß	MASS?	Parameter	Portion	Vorgabe	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	7	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	11	HERBAL:9|BIOLOGICAL:11	FIRST:6|MIDDLE:9|LAST:5	NONCLOSE:20	BOUNDARY:6|OKY:2|OTHER_EXACT:12	BOUNDARY:5|OTHER_EXACT:15	20 Vorkommen auf 7 Seiten und in allen 11 Prosarecords; 6× FIRST, 9× MIDDLE, 5× LAST, stets NONCLOSE; zweimal OKY→AIIN. Der breite Anschlussdruck begünstigt einen frei einsetzbaren Parameter.	Beim vollständigen Tuple nur ‚Maß‘ sagen; Einheit und Zahl aus dem bezeichneten Exemplar übernehmen, niemals aus einer sichtbaren Variante.	Keines der 20 Ereignisse trägt selbst eine sichtbare Einheit oder Zahl; alle gleichlautenden Maß-Expansionen sind aus V59 geerbt und daher nicht unabhängig.	0.78	EXPLORATORY_MEDIUM_HIGH	RETAIN	ZERO: mnemonic label retained; 0 inherited dictionary/event cells changed	EXACT_JOINT_TUPLE_ID_ONLY
OKY	276a7c2d74d1143446f4	VERWENDEN?	verwenden	VERWENDEN?	Verb	anwenden	fortsetzen	10	f10r|f56r|f81v|f82r|f83r	5	B1|B2|B3|B4|H1|H5	6	HERBAL:3|BIOLOGICAL:7	FIRST:1|MIDDLE:6|LAST:2|ONLY:1	NONCLOSE:10	BOUNDARY:2|OKEEY:2|OTHER_EXACT:6	AIIN:2|AL:1|BOUNDARY:3|OTHER_EXACT:4	10 Vorkommen auf 5 Seiten/6 Records; 6× MIDDLE, 2× LAST, 1× FIRST, 1× ONLY; zweimal OKEEY→OKY, zweimal OKY→AIIN und einmal OKY→AL. Das Tuple sitzt plausibel als ausführbarer Handlungspivot.	‚verwenden‘ ist der ganze Kartenprompt; Material, Ziel und Art der Anwendung kommen ausschließlich aus dem lokalen Exemplar.	Ein isoliertes und drei feldabschließende Vorkommen lassen ebenso eine Fortsetzungs- oder Freigabefunktion zu; die technische Rivalprosa ist nicht einheitlich.	0.68	EXPLORATORY_MEDIUM	RETAIN	ZERO: mnemonic label retained; 0 inherited dictionary/event cells changed	EXACT_JOINT_TUPLE_ID_ONLY
CTHY	e0b630cb1b5df5e7105b	BEREIT?	bereit	BEREIT?	Zustand	fertig	reif	7	f10r|f11r|f83r	3	B3|H1|H2|H3	4	HERBAL:3|BIOLOGICAL:4	MIDDLE:6|LAST:1	NONCLOSE:7	AL:1|OTHER_EXACT:6	AL:1|BOUNDARY:1|OR:1|OTHER_EXACT:4	7 Vorkommen auf 3 Seiten/4 Records; 6× MIDDLE und 1× LAST, alle NONCLOSE; je einmal vor OR und AL sowie einmal nach AL. Der Zustandswert ist lokal anschlussfähig.	‚bereit‘ als Zustand prüfen, nicht als Befehl lesen; was bereit ist, bestimmt das Exemplar.	Nur ein Vorkommen steht unmittelbar vor OR; das feldletzte offene Vorkommen kann auch bloß eine Abschnittsmarke oder ein anderer Zustand sein.	0.62	EXPLORATORY_MEDIUM	RETAIN	ZERO: mnemonic label retained; 0 inherited dictionary/event cells changed	EXACT_JOINT_TUPLE_ID_ONLY
OR	7a4bb8136330ee4e6e56	BEREITUNG?	Zubereitung	ZUBEREITUNG?	Nomen	Ansatz	Flüssigkeit	7	f10r|f55v|f83r	3	B3|B4|H2|H4	4	HERBAL:5|BIOLOGICAL:2	FIRST:2|MIDDLE:5	NONCLOSE:7	BOUNDARY:2|CTHY:1|OR:1|OTHER_EXACT:3	OR:1|OTHER_EXACT:6	7 Vorkommen auf 3 Seiten/4 Records; 5× MIDDLE, 2× FIRST, alle NONCLOSE; ein CTHY→OR-Anschluss und ein OR→OR-Doppel. Ein wiederaufnehmbares Arbeitsnomen passt.	Nur ‚Zubereitung‘ benennen; Zusammensetzung, Gefäß und Zustand bleiben im Exemplar. Das OR→OR-Doppel wird zweimal kopiert, nicht zu einer neuen Form verschmolzen.	Die direkte Doppelung ergibt bei wörtlicher Komposition ‚Zubereitung Zubereitung‘; zwei Bio-Vorkommen stehen zudem feldinitial ohne sichtbare Wiederaufnahme.	0.55	EXPLORATORY_MEDIUM_LOW	REVISE	LOW: 1 dictionary mnemonic cell + 7 event mnemonic cells changed; formal values, scopes, expansions, rivals and statuses unchanged	EXACT_JOINT_TUPLE_ID_ONLY
AL	dd0ecaf5e27d81befffc	AN?	dorthin	DORTHIN?	Relation	hinein	weiter	10	f56r|f81v|f82r|f83r	4	B1|B2|B3|B4|B5|H5	6	HERBAL:1|BIOLOGICAL:9	FIRST:4|MIDDLE:3|LAST:2|ONLY:1	NONCLOSE:10	BOUNDARY:5|CTHY:1|OKY:1|OTHER_EXACT:3	BOUNDARY:3|CTHY:1|LCHE:1|OTHER_EXACT:5	10 Vorkommen auf 4 Seiten/6 Records; 4× FIRST, 3× MIDDLE, 2× LAST, 1× ONLY, alle NONCLOSE. Fünf Feldanfänge und Anschlüsse an OKY, CTHY und LCHE stützen eine Deixis.	Bei der Exact-Card ‚dorthin‘ sagen und auf den im Exemplar aktiven Besitzer zeigen; kein Zielnomen in die Karte hineinlesen.	Das Ziel ist in keinem der zehn Tuple-Ereignisse unabhängig identifiziert; besonders das ONLY-Feld kann ebenso eine selbständige Übergabeformel sein.	0.60	EXPLORATORY_MEDIUM	REVISE	LOW: 1 dictionary mnemonic cell + 10 event mnemonic cells changed; formal values, scopes, expansions, rivals and statuses unchanged	EXACT_JOINT_TUPLE_ID_ONLY
EY	b5df9126607030b95175	KLAR?	klar	KLAR?	Zustand	rein	fertig	4	f11r|f82r|f83r	3	B2|B4|H3	3	HERBAL:1|BIOLOGICAL:3	FIRST:1|MIDDLE:2|LAST:1	NONCLOSE:4	BOUNDARY:1|OTHER_EXACT:3	BOUNDARY:1|OTHER_EXACT:3	4 Vorkommen auf 3 Seiten/3 Records, verteilt auf FIRST/MIDDLE/LAST und stets NONCLOSE. Die fehlende Schlussbindung erlaubt einen echten Zwischenzustand.	‚klar‘ nur als prüfbaren Zustand merken; Flüssigkeit, Strom oder Ergebnis nicht mitsprechen.	Vier geerbte Lokalexpansionen unterscheiden Transparenz, Reinheit und Fertigsein nicht; es fehlt ein unabhängiges Kontrastpaar.	0.53	EXPLORATORY_MEDIUM_LOW	RETAIN	ZERO: mnemonic label retained; 0 inherited dictionary/event cells changed	EXACT_JOINT_TUPLE_ID_ONLY
OLOR	dec401773c1f0347793d	ZUVOR?	vom Vorigen	VOM VORIGEN?	Relation	daraus	zuvor	2	f10r|f81v	2	B1|H2	2	HERBAL:1|BIOLOGICAL:1	FIRST:1|MIDDLE:1	NONCLOSE:2	BOUNDARY:1|OTHER_EXACT:1	OTHER_EXACT:2	2 Vorkommen auf 2 Seiten/2 Registern; einmal MIDDLE, einmal FIRST, beide NONCLOSE; beide werden unmittelbar von einer lokalen Weiterführungsform gefolgt.	‚vom Vorigen‘ sprechen und den Antezedenten im Recordregister suchen; keinen Stoffnamen und keine Entnahmehandlung in der Karte ergänzen.	Nur zwei Fälle tragen die Entscheidung; ob die Relation anaphorisch, räumlich oder zeitlich ist, wird allein durch die kreative V59-Prosa unterschieden.	0.42	EXPLORATORY_LOW	REVISE	LOW: 1 dictionary mnemonic cell + 2 event mnemonic cells changed; formal values, scopes, expansions, rivals and statuses unchanged	EXACT_JOINT_TUPLE_ID_ONLY
OTCHEY	faf321940aed922846a9	TEIL?	Anteil	ANTEIL?	Nomen	Portion	Probe	2	f56r|f83r	2	B4|H5	2	HERBAL:1|BIOLOGICAL:1	FIRST:2	NONCLOSE:2	BOUNDARY:2	OKEEY:1|OTHER_EXACT:1	2 Vorkommen auf 2 Seiten/2 Registern; beide feldinitial und NONCLOSE. Danach folgen einmal ein konkreter Pflanzenteil und einmal OKEEY.	Nur ‚Anteil‘ merken; ‚nimm‘ ist eine lokale Exemplaranweisung und kein stilles Verb der Karte.	Zwei feldinitiale Fälle reichen nicht, um Anteil gegen Probe oder bloßen Abschnittsanfang zu trennen; die Auswahlhandlung ist unsichtbar.	0.45	EXPLORATORY_LOW	REVISE	LOW: 1 dictionary mnemonic cell + 2 event mnemonic cells changed; formal values, scopes, expansions, rivals and statuses unchanged	EXACT_JOINT_TUPLE_ID_ONLY
OKEEY	0275fbf14e07935b0a45	WARM?	lauwarm	LAUWARM?	Zustand	warm	temperiert	7	f81v|f82r|f83r	3	B1|B2|B3|B4	4	BIOLOGICAL:7	FIRST:3|MIDDLE:4	NONCLOSE:7	BOUNDARY:3|OTCHEY:1|OTHER_EXACT:3	OKE:2|OKY:2|OTHER_EXACT:3	7 rein biologische Vorkommen auf 3 Seiten/4 Records; 3× FIRST, 4× MIDDLE, alle NONCLOSE; zweimal vor OKY, zweimal vor OKE und einmal nach OTCHEY. Das bildet einen Zustands-Pivot.	‚lauwarm‘ als lokalen Bio-Zustand lesen; weder Erwärmen noch Halten ist Teil des Kartenworts.	Es gibt keinen unabhängigen Heiß/Kalt-Kontrast, und die nichtmedizinischen Lokalschritte tragen keine einheitliche Temperatur; die sieben V59-Expansionen sind vorgeprägt.	0.58	EXPLORATORY_MEDIUM_LOW	REVISE	LOW: 1 dictionary mnemonic cell + 7 event mnemonic cells changed; formal values, scopes, expansions, rivals and statuses unchanged	EXACT_JOINT_TUPLE_ID_ONLY
OKE	7db18b2f0fb7ed0fcfd3	SPÜLEN?	spülen	SPÜLEN?	Verb	reinigen	beenden	8	f81v|f83r	2	B1|B3|B4	3	BIOLOGICAL:8	LAST:5|ONLY:3	TERMINAL:8	BOUNDARY:3|OKEEY:2|OTHER_EXACT:3	BOUNDARY:8	8 rein biologische Vorkommen auf 2 Seiten/3 Records; 3× ONLY, 5× LAST und 8× TERMINAL; zweimal OKEEY→OKE, einmal nach einer lokalen Erstspülung. Das Prozessmotiv ist kohärent.	‚spülen‘ nur als unsicheren Bio-Prompt sprechen; den formalen Feldschluss getrennt ausführen.	Alle 8/8 Fälle sind vollständig mit CLOSE konfundiert; ‚beenden‘ erklärt die Position ohne jede Spülsemantik und ist formal sparsamer.	0.35	EXPLORATORY_LOW	RETAIN	ZERO: mnemonic label retained; 0 inherited dictionary/event cells changed	EXACT_JOINT_TUPLE_ID_ONLY
LCHE	de7321bface5628e35d6	ABLASSEN?	ablassen	ABLASSEN?	Verb	sammeln	beenden	8	f82r|f83r	2	B2|B3|B4	3	BIOLOGICAL:8	LAST:3|ONLY:5	TERMINAL:8	AL:1|BOUNDARY:5|OTHER_EXACT:2	BOUNDARY:8	8 rein biologische Vorkommen auf 2 Seiten/3 Records; 5× ONLY, 3× LAST und 8× TERMINAL; einmal folgt LCHE auf AL, einmal stimmt der technische Ganzdefault ‚unten ablassen‘ überein.	‚ablassen‘ nur im Bio-Deck merken; Zielgefäß und Richtung aus dem Exemplar nehmen und CLOSE weiterhin stumm halten.	Alle 8/8 Fälle sind CLOSE-konfundiert, fünf sogar isoliert; OKE zeigt dieselbe Position mit anderer kreativer Lesung, ohne unabhängiges Merkmal zur Trennung.	0.36	EXPLORATORY_LOW	RETAIN	ZERO: mnemonic label retained; 0 inherited dictionary/event cells changed	EXACT_JOINT_TUPLE_ID_ONLY
