card	joint_tuple_id	surface_examples_display_only	occurrences	pages	selected_short_mnemonic	source_class	direct_role_support	strongest_live_rival	binding	interpretation_status
AIIN	2f1c5e56e8f0ff459065	aiin|chaiin|daiin|saiin|taiin	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	MASS?	PARAMETER_NOUN	R1,R2,R4	SOLLWERT?	EXACT_JOINT_TUPLE_ID_ONLY	CREATIVE_WORKING_VALUE_NOT_TRANSLATION
OKY	276a7c2d74d1143446f4	choky|oky|qoky	10	f10r|f56r|f81v|f82r|f83r	ANWENDEN?	ACTION	R4	VERWENDEN?|AUSFÜHREN?	EXACT_JOINT_TUPLE_ID_ONLY	CREATIVE_WORKING_VALUE_NOT_TRANSLATION
CTHY	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	7	f10r|f11r|f83r	BEREIT?	STATE	R1,R2,R4	FREIGABE?	EXACT_JOINT_TUPLE_ID_ONLY	CREATIVE_WORKING_VALUE_NOT_TRANSLATION
OR	7a4bb8136330ee4e6e56	chor|or|shor|sor	7	f10r|f55v|f83r	ANSATZ?	WORKING_MATERIAL_NOUN	R3,R4	ZUBEREITUNG?	EXACT_JOINT_TUPLE_ID_ONLY	CREATIVE_WORKING_VALUE_NOT_TRANSLATION
AL	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	10	f56r|f81v|f82r|f83r	ZIEL?	RELATION_ARGUMENT	R3,R4	DORTHIN?	EXACT_JOINT_TUPLE_ID_ONLY	CREATIVE_WORKING_VALUE_NOT_TRANSLATION
EY	b5df9126607030b95175	cheey|shey	4	f11r|f82r|f83r	KLAR?	STATE	R1,R2,R4	ENDZUSTAND?	EXACT_JOINT_TUPLE_ID_ONLY	CREATIVE_WORKING_VALUE_NOT_TRANSLATION
OLOR	dec401773c1f0347793d	cholor|olor	2	f10r|f81v	VORIGES?	BACK_REFERENCE	R2,R4	VOM VORIGEN?|VORLAUF?	EXACT_JOINT_TUPLE_ID_ONLY	CREATIVE_WORKING_VALUE_NOT_TRANSLATION
OTCHEY	faf321940aed922846a9	otchey	2	f56r|f83r	ANTEIL?	SELECTION_NOUN	R1,R4	NIMM?|POSTEN?	EXACT_JOINT_TUPLE_ID_ONLY	CREATIVE_WORKING_VALUE_NOT_TRANSLATION
OKEEY	0275fbf14e07935b0a45	okeey|qokeey	7	f81v|f82r|f83r	TEMPERIEREN?	ACTION	R3,R4	LAUWARM?	EXACT_JOINT_TUPLE_ID_ONLY	CREATIVE_WORKING_VALUE_NOT_TRANSLATION
OKE	7db18b2f0fb7ed0fcfd3	qokedy	8	f81v|f83r	SPÜLEN?	TERMINAL_ACTION	R1,R2,R3,R4	SCHRITT_A?	EXACT_JOINT_TUPLE_ID_ONLY	CREATIVE_WORKING_VALUE_NOT_TRANSLATION
LCHE	de7321bface5628e35d6	lchedy	8	f82r|f83r	ABLASSEN?	TERMINAL_ACTION	R1,R2,R4	SCHRITT_B?|ABFÜHREN?	EXACT_JOINT_TUPLE_ID_ONLY	CREATIVE_WORKING_VALUE_NOT_TRANSLATION
