event_serial	page	locus	record	record_unit_id	field_id	field_ordinal_in_locus	event_index_in_locus	event_index_in_record	surface	joint_tuple_id	formal_formula_opaque	FORMAL_VALUE	terminal_status	strict_control_prompt	ATOMIC_OR_WHOLE_CARD_MNEMONIC	mnemonic_scope	LOCAL_IATROMEDICAL_EXPANSION	NONMEDICAL_RIVAL	UNKNOWN_EXEMPLAR_STATUS	source_lineage	V59_R1_PREVIOUS_MNEMONIC	V60_R3_FIELD_POSITION	V60_R3_SOURCE_CLASS	V60_R3_PROCESS_STATE_EFFECT	V60_R3_OCCURRENCE_FIT	V60_R3_CONFIDENCE	V60_R3_BINDING_BASIS	V60_R3_COMPONENT_INHERITANCE	V60_R3_LINE_STATEMENT_STATUS
1	f10r	f10r.2	1	H1	F001	1	1	1	dchey	65f320e75510b2f38182	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR	Nimm die faserige untere Wurzel	Wurzelstoff aus dem Bildlos übernehmen [lokaler H1-Musterbogenschritt 1/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R3	UNKNOWN	FIRST	UNKNOWN_EXEMPLAR	COPY_LOCAL_EXEMPLAR_NO_SEMANTIC_TRANSITION	NOT_IN_V60_ELEVEN_CARD_TARGET_SET	0.00	EXACT_JOINT_TUPLE_ID_ONLY	FORBIDDEN	PHYSICAL_LINE_NOT_SENTENCE
2	f10r	f10r.2	1	H1	F001	1	2	2	cthoor	dedc383b600397a301ee	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR	wasche sie in fließendem Wasser	Wurzelstoff aus dem Bildlos übernehmen [lokaler H1-Musterbogenschritt 2/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R3	UNKNOWN	MIDDLE	UNKNOWN_EXEMPLAR	COPY_LOCAL_EXEMPLAR_NO_SEMANTIC_TRANSITION	NOT_IN_V60_ELEVEN_CARD_TARGET_SET	0.00	EXACT_JOINT_TUPLE_ID_ONLY	FORBIDDEN	PHYSICAL_LINE_NOT_SENTENCE
3	f10r	f10r.2	1	H1	F001	1	3	3	char	4d4559019a961b834aa1	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR	Daraus, aus demselben Ansatz	Wurzelstoff aus dem Bildlos übernehmen [lokaler H1-Musterbogenschritt 3/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R3	UNKNOWN	MIDDLE	UNKNOWN_EXEMPLAR	COPY_LOCAL_EXEMPLAR_NO_SEMANTIC_TRANSITION	NOT_IN_V60_ELEVEN_CARD_TARGET_SET	0.00	EXACT_JOINT_TUPLE_ID_ONLY	FORBIDDEN	PHYSICAL_LINE_NOT_SENTENCE
4	f10r	f10r.2	1	H1	F001	1	4	4	chty	80ebbbbf238eee9f0aef	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR	Gleichmäßig bearbeiten	Wurzelstoff aus dem Bildlos übernehmen [lokaler H1-Musterbogenschritt 4/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R3	UNKNOWN	MIDDLE	UNKNOWN_EXEMPLAR	COPY_LOCAL_EXEMPLAR_NO_SEMANTIC_TRANSITION	NOT_IN_V60_ELEVEN_CARD_TARGET_SET	0.00	EXACT_JOINT_TUPLE_ID_ONLY	FORBIDDEN	PHYSICAL_LINE_NOT_SENTENCE
5	f10r	f10r.2	1	H1	F001	1	5	5	os	df1098831679a8ad1b39	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR	zerstoße sie zu grobem Pulver	wässern [lokaler H1-Musterbogenschritt 5/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R3	UNKNOWN	MIDDLE	UNKNOWN_EXEMPLAR	COPY_LOCAL_EXEMPLAR_NO_SEMANTIC_TRANSITION	NOT_IN_V60_ELEVEN_CARD_TARGET_SET	0.00	EXACT_JOINT_TUPLE_ID_ONLY	FORBIDDEN	PHYSICAL_LINE_NOT_SENTENCE
6	f10r	f10r.2	1	H1	F001	1	6	6	chair	12efe866f335461823a6	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR	gib Rotwein hinzu	wässern [lokaler H1-Musterbogenschritt 6/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R3	UNKNOWN	MIDDLE	UNKNOWN_EXEMPLAR	COPY_LOCAL_EXEMPLAR_NO_SEMANTIC_TRANSITION	NOT_IN_V60_ELEVEN_CARD_TARGET_SET	0.00	EXACT_JOINT_TUPLE_ID_ONLY	FORBIDDEN	PHYSICAL_LINE_NOT_SENTENCE
7	f10r	f10r.2	1	H1	F001	1	7	7	otytchol	62ff059766b21c7de083	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR	trinke es bei Magenschmerz	wässern [lokaler H1-Musterbogenschritt 7/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R3	UNKNOWN	MIDDLE	UNKNOWN_EXEMPLAR	COPY_LOCAL_EXEMPLAR_NO_SEMANTIC_TRANSITION	NOT_IN_V60_ELEVEN_CARD_TARGET_SET	0.00	EXACT_JOINT_TUPLE_ID_ONLY	FORBIDDEN	PHYSICAL_LINE_NOT_SENTENCE
8	f10r	f10r.2	1	H1	F001	1	8	8	oky	276a7c2d74d1143446f4	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	AUSFÜHREN?	CROSS_REGISTER_EXPLORATORY_EXACT_CARD	Die aktive Portion verwenden	als Standardzusatz ansetzen [lokaler H1-Musterbogenschritt 8/14; keine Kartenbedeutung]	MEANING_UNCONFIRMED;MNEMONIC_ONLY;LOCAL_EXPANSION_REQUIRES_EXEMPLAR;V60_R3_EXACT_CARD_TECHNICAL_DEFAULT_EXPLORATORY	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R3	VERWENDEN?	MIDDLE	ACTION_EXECUTION_CARD	execute(active_item); advance active_work_state	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	0.58	EXACT_JOINT_TUPLE_ID_ONLY	FORBIDDEN	PHYSICAL_LINE_NOT_SENTENCE
9	f10r	f10r.2	1	H1	F001	1	9	9	daiin	2f1c5e56e8f0ff459065	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	VORGABEPARAMETER?	SOLLWERT?	CROSS_REGISTER_EXPLORATORY_EXACT_CARD	Ein vorgeschriebenes Maß	als Standardzusatz ansetzen [lokaler H1-Musterbogenschritt 9/14; keine Kartenbedeutung]	MEANING_UNCONFIRMED;MNEMONIC_ONLY;LOCAL_EXPANSION_REQUIRES_EXEMPLAR;V60_R3_EXACT_CARD_TECHNICAL_DEFAULT_EXPLORATORY	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R3	MASS?	MIDDLE	PARAMETER_REFERENCE_CARD	active_slot.value := prescribed_reference	COMPATIBLE_WITH_TECHNICAL_DEFAULT_AND_LOCAL_FILLER	0.74	EXACT_JOINT_TUPLE_ID_ONLY	FORBIDDEN	PHYSICAL_LINE_NOT_SENTENCE
10	f10r	f10r.2	1	H1	F001	1	10	10	etyd	a6939862e33ece5a0483	OPAQUE_PAYLOAD	OPAQUE_EXACT_CARD	NONCLOSE	NONE	UNKNOWN_EXEMPLAR	UNKNOWN_EXEMPLAR	bewahre die übrige Wurzel trocken auf	als Standardzusatz ansetzen [lokaler H1-Musterbogenschritt 10/14; keine Kartenbedeutung]	UNKNOWN;LOCAL_EXPANSION_REQUIRES_EXEMPLAR	V43_DEFAULT>V49_EVENT>V50/V51/V56_STRICT_EXACT_BINDING>V59_R1>V60_R3	UNKNOWN	LAST	UNKNOWN_EXEMPLAR	COPY_LOCAL_EXEMPLAR_NO_SEMANTIC_TRANSITION	NOT_IN_V60_ELEVEN_CARD_TARGET_SET	0.00	EXACT_JOINT_TUPLE_ID_ONLY	FORBIDDEN	PHYSICAL_LINE_NOT_SENTENCE
