left_component	left_value_de	right_component	right_value_de	left_layer	right_layer	card_type_support	event_support	recipe_support	recipes	card_numbers
AIR	LAUF	Y	DIES	STATE_OBJECT_SIGN	DEICTIC_REFERENCE	1	1	1	AIR+Y+DY	PROC162
AL	ZIEL	CHD	UMSETZEN	RELATION_ADDRESS_SIGN	OPERATION_SIGN	1	1	1	AL+CHD+DY	PROC144
AL	ZIEL	DY	SCHLUSS	RELATION_ADDRESS_SIGN	BOUND_ENDPOINT	1	1	1	AL+DY	PROC127
AL	ZIEL	OR	ANSATZ	RELATION_ADDRESS_SIGN	STATE_OBJECT_SIGN	1	1	1	L+AL+OR	PROC173
AL	ZIEL	R	KUEHLEN	RELATION_ADDRESS_SIGN	OPERATION_SIGN	1	1	1	AL+R+OR	PROC148
AL	ZIEL	Y	DIES	RELATION_ADDRESS_SIGN	DEICTIC_REFERENCE	4	4	4	HO+AL+Y|OK+AL+Y|OL+AL+Y|R+AL+Y	PROC053|PROC104|PROC153|PROC172
AR	QUELLE	Y	DIES	RELATION_ADDRESS_SIGN	DEICTIC_REFERENCE	1	1	1	AR+Y	PROC137
CFH	AUSWRINGEN	Y	DIES	OPERATION_SIGN	DEICTIC_REFERENCE	1	1	1	CFH+Y	PROC028
CH	ABNEHMEN	AIR	LAUF	OPERATION_SIGN	STATE_OBJECT_SIGN	1	1	1	CH+AIR	PROC006
CH	ABNEHMEN	CKH	DURCHLASS	OPERATION_SIGN	STATE_OBJECT_SIGN	1	1	1	CH+CKH+AL	PROC163
CH	ABNEHMEN	E	KURZ	OPERATION_SIGN	BOUND_GRADE	5	5	5	CH+E+O+AR|CH+E+S|CH+E+Y|OK+CH+E+O|Y+CH+E+OR	PROC001|PROC015|PROC045|PROC061|PROC124
CH	ABNEHMEN	EE	LANG	OPERATION_SIGN	BOUND_GRADE	1	1	1	CH+EE+CKH+O+DY	PROC057
CH	ABNEHMEN	O	GANG	OPERATION_SIGN	STATE_OBJECT_SIGN	2	2	2	CH+O+AIIN|T+CH+O+DY	PROC025|PROC032
CH	ABNEHMEN	OL	FORTSETZEN	OPERATION_SIGN	RELATION_ADDRESS_SIGN	2	2	2	OT+CH+OL|OT+Y+T+CH+OL	PROC007|PROC012
CH	ABNEHMEN	OR	ANSATZ	OPERATION_SIGN	STATE_OBJECT_SIGN	2	3	2	HO+CH+OR|OT+CH+OR	PROC020|PROC051
CH	ABNEHMEN	Y	DIES	OPERATION_SIGN	DEICTIC_REFERENCE	1	1	1	L+CH+Y	PROC116
CHD	UMSETZEN	AIN	PORTION	OPERATION_SIGN	MEASURE_STAGE_SIGN	1	1	1	CHD+AIN	PROC151
CHD	UMSETZEN	AIR	LAUF	OPERATION_SIGN	STATE_OBJECT_SIGN	1	1	1	CHD+AIR	PROC150
