rule_id	rule_de	scope	effect
G01	Nur eine vollstaendig belegte Komponentenfolge adressiert eine einzelne Karte.	160 Rezepte / 170 komponierte Karten	Lizenz vor Oberflaeche
G02	Die Reihenfolge der Komponenten bleibt erhalten; ein Renderer darf sie nicht vertauschen.	alle 170 Karten	gerichtete Syntax
G03	Die drei Ganzbefehle werden nie aus Komponenten neu gebaut.	3 Karten	Nomenklatorgrenze
G04	Eine lizenzierte DY-Schlusskomponente steht am Ende ihrer Kartenfolge.	37/37 DY-Kartentypen	harte Endposition
G05	E/EE/EEE sind gebundene Grade und verlangen eine Prozessbasis oder eine gelernte Ganzfamilie.	Gradfamilien	kein freies Zeitwort
G06	Nach einem Mengen-/Stufenzeichen folgt derzeit keine Ziel-/Relationsadresse.	0 beobachtete MEASURE→RELATION-Paare	Menge schliesst den Adressblock
G07	R verlangt in allen Kopfkarten zuerst Ziel, Fortsetzung, Halten oder Absetzen.	5/5 R-Kopfkarten	R+Y allein gesperrt
G08	S ist vorlaeufig GETEILT, kein frei produktives TEILEN.	1/1 Karte; nie Kopf	S+AIN gesperrt
G09	Ein abstrakt erlaubtes, aber unbelegtes Rezept darf paraphrasiert, nicht neu geschrieben werden.	5 wahrscheinliche Leerzellen	Mehrkarten-Umschreibung
G10	Der sichtbare Besitzer liefert das konkrete Substantiv; die Komponenten liefern nur die Arbeitsrelation.	alle 11 Records	kein neuer Stoffstamm
