component	working_value_de	working_layer	card_types	events	first_positions	middle_positions	last_positions	predecessors	followers	revision_from_pass700
OK	ANSETZEN	OPERATION_SIGN	23	80	23	1	0	OK:1	AIIN:1|AIN:1|AIR:1|AL:2|AR:1|CH:1|CHD:2|E:2|EE:4|EEE:1|OK:1|OL:2|SH:1|Y:4	UNCHANGED
CHD	UMSETZEN	OPERATION_SIGN	22	48	7	14	1	AL:1|CTH:1|K:1|L:4|O:1|OK:2|OL:1|OT:2|P:2	AIN:1|AIR:1|AL:3|AR:1|DY:12|Y:3	UNCHANGED
SH	HALTEN	OPERATION_SIGN	20	25	16	4	0	OK:1|OL:1|R:1|T:1	CKH:1|E:10|EE:3|K:1|O:2|OL:1|Y:1	UNCHANGED
SHED	ABSETZEN	OPERATION_SIGN	3	15	2	1	0	R:1	AL:1|DY:2	UNCHANGED
CHK	WAERMEN	OPERATION_SIGN	4	7	4	0	0		E:1|EE:3	UNCHANGED
CTH	BEREIT	STATE_OBJECT_SIGN	8	15	4	4	0	E:2|O:2	AIIN:1|CHD:1|E:2|O:1|OL:1|Y:2	UNCHANGED
SOLK	AUFFANGEN	OPERATION_SIGN	5	7	5	0	0		AIIN:1|E:1|EE:2|Y:1	UNCHANGED
P	EINFUELLEN	OPERATION_SIGN	3	3	3	0	0		CHD:2|Y:1	UNCHANGED
LSH	WASCHEN	OPERATION_SIGN	2	3	2	0	0		E:1|O:1	UNCHANGED
CFH	AUSWRINGEN	OPERATION_SIGN	1	1	1	0	0		Y:1	UNCHANGED
CH	ABNEHMEN	OPERATION_SIGN	15	16	7	8	0	HO:1|L:1|OK:1|OT:2|T:2|Y:1	AIR:1|CKH:1|E:5|EE:1|O:2|OL:2|OR:2|Y:1	UNCHANGED
T	EINTRAGEN	OPERATION_SIGN	9	10	4	5	0	E:1|EEE:1|OL:1|Y:2	CH:2|E:1|SH:1|Y:5	UNCHANGED
K	ZUDOSIEREN	OPERATION_SIGN	18	21	10	8	0	E:1|L:1|OL:1|SH:1|Y:4	AIIN:1|AIN:3|AIR:1|AL:1|AN:1|AR:1|CHD:1|E:4|HO:1|IIN:1|OL:1|OR:1|Y:1	UNCHANGED
S	GETEILT	BOUND_RESULT_SIGN	1	1	0	0	1	E:1		TEILEN→GETEILT; nur gebundener Ergebnisrest
L	WEITERLEITEN	OPERATION_SIGN	18	27	18	0	0		AIIN:1|AL:1|AR:1|CH:1|CHD:4|CKH:2|DY:1|EE:1|K:1|O:2|OL:1|Y:1	UNCHANGED
OL	FORTSETZEN	RELATION_ADDRESS_SIGN	25	48	10	1	14	CH:2|CTH:1|E:4|EE:1|K:1|L:1|OK:2|OT:1|R:1|SH:1	AL:1|CHD:1|DY:1|K:1|OR:1|SH:1|T:1|Y:2	UNCHANGED
OT	DANACH	RELATION_ADDRESS_SIGN	16	26	16	0	0		AIIN:1|AL:1|AR:1|CH:2|CHD:2|E:2|EE:2|O:1|OL:1|Y:3	UNCHANGED
AL	ZIEL	RELATION_ADDRESS_SIGN	22	39	4	5	13	CHD:3|CKH:2|E:1|EE:1|HO:1|K:1|L:1|O:1|OK:2|OL:1|OT:1|R:2|SHED:1	CHD:1|DY:1|OR:1|R:1|Y:4	UNCHANGED
AR	QUELLE	RELATION_ADDRESS_SIGN	10	14	2	0	8	CHD:1|EE:1|HO:1|K:1|L:1|O:1|OK:1|OT:1	Y:1	UNCHANGED
AIR	LAUF	STATE_OBJECT_SIGN	5	5	1	0	4	CH:1|CHD:1|K:1|OK:1	Y:1	UNCHANGED
OR	ANSATZ	STATE_OBJECT_SIGN	10	18	2	0	8	AL:1|CH:2|E:1|K:1|O:1|OL:1|R:1	AIN:1	UNCHANGED
HO	ZUTAT	STATE_OBJECT_SIGN	5	8	4	1	0	K:1	AL:1|AR:1|CH:1|Y:1	UNCHANGED
CKH	DURCHLASS	STATE_OBJECT_SIGN	9	14	1	8	0	CH:1|E:2|EE:1|L:2|O:1|SH:1	AL:2|E:3|O:1|Y:3	UNCHANGED
O	GANG	STATE_OBJECT_SIGN	18	19	6	9	3	CH:2|CKH:1|CTH:1|E:2|L:2|LSH:1|OT:1|SH:2	AIIN:1|AIN:1|AL:1|AR:1|CHD:1|CKH:1|CTH:2|DY:3|IIN:1|OR:1|Y:2	UNCHANGED
Y	DIES	DEICTIC_REFERENCE	60	125	5	6	50	AIR:1|AL:4|AR:1|CFH:1|CH:1|CHD:3|CKH:3|CTH:2|E:10|EE:8|HO:1|K:1|L:1|O:2|OK:4|OL:2|OT:3|P:1|SH:1|SOLK:1|T:5	AIIN:1|CH:1|DY:1|K:4|LD:1|T:2	UNCHANGED
AIN	PORTION	MEASURE_STAGE_SIGN	8	18	1	0	7	CHD:1|K:3|O:1|OK:1|OR:1		UNCHANGED
AIIN	MASS	MEASURE_STAGE_SIGN	10	39	1	0	9	CTH:1|E:1|K:1|L:1|O:1|OK:1|OT:1|SOLK:1|Y:1		UNCHANGED
IIN	STUFE	MEASURE_STAGE_SIGN	3	4	0	0	3	DA:1|K:1|O:1		UNCHANGED
E	KURZ	BOUND_GRADE	34	50	3	32	0	CH:5|CHK:1|CKH:3|CTH:2|K:4|LSH:1|OK:2|OT:2|SH:10|SOLK:1|T:1	AIIN:1|AL:1|CKH:2|CTH:2|DY:9|K:1|O:2|OL:4|OR:1|S:1|T:1|Y:10	UNCHANGED
EE	LANG	BOUND_GRADE	17	40	1	16	0	CH:1|CHK:3|L:1|OK:4|OT:2|SH:3|SOLK:2	AL:1|AR:1|CKH:1|DY:5|OL:1|Y:8	UNCHANGED
EEE	VOLL	BOUND_GRADE	2	2	1	1	0	OK:1	DY:1|T:1	UNCHANGED
R	KUEHLEN	OPERATION_SIGN	6	6	5	1	0	AL:1	AL:2|OL:1|OR:1|SH:1|SHED:1	UNCHANGED
AN	NACHGABE	MEASURE_STAGE_SIGN	1	1	0	0	1	K:1		UNCHANGED
DA	ZWEIT	MEASURE_STAGE_SIGN	1	1	1	0	0		IIN:1	UNCHANGED
LD	BEFESTIGEN	OPERATION_SIGN	1	1	0	1	0	Y:1	DY:1	UNCHANGED
DY	SCHLUSS	BOUND_ENDPOINT	37	89	0	0	37	AL:1|CHD:12|E:9|EE:5|EEE:1|L:1|LD:1|O:3|OL:1|SHED:2|Y:1		UNCHANGED
