event_order	event_id	locus	field_id	surface	component_parse	macro_phase	old_event_reading_de	revised_event_reading_de	state_transition	owner_code	closes_step
1	E001	f10r.2	F001	dchey	CH+E+Y	P1_PFLANZENANSATZ	Pflanzenmaterial kurz abziehen	Kurz Material von der abgebildeten Pflanze abnehmen.	FRACTION_CREATED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO
2	E002	f10r.2	F001	cthoor	CTH+O+OR	P1_PFLANZENANSATZ	Ansatz bereit	Aus diesem Material einen bereiten Pflanzenansatz setzen.	BATCH_ACTIVATED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO
3	E003	f10r.2	F001	char	AR	P1_PFLANZENANSATZ	aus dem laufenden Pflanzenansatz	Aus dem laufenden Pflanzenansatz speisen.	ACTIVE_CARRIED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO
4	E004	f10r.2	F001	chty	T+Y	P2_ERSTER_AUSZUG	den laufenden Pflanzenansatz füllen	Den Pflanzenansatz in das Arbeitsfach füllen.	ACTIVE_CARRIED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO
5	E005	f10r.2	F001	os	OS	P2_ERSTER_AUSZUG	ARBEITSFACH	Das örtlich gelernte Auszugsfach oder den Empfänger wählen.	TARGET_ONLY	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO
6	E006	f10r.2	F001	chair	CH+AIR	P2_ERSTER_AUSZUG	Flüssigkeit aus dem Lauf entnehmen	Die erste Laufflüssigkeit aus dem Arbeitsfach abziehen.	FLOW_ACTIVATED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO
7	E007	f10r.2	F001	otytchol	OT+Y+T+CH+OL	P3_ZWEITER_AUSZUG_UND_DOSIS	danach Arbeitsflüssigkeit füllen und weiter abziehen	Danach erneut füllen, weiter ausziehen und die zweite Fraktion gewinnen.	FRACTION_CREATED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO
8	E008	f10r.2	F001	oky	OK+Y	P3_ZWEITER_AUSZUG_UND_DOSIS	verwende abgezogene Flüssigkeitsfraktion	Die zweite Auszugsfraktion verwenden.	ACTIVE_CARRIED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO
9	E009	f10r.2	F001	daiin	AIIN	P3_ZWEITER_AUSZUG_UND_DOSIS	Sollmaß	Die zweite Fraktion auf Sollmaß setzen.	ACTIVE_CARRIED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO
10	E010	f10r.2	F001	etyd	E+T+Y	P3_ZWEITER_AUSZUG_UND_DOSIS	abgezogene Flüssigkeitsfraktion kurz füllen	Die dosierte Auszugsfraktion kurz einfüllen oder ansetzen.	ACTIVE_CARRIED	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO
