rival_id	rival_kind	locus	source_ordinals	target_action_ordinal	expected_source_surfaces	expected_target_surface	plausible_reading_de	rejection_reason
H001	EXPLICIT_REFERENCE_RIVAL	f105v.1	7|9	8	dairody|sairy	ypcheddy	Aus dem Ansatzanteil II Pulver trocknen; alternativ das folgende Samenpulver binden.	GDT682 explicitly retains backward versus forward binding.
H002	EXPLICIT_REFERENCE_RIVAL	f26r.2	3	4	adeeody	ykecthey	Aus dem gleichen abgemessenen Teil die Krautdroge erhitzen und abschließen.	ykecthey remains LOW_EXPLORATORY and lacks a reader-secure occurrence edge.
H003	EXPLICIT_REFERENCE_RIVAL	f26r.2	4-5	6	ykecthey|chedy	ytedy	Die erhitzte Krautdroge nach dem Trockenmittelstand abkühlen und abschließen.	Plausible process-state carry, not a separately licensed object donor.
H004	EXPLICIT_REFERENCE_RIVAL	f77v.7	2|4	3	qolsheedy|rr	qy	Vom eingeweichten Drogenstoff die getrocknete Wurzel nehmen.	qy has reader rivals and no unique occurrence donor tag.
H005	EXPLICIT_REFERENCE_RIVAL	f77v.7	4	5	rr	ycheedy	Die getrocknete Wurzel bis zur Endstufe trocknen.	rr remained open in GDT676 and adjacency alone is insufficient.
H006	EXPLICIT_REFERENCE_RIVAL	f86v5.2	7|9	10	qopchol|ol	ytol	Den genommenen Pulverstoff oder den Grundansatz als Quelle der Kühlung lesen.	Two concrete local donors compete.
H007	EXPLICIT_REFERENCE_RIVAL	f86v5.24	1-2	3	oar|aiin	ykain	Den Anteil I des Ansatzes in Menge III auf Stufe II erhitzen.	Plausible two-token donor block without older exclusive binding.
P001	PROXIMITY_ONLY	f105r.31	4	5	ar	aiijy	Den Drogenanteil I in drei Bündel abfüllen und schließen.	No written deictic or registered object edge.
P002	PROXIMITY_ONLY	f115r.23	4	5	chody	qokcho	Die leicht getrocknete fertige Zubereitung erhitzen, trocknen und ansetzen.	No written deictic or registered object edge.
P003	PROXIMITY_ONLY	f30r.9	6	7	chor	cheky	Den Pflanzenteil bis zur mittleren Trockenstufe bringen und leicht erhitzen.	No written deictic or registered object edge.
P004	PROXIMITY_ONLY	f49r.16	3	4	dchey	qotchody	Die fertige abgemessene Trockenportion abkühlen, trocknen und neu ansetzen.	No written deictic or registered object edge.
P005	PROXIMITY_ONLY	f75r.3	3-4	6	orchey|qey	sheeky	Die genommene Mittelstufenportion einweichen, erhitzen und abschließen.	Ordinal 5 is a competing state and target 6 has no carry marker.
P006	PROXIMITY_ONLY	f80r.17	2	3	sheckhy	sheky	Das feuchte Arzneikompositum einweichen, erhitzen und abschließen.	No written deictic or registered object edge.
P007	PROXIMITY_ONLY	f80r.17	5	6	qokar	sheky	Den heißen Drogenanteil I einweichen, erhitzen und abschließen.	No written deictic or registered object edge.
P008	PROXIMITY_ONLY	f80r.17	5-6	7	qokar|sheky	chetain	Den bearbeiteten heißen Drogenanteil trocknen und auf Kühlstufe II bringen.	Action-result continuation is plausible but not explicitly referenced.
P009	PROXIMITY_ONLY	f80r.17	9-10	11	olkar|okain	sheky	Den heißen Holzansatzanteil I auf Grad II einweichen, erhitzen und abschließen.	Quantified block is plausible but target 11 has no carry marker.
P010	PROXIMITY_ONLY	f86v3.13	2	3	orsheey	tcheody	Die Portion vollständig eingeweichter Droge abkühlen, trocknen und ansetzen.	No written deictic or registered object edge.
