reference_id	locus	reference_ordinal	expected_surface	expected_gloss_de	decision	linked_edge_ids	source_ordinals	target_ordinals	scope_class	provenance	note
R001	f104v.2	1	ychedaiin	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	UNRESOLVED_LINE_INITIAL	NONE	NONE	1	MATERIAL_SOURCE	V68 line begins with the deictic card.	No previous-line donor is invented.
R002	f104v.2	5	ydaiin	davon drei Maße	ADMITTED_WORKING_EDGE	C009	4-5	6	MEASURE_POOL	GDT681 completed line plus exact Maß repetition.	The quantitative edge remains B-tier.
R003	f105r.2	2	yey	hieran anschließend	STRUCTURAL_SEQUENCE_ONLY	NONE	1	3	SEQUENCE_CONNECTOR	GDT695 I001 binds the connector to its immediate right target.	Temporal linkage is not an object carry.
R004	f105v.1	4	ykaiin	erhitze hiervon auf Stufe III	ADMITTED_STRONG_EDGE	C001	3	4	MATERIAL_OBJECT	GDT682 occurrence-specific object audit.	Immediate written Holzpulver donor.
R005	f105v.1	8	ypcheddy	hieraus Pulver bis zur Mittelstufe trocknen	HOLD_OBJECT_RIVAL	NONE	7|9	8	DIRECTION_RIVAL	GDT682 explicitly keeps backward dairody versus following sairy open.	No V69 edge chooses either direction.
R006	f107r.2	12	qeeey	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	PROCESS_SCOPE_ONLY	NONE	1-11	12	PROCESS_CONTINUATION	GDT679 selects vorstehende Behandlung after a process.	Carries a work block, not a material object.
R007	f113v.17	7	yteeeor	hiervon eine Portion bis zur letzten Stufe abkühlen	ADMITTED_STRONG_EDGE	C002	6	7	PORTION_SUBSET	GDT679 exact occurrence pair.	Unique written three-portion donor.
R008	f114r.26	1	ycheeodaiin	hiervon drei Dosen des zweiten Trockenansatzes abmessen	UNRESOLVED_LINE_INITIAL	NONE	NONE	1	MATERIAL_SOURCE	V68 line begins with the deictic card.	No cross-line donor is invented.
R009	f23r.6	2	y	Hierzu:	STRUCTURAL_SEQUENCE_ONLY	NONE	1	3	RIGHT_BOUND_CONNECTOR	GDT695 I002 binds only the immediate right target.	The punctuation link does not choose an object role.
R010	f23r.6	5	yky	hierzu leicht erhitzen	UNRESOLVED_LOCAL_RIVAL	NONE	1|3-4	5	DESTINATION_OR_OBJECT_RIVAL	Several preceding material/state candidates remain live.	Keep hierzu without an expanded noun.
R011	f23r.6	11	ytcho	hieraus eine kalte Trockenmischung herstellen	UNRESOLVED_LOCAL_RIVAL	NONE	6-10	11	SOURCE_RIVAL	The measured share, starting material, dry portion, quantity and dose form an unresolved chain.	No nearest-noun selection.
R012	f26r.2	4	ykecthey	hiervon Krautdroge bis zur Mittelstufe erhitzen und abschließen	HOLD_OBJECT_RIVAL	NONE	3	4	SOURCE_TO_MATERIAL	GDT681 card remains LOW_EXPLORATORY and is not reader-secure.	Deictic wording survives; unique object edge does not.
R013	f26r.2	6	ytedy	hiervon bis zur Mittelstufe abkühlen und abschließen	HOLD_OBJECT_RIVAL	NONE	4-5	6	ACTION_RESULT	Plausible process-state carry but no separately licensed object donor.	Do not turn state adjacency into a general carry.
