statement_id	station_id	selected_function_de	source_visible_sequence	source_event_count	owned_event_ids	owned_event_count	owner_scope	station_reading_de	strongest_limit
B3-S001	F83_STATION_1	SAMMEL- UND TEMPERIERSTELLE	olkeedy	1	E229	1	FULL_STATEMENT	In der Sammelstelle länger sammeln; Schluss.	Die offene Randform stützt eine lokale Station; Wärme und Flussrichtung stammen aus der Kartenlesung, nicht aus einem sichtbaren Pfeil.
B3-S002	F83_STATION_1	SAMMEL- UND TEMPERIERSTELLE	qotal chkeedy	2	E230|E231	2	FULL_STATEMENT	Zur Temperierstelle wechseln und dort länger wärmen; Schluss.	Die offene Randform stützt eine lokale Station; Wärme und Flussrichtung stammen aus der Kartenlesung, nicht aus einem sichtbaren Pfeil.
B3-S003	F83_STATION_1	SAMMEL- UND TEMPERIERSTELLE	chey daiin chey lchedy	4	E232|E233|E234|E235	4	FULL_STATEMENT	Diesen Bestand auf Sollwert setzen, als denselben Bestand halten und abführen; Schluss.	Die offene Randform stützt eine lokale Station; Wärme und Flussrichtung stammen aus der Kartenlesung, nicht aus einem sichtbaren Pfeil.
B3-S004	F83_STATION_1	SAMMEL- UND TEMPERIERSTELLE	qokaiin qotal dar	3	E236|E237|E238	3	FULL_STATEMENT	Davon bemessen und zur folgenden Stelle bringen.	Die offene Randform stützt eine lokale Station; Wärme und Flussrichtung stammen aus der Kartenlesung, nicht aus einem sichtbaren Pfeil.
B3-S005	F83_STATION_2	ÜBERGABE- UND HALTEGEFÄSS	schedy	1	E239	1	FULL_STATEMENT	In das runde Übergabegefäß überführen; Schluss.	Die runde Gefäßform stützt einen lokalen Behälter; Inhalt, Dauer und Richtung werden nur aus der Kartenfolge ergänzt.
B3-S006	F83_STATION_2	ÜBERGABE- UND HALTEGEFÄSS	chedchy qokal olchedy	3	E240|E241|E242	3	FULL_STATEMENT	Den Posten übertragen, am Ziel einsetzen und im Haltegefäß weiterführen; Schluss.	Die runde Gefäßform stützt einen lokalen Behälter; Inhalt, Dauer und Richtung werden nur aus der Kartenfolge ergänzt.
B3-S007	F83_STATION_2	ÜBERGABE- UND HALTEGEFÄSS	qokaiin chedy qokeedy	3	E243|E244|E245	3	FULL_STATEMENT	Bemessen, überführen und im Haltegefäß länger einwirken lassen; Schluss.	Die runde Gefäßform stützt einen lokalen Behälter; Inhalt, Dauer und Richtung werden nur aus der Kartenfolge ergänzt.
B3-S008	F83_STATION_2	ÜBERGABE- UND HALTEGEFÄSS	lchedy	1	E246	1	FULL_STATEMENT	Aus dem Haltegefäß abführen; Schluss.	Die runde Gefäßform stützt einen lokalen Behälter; Inhalt, Dauer und Richtung werden nur aus der Kartenfolge ergänzt.
B3-S009	F83_STATION_2	ÜBERGABE- UND HALTEGEFÄSS	qoky	1	E247	1	FULL_STATEMENT	In den nächsten Gang einsetzen.	Die runde Gefäßform stützt einen lokalen Behälter; Inhalt, Dauer und Richtung werden nur aus der Kartenfolge ergänzt.
B3-S010	F83_STATION_3	PORTIONS- UND ABSETZGEFÄSS	pchedal otedy	2	E248|E249	2	FULL_STATEMENT	Dem Portionsgefäß zuführen und kurz fortsetzen; Schluss.	Die korbartige Gefäßform stützt einen lokalen Empfänger; Filter, Stoff und globale Netzrichtung bleiben unbestimmt.
B3-S011	F83_STATION_3	PORTIONS- UND ABSETZGEFÄSS	shecthedchy qoky chedy chary	4	E250|E251|E252|E253	4	FULL_STATEMENT	Die Vorbereitung übertragen, einsetzen und zum Quellposten weiterführen.	Die korbartige Gefäßform stützt einen lokalen Empfänger; Filter, Stoff und globale Netzrichtung bleiben unbestimmt.
B3-S012	F83_STATION_3	PORTIONS- UND ABSETZGEFÄSS	sor shedy	2	E254|E255	2	FULL_STATEMENT	Den Ansatz im Gefäß kurz absetzen lassen; Schluss.	Die korbartige Gefäßform stützt einen lokalen Empfänger; Filter, Stoff und globale Netzrichtung bleiben unbestimmt.
B3-S013	F83_STATION_3	PORTIONS- UND ABSETZGEFÄSS	qokaiin chkain shcthey qokedy	4	E256|E257|E258|E259	4	FULL_STATEMENT	Eine Portion bemessen, kurz vorbereiten und kurz einwirken lassen; Schluss.	Die korbartige Gefäßform stützt einen lokalen Empfänger; Filter, Stoff und globale Netzrichtung bleiben unbestimmt.
B3-S014	F83_STATION_3	PORTIONS- UND ABSETZGEFÄSS	okair sheedy	2	E260|E261	2	FULL_STATEMENT	In den Lauf einsetzen und im Gefäß länger absetzen lassen; Schluss.	Die korbartige Gefäßform stützt einen lokalen Empfänger; Filter, Stoff und globale Netzrichtung bleiben unbestimmt.
B3-S015	F83_STATION_3	PORTIONS- UND ABSETZGEFÄSS	lchedy	1	E262	1	FULL_STATEMENT	Aus dem Absetzgefäß abführen; Schluss.	Die korbartige Gefäßform stützt einen lokalen Empfänger; Filter, Stoff und globale Netzrichtung bleiben unbestimmt.
B3-S016	F83_STATION_3	PORTIONS- UND ABSETZGEFÄSS	lo qokchedy	2	E263	1	PARTIAL_BEFORE_OWNER_BREAK	Aus dem Absetzgefäß abziehen; danach wechselt der sichtbare Besitzer.	E264 gehört bereits zum ungelösten Zwischenposten und wird nicht der Station zugeschlagen.
