commission_event	statement_no	statement_card_position	owner_id	silent_owner_de	card_no	component_recipe	role	selected_existing_surface	all_existing_surface_options	atomic_backreading_de	new_card	new_surface
CE01	C01	1	PLANT_OWNER	abgebildete breitblaettrige Pflanze und ihr entnommener Teil	PROC009	AIIN	QUANTITY_STAGE	daiin	aiin|chaiin|daiin|saiin|taiin	MASS	NO	NO
CE02	C01	2	PLANT_OWNER	abgebildete breitblaettrige Pflanze und ihr entnommener Teil	PROC008	OK+Y	CURRENT_ITEM	qoky	choky|oky|qoky	ANSETZEN · DIES	NO	NO
CE03	C02	1	PLANT_OWNER	abgebildete breitblaettrige Pflanze und ihr entnommener Teil	PROC056	HO+Y	CURRENT_ITEM	choy	choy	ZUTAT · DIES	NO	NO
CE04	C02	2	PLANT_OWNER	abgebildete breitblaettrige Pflanze und ihr entnommener Teil	PROC016	OR	PREPARATION	chor	chor|or|shor|sor	ANSATZ	NO	NO
CE05	C03	1	PLANT_OWNER	abgebildete breitblaettrige Pflanze und ihr entnommener Teil	PROC084	LSH+O	OPEN_ACTION	lsho	lsho	WASCHEN · GANG	NO	NO
CE06	C03	2	PLANT_OWNER	abgebildete breitblaettrige Pflanze und ihr entnommener Teil	PROC031	SH+EE+Y	CURRENT_ITEM	shey	cheey|shey	HALTEN · LANG · DIES	NO	NO
CE07	C04	1	PLANT_OWNER	abgebildete breitblaettrige Pflanze und ihr entnommener Teil	PROC028	CFH+Y	CURRENT_ITEM	cfhy	cfhy	AUSWRINGEN · DIES	NO	NO
CE08	C04	2	PLANT_OWNER	abgebildete breitblaettrige Pflanze und ihr entnommener Teil	PROC078	SHED+DY	CLOSE_STEP	shedy	cheedy|shedy|tedy	ABSETZEN · SCHLUSS	NO	NO
CE09	C05	1	BASIN_STATION	lokale Becken-/Leitungsstation, die den vorbereiteten Ansatz uebernimmt	PROC009	AIIN	QUANTITY_STAGE	daiin	aiin|chaiin|daiin|saiin|taiin	MASS	NO	NO
CE10	C05	2	BASIN_STATION	lokale Becken-/Leitungsstation, die den vorbereiteten Ansatz uebernimmt	PROC048	OK+AL	TARGET	qokal	okal|qokal	ANSETZEN · ZIEL	NO	NO
CE11	C06	1	BASIN_STATION	lokale Becken-/Leitungsstation, die den vorbereiteten Ansatz uebernimmt	PROC147	L+AIIN	QUANTITY_STAGE	chldaiin	chldaiin	WEITERLEITEN · MASS	NO	NO
CE12	C06	2	BASIN_STATION	lokale Becken-/Leitungsstation, die den vorbereiteten Ansatz uebernimmt	PROC150	CHD+AIR	FLOW	schedair	schedair	UMSETZEN · LAUF	NO	NO
CE13	C07	1	BASIN_STATION	lokale Becken-/Leitungsstation, die den vorbereiteten Ansatz uebernimmt	PROC083	CHK+E+Y	CURRENT_ITEM	cheky	cheky	WAERMEN · KURZ · DIES	NO	NO
CE14	C07	2	BASIN_STATION	lokale Becken-/Leitungsstation, die den vorbereiteten Ansatz uebernimmt	PROC041	O+DY	CLOSE_STEP	ody	ody	GANG · SCHLUSS	NO	NO
