state_bank_id	physical_page	owner_de	register	event_count	first_event_id	last_event_id	explicit_action_update_count	explicit_argument_update_count	inherited_action_use_count	inherited_argument_use_count	final_active_action	final_active_argument
BANK001	f10r	zweiknolliges blauköpfiges Heilkraut	HERBAL	92	G407-E0215	G407-E0306	51	69	41	23	T	OR
BANK002	f11r	blühender dreikroniger Sodenstock	HERBAL	59	G407-E0307	G407-E0365	32	42	27	15	T	Y
BANK003	f13r	große Wurzelkrone mit Blatt und Blütenstand	HERBAL	77	G407-E0366	G407-E0442	47	51	30	26	OK	Y
BANK004	f17r	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	HERBAL	78	G407-E0443	G407-E0520	54	39	24	37	CH	Y
BANK005	f18r	große abgebildete Blütenpflanze	HERBAL	84	G407-E0521	G407-E0604	51	48	33	34	CH	AIIN
BANK006	f1r	F1R_TEXT_BLOCK_A	SOURCE_SECTION_T	46	G407-E0001	G407-E0046	33	28	13	18	SH	Y
BANK007	f1r	F1R_TEXT_BLOCK_B	SOURCE_SECTION_T	25	G407-E0047	G407-E0071	17	12	7	11	T	AIN
BANK008	f1r	F1R_TEXT_BLOCK_C	SOURCE_SECTION_T	88	G407-E0072	G407-E0159	57	49	30	39	K	Y
BANK009	f1r	F1R_TEXT_BLOCK_D	SOURCE_SECTION_T	55	G407-E0160	G407-E0214	36	29	19	25	CH	AIIN
BANK010	f24v	F24V_WHOLE_PLANT	HERBAL	86	G407-E0605	G407-E0690	56	33	30	52	CH	AIIN
BANK011	f55v	große aromatische Doldenpflanze	HERBAL	106	G407-E0691	G407-E0796	58	67	48	39	S	AIIN
BANK012	f56r	stachelköpfiges Kraut in mehreren Reifestufen	HERBAL	105	G407-E0797	G407-E0901	70	65	34	37	K	AIIN
BANK013	f67r2	zwei getrennte Himmelsräder und Tabelle	CELESTIAL	126	G407-E0902	G407-E1027	65	73	61	51	OK	Y
BANK014	f68r1	mehrteilige Sternstellentafel	CELESTIAL	31	G407-E1028	G407-E1058	30	19	1	12	K	Y
BANK015	f71v	dritte lokale Ringgruppe	CELESTIAL	11	G407-E1126	G407-E1136	8	6	3	5	K	Y
BANK016	f71v	erste lokale Figuren-/Sternringgruppe	CELESTIAL	37	G407-E1059	G407-E1095	21	20	16	15	K	Y
BANK017	f71v	zweite lokale Figuren-/Sternringgruppe	CELESTIAL	30	G407-E1096	G407-E1125	17	9	13	18	SH	OR
BANK018	f72r	Tierkreis-Ringgruppe A	CELESTIAL	42	G407-E1137	G407-E1178	23	15	18	26	OK	AIIN
BANK019	f72r	Tierkreis-Ringgruppe B	CELESTIAL	27	G407-E1179	G407-E1205	13	13	13	13	OK	Y
BANK020	f72r	Tierkreis-Ringgruppe C	CELESTIAL	13	G407-E1206	G407-E1218	6	7	7	5	K	Y
BANK021	f72r	Tierkreis-Ringgruppe D	CELESTIAL	41	G407-E1219	G407-E1259	19	20	20	20	S	AIIN
BANK022	f72r	Tierkreis-Ringgruppe E	CELESTIAL	26	G407-E1260	G407-E1285	12	14	13	12	S	AIIN
BANK023	f72r	Tierkreis-Ringgruppe F	CELESTIAL	15	G407-E1286	G407-E1300	6	8	6	5	OK	Y
BANK024	f72r	Tierkreis-Ringgruppe G	CELESTIAL	47	G407-E1301	G407-E1347	28	23	19	24	SH	AIN
BANK025	f72r	Tierkreis-Ringgruppe H	CELESTIAL	41	G407-E1348	G407-E1388	22	20	19	20	K	Y
BANK026	f72r	Tierkreis-Ringgruppe I	CELESTIAL	27	G407-E1389	G407-E1415	13	11	13	16	K	Y
BANK027	f72r	Tierkreis-Ringgruppe J	CELESTIAL	9	G407-E1416	G407-E1424	4	6	5	2	K	Y
BANK028	f75r	großes Bad-/Stationsblatt mit dreieckiger Insel	BIOLOGICAL	408	G407-E1425	G407-E1832	272	190	136	218	CHD	OR
BANK029	f76r	unbebilderter Textabschnitt A0	BIOLOGICAL	37	G407-E1833	G407-E1869	27	23	10	14	CHD	Y
BANK030	f76r	unbebilderter Textabschnitt A1	BIOLOGICAL	26	G407-E1870	G407-E1895	19	11	7	14	CHD	AIN
BANK031	f76r	unbebilderter Textabschnitt A2	BIOLOGICAL	28	G407-E1896	G407-E1923	17	16	10	12	CHD	Y
BANK032	f76r	unbebilderter Textabschnitt A3	BIOLOGICAL	39	G407-E1924	G407-E1962	26	21	13	17	S	Y
BANK033	f76r	unbebilderter Textabschnitt A4	BIOLOGICAL	36	G407-E1963	G407-E1998	25	20	11	16	OK	OR
BANK034	f76r	unbebilderter Textabschnitt A5	BIOLOGICAL	35	G407-E1999	G407-E2033	23	15	12	20	SH	AIN
BANK035	f76r	unbebilderter Textabschnitt A6	BIOLOGICAL	53	G407-E2034	G407-E2086	29	39	24	12	CH	Y
BANK036	f76r	unbebilderter Textabschnitt A7	BIOLOGICAL	39	G407-E2087	G407-E2125	27	26	12	12	S	Y
BANK037	f76r	unbebilderter Textabschnitt A8	BIOLOGICAL	69	G407-E2126	G407-E2194	47	35	22	32	OK	Y
BANK038	f76r	unbebilderter Textabschnitt A9	BIOLOGICAL	6	G407-E2195	G407-E2200	3	3	0	3	CH	Y
BANK039	f76r	unbebilderter Textabschnitt B	BIOLOGICAL	58	G407-E2201	G407-E2258	38	33	20	19	CHD	Y
BANK040	f76r	unbebilderter Textabschnitt C	BIOLOGICAL	76	G407-E2259	G407-E2334	52	44	24	31	R	Y
BANK041	f76r	unbebilderter Textabschnitt D	BIOLOGICAL	58	G407-E2335	G407-E2392	40	28	18	30	SH	Y
BANK042	f77r	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	BIOLOGICAL	321	G407-E2393	G407-E2713	212	149	109	169	OK	Y
BANK043	f81r	F81R_LOWER_POOL	BIOLOGICAL	116	G407-E2808	G407-E2923	68	51	48	63	S	AIIN
BANK044	f81r	F81R_UPPER_POOL	BIOLOGICAL	94	G407-E2714	G407-E2807	53	43	41	51	OK	Y
BANK045	f81v	gemeinsames zweireihiges Badfeld	BIOLOGICAL	253	G407-E2924	G407-E3176	175	127	78	125	CH	Y
BANK046	f82r	mehrere getrennte Bad- und Leitungsstationen	BIOLOGICAL	278	G407-E3177	G407-E3454	205	148	73	130	R	Y
BANK047	f83r	Variantenatlas lokaler Becken und Anwendungen	BIOLOGICAL	341	G407-E3455	G407-E3795	254	164	87	177	T	AIN
BANK048	f88r	sechzehn Drogenposten und drei Gefäßansätze	PHARMA	134	G407-E3796	G407-E3929	92	61	42	73	CH	OR
BANK049	f88v	erste Gefaess-/Zutatengruppe	PHARMA	39	G407-E3930	G407-E3968	28	22	11	14	K	Y
BANK050	f88v	zweite Gefaess-/Zutatengruppe	PHARMA	92	G407-E3969	G407-E4060	62	56	30	34	R	Y
BANK051	f89r	Gefäß-/Pflanzenteilgruppe A	PHARMA	47	G407-E4061	G407-E4107	29	27	17	18	CH	AIIN
BANK052	f89r	Gefäß-/Pflanzenteilgruppe B	PHARMA	35	G407-E4108	G407-E4142	13	18	22	14	CH	AIN
BANK053	f89r	Gefäß-/Pflanzenteilgruppe C	PHARMA	44	G407-E4143	G407-E4186	22	25	22	17	CH	AIIN
BANK054	f89r	Gefäß-/Pflanzenteilgruppe D	PHARMA	44	G407-E4187	G407-E4230	28	25	16	10	K	Y
BANK055	f89r	Gefäß-/Pflanzenteilgruppe E	PHARMA	62	G407-E4231	G407-E4292	40	33	22	28	K	Y
BANK056	f89r	Gefäß-/Pflanzenteilgruppe F	PHARMA	106	G407-E4293	G407-E4398	61	54	44	52	OK	Y
BANK057	f95v	F95V_WHOLE_PLANT	HERBAL	178	G407-E4399	G407-E4576	124	104	54	71	T	Y
