component_recipe	intake_tier	register	explicit_action_roots	explicit_argument_roots	context_readiness	required_incoming_action	required_incoming_argument	empty_state_clause_de	sample_incoming_action	sample_incoming_argument	state_supplied_clause_de
AIIN+AIN	T2_FUTURE_STRONG	SOURCE_SECTION_T	NONE	AIIN|AIN	NEEDS_INCOMING_ACTION_FOR_FULL_CLAUSE	YES	NO	Bezug: den Kennwert und den Teilwert.	OK	NONE	Im laufenden Gang trage den Kennwert und den Teilwert ein.
AIIN+AIN	T2_FUTURE_STRONG	HERBAL	NONE	AIIN|AIN	NEEDS_INCOMING_ACTION_FOR_FULL_CLAUSE	YES	NO	Bezug: den Arbeitswert und den Materialanteil.	OK	NONE	Im laufenden Gang setze den Arbeitswert und den Materialanteil im Arbeitsgang an.
AIIN+AIN	T2_FUTURE_STRONG	BIOLOGICAL	NONE	AIIN|AIN	NEEDS_INCOMING_ACTION_FOR_FULL_CLAUSE	YES	NO	Bezug: den Stationswert und den Stationsanteil.	OK	NONE	Im laufenden Gang setze den Stationswert und den Stationsanteil im Stationsgang an.
AIIN+AIN	T2_FUTURE_STRONG	CELESTIAL	NONE	AIIN|AIN	NEEDS_INCOMING_ACTION_FOR_FULL_CLAUSE	YES	NO	Bezug: den Positionswert und den Sektoranteil.	OK	NONE	Im laufenden Gang setze den Positionswert und den Sektoranteil.
AIIN+AIN	T2_FUTURE_STRONG	PHARMA	NONE	AIIN|AIN	NEEDS_INCOMING_ACTION_FOR_FULL_CLAUSE	YES	NO	Bezug: den Mengenwert und den Drogenanteil.	OK	NONE	Im laufenden Gang setze den Mengenwert und den Drogenanteil als Ansatz an.
AIN+Y	T2_FUTURE_STRONG	SOURCE_SECTION_T	NONE	AIN|Y	NEEDS_INCOMING_ACTION_FOR_FULL_CLAUSE	YES	NO	Bezug: den Teilwert und den laufenden Eintrag.	OK	NONE	Im laufenden Gang trage den Teilwert und den laufenden Eintrag ein.
AIN+Y	T2_FUTURE_STRONG	HERBAL	NONE	AIN|Y	NEEDS_INCOMING_ACTION_FOR_FULL_CLAUSE	YES	NO	Bezug: den Materialanteil und den Pflanzenposten.	OK	NONE	Im laufenden Gang setze den Materialanteil und den Pflanzenposten im Arbeitsgang an.
AIN+Y	T2_FUTURE_STRONG	BIOLOGICAL	NONE	AIN|Y	NEEDS_INCOMING_ACTION_FOR_FULL_CLAUSE	YES	NO	Bezug: den Stationsanteil und den Stationsposten.	OK	NONE	Im laufenden Gang setze den Stationsanteil und den Stationsposten im Stationsgang an.
AIN+Y	T2_FUTURE_STRONG	CELESTIAL	NONE	AIN|Y	NEEDS_INCOMING_ACTION_FOR_FULL_CLAUSE	YES	NO	Bezug: den Sektoranteil und den Positionsposten.	OK	NONE	Im laufenden Gang setze den Sektoranteil und den Positionsposten.
AIN+Y	T2_FUTURE_STRONG	PHARMA	NONE	AIN|Y	NEEDS_INCOMING_ACTION_FOR_FULL_CLAUSE	YES	NO	Bezug: den Drogenanteil und den Drogenposten.	OK	NONE	Im laufenden Gang setze den Drogenanteil und den Drogenposten als Ansatz an.
