statement_id	record_unit_id	page	loci	owner_slot	event_count	surface_sequence	family_sequence_de	register_expansion_sequence_de	two_layer_statement_de	contains_revised_family	terminal_status
H1-S001	H1	f10r	f10r.2	abgebildete Pflanze auf f10r	10	dchey · cthoor · char · chty · os · chair · otytchol · oky · daiin · etyd	Wurzel; BEDINGUNGSANSATZ + BEREIT; VON_QUELLE; TEIL; AUFNAHME; LAUF_BAHN + ZUGIESSEN; FOLGEPOSTEN + FOLGETEIL; EINSETZEN + DIES_AKTUELLER_POSTEN; SOLLWERT; kleiner Rest	Wurzel; den Ansatz bereitstellen; davon; Teil; Aufnahmegefäß; laufendes Medium zugießen; Folgeteil; einsetzen; Sollmaß; kleiner Rest	Beim Besitzer abgebildete Pflanze auf f10r: Wurzel => Wurzel | BEDINGUNGSANSATZ + BEREIT => den Ansatz bereitstellen | VON_QUELLE => davon | TEIL => Teil | AUFNAHME => Aufnahmegefäß | LAUF_BAHN + ZUGIESSEN => laufendes Medium zugießen | FOLGEPOSTEN + FOLGETEIL => Folgeteil | EINSETZEN + DIES_AKTUELLER_POSTEN => einsetzen | SOLLWERT => Sollmaß | kleiner Rest => kleiner Rest	NO	OPEN
H1-S002	H1	f10r	f10r.5	abgebildete Pflanze auf f10r	4	qokchy · qotchol · chol · cthy	EINSETZEN + DIES_AKTUELLER_POSTEN; WEITER_GLEICHER_LAUF + FOLGEPOSTEN; WEITER_GLEICHER_LAUF; DIES_AKTUELLER_POSTEN + BEREIT	den laufenden Posten einsetzen und weiterbearbeiten; zum Folgegang wechseln; weiter; bereit	Beim Besitzer abgebildete Pflanze auf f10r: EINSETZEN + DIES_AKTUELLER_POSTEN => den laufenden Posten einsetzen und weiterbearbeiten | WEITER_GLEICHER_LAUF + FOLGEPOSTEN => zum Folgegang wechseln | WEITER_GLEICHER_LAUF => weiter | DIES_AKTUELLER_POSTEN + BEREIT => bereit	NO	OPEN
H2-S001	H2	f10r	f10r.6	abgebildete Pflanze auf f10r	9	ycheor · cthy · chor · cthaiin · qoctholy · dy · chy · taiin · shy	BEDINGUNGSANSATZ + AUSZUG; DIES_AKTUELLER_POSTEN + BEREIT; BEDINGUNGSANSATZ; SOLLWERT + BEREIT; WEITER_GLEICHER_LAUF + FOLGEPOSTEN + DIES_AKTUELLER_POSTEN; DIES_AKTUELLER_POSTEN; DIES_AKTUELLER_POSTEN; SOLLWERT; DIES_AKTUELLER_POSTEN	aktueller Auszugsansatz; bereit; Ansatz; die Sollvorbereitung setzen; danach mit diesem Posten weiter; dies; dies; Sollmaß; dies	Beim Besitzer abgebildete Pflanze auf f10r: BEDINGUNGSANSATZ + AUSZUG => aktueller Auszugsansatz | DIES_AKTUELLER_POSTEN + BEREIT => bereit | BEDINGUNGSANSATZ => Ansatz | SOLLWERT + BEREIT => die Sollvorbereitung setzen | WEITER_GLEICHER_LAUF + FOLGEPOSTEN + DIES_AKTUELLER_POSTEN => danach mit diesem Posten weiter | DIES_AKTUELLER_POSTEN => dies | DIES_AKTUELLER_POSTEN => dies | SOLLWERT => Sollmaß | DIES_AKTUELLER_POSTEN => dies	NO	OPEN
H2-S002	H2	f10r	f10r.8	abgebildete Pflanze auf f10r	8	qotchor · chor · otol · chol · cholor · chol · daiin · dar	FOLGEPOSTEN + BEDINGUNGSANSATZ; BEDINGUNGSANSATZ; WEITER_GLEICHER_LAUF + FOLGEPOSTEN; WEITER_GLEICHER_LAUF; WEITER_GLEICHER_LAUF + BEDINGUNGSANSATZ; WEITER_GLEICHER_LAUF; SOLLWERT; VON_QUELLE	Folgeansatz; Ansatz; danach im selben Gang weiter; weiter; derselbe Ansatz; weiter; Sollmaß; davon	Beim Besitzer abgebildete Pflanze auf f10r: FOLGEPOSTEN + BEDINGUNGSANSATZ => Folgeansatz | BEDINGUNGSANSATZ => Ansatz | WEITER_GLEICHER_LAUF + FOLGEPOSTEN => danach im selben Gang weiter | WEITER_GLEICHER_LAUF => weiter | WEITER_GLEICHER_LAUF + BEDINGUNGSANSATZ => derselbe Ansatz | WEITER_GLEICHER_LAUF => weiter | SOLLWERT => Sollmaß | VON_QUELLE => davon	NO	OPEN
H2-S003	H2	f10r	f10r.9	abgebildete Pflanze auf f10r	7	oykchor · shor · chor · chy · kaiiin · dy · chodaiin	BEDINGUNGSANSATZ + GEFAESS; BEDINGUNGSANSATZ; BEDINGUNGSANSATZ; DIES_AKTUELLER_POSTEN; STUFE + ARGUMENTBINDER; DIES_AKTUELLER_POSTEN; SOLLWERT + EINGABE	Gefäß für den Ansatz; Ansatz; Ansatz; dies; die Arbeitsstufe setzen; dies; Zugabemaß	Beim Besitzer abgebildete Pflanze auf f10r: BEDINGUNGSANSATZ + GEFAESS => Gefäß für den Ansatz | BEDINGUNGSANSATZ => Ansatz | BEDINGUNGSANSATZ => Ansatz | DIES_AKTUELLER_POSTEN => dies | STUFE + ARGUMENTBINDER => die Arbeitsstufe setzen | DIES_AKTUELLER_POSTEN => dies | SOLLWERT + EINGABE => Zugabemaß	YES	OPEN
H3-S001	H3	f11r	f11r.1	abgebildete Pflanze auf f11r	7	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody	Kochgut; Sudansatz; auswringen; SOLLWERT + STEHZEIT; nachseihen; Klarlauf; kalt stellen; Schluss	Kochgut; Sudansatz; auswringen; eine vorgeschriebene Stehzeit einhalten; nachseihen; Klarlauf; kalt stellen; Schluss	Beim Besitzer abgebildete Pflanze auf f11r: Kochgut => Kochgut | Sudansatz => Sudansatz | auswringen => auswringen | SOLLWERT + STEHZEIT => eine vorgeschriebene Stehzeit einhalten | nachseihen => nachseihen | Klarlauf => Klarlauf | kalt stellen; Schluss => kalt stellen; Schluss	YES	CLOSED
H3-S002	H3	f11r	f11r.1	abgebildete Pflanze auf f11r	1	shoyty	FOLGETEIL	Zugabeteil	Beim Besitzer abgebildete Pflanze auf f11r: FOLGETEIL => Zugabeteil	NO	OPEN
H3-S003	H3	f11r	f11r.4	abgebildete Pflanze auf f11r	5	dchol · chy · kchy · dy · daiin	VORIGER; DIES_AKTUELLER_POSTEN; DIES_AKTUELLER_POSTEN + ARGUMENTBINDER; DIES_AKTUELLER_POSTEN; SOLLWERT	vom vorigen Arbeitsgang nehmen; dies; den laufenden Posten bearbeiten; dies; Sollmaß	Beim Besitzer abgebildete Pflanze auf f11r: VORIGER => vom vorigen Arbeitsgang nehmen | DIES_AKTUELLER_POSTEN => dies | DIES_AKTUELLER_POSTEN + ARGUMENTBINDER => den laufenden Posten bearbeiten | DIES_AKTUELLER_POSTEN => dies | SOLLWERT => Sollmaß	NO	OPEN
H3-S004	H3	f11r	f11r.7	abgebildete Pflanze auf f11r	4	qotchy · okchol · cthy · dy	FOLGEPOSTEN + DIES_AKTUELLER_POSTEN; EINSETZEN; DIES_AKTUELLER_POSTEN + BEREIT; DIES_AKTUELLER_POSTEN	zum nächsten Posten wechseln; die Fortsetzung einsetzen; bereit; dies	Beim Besitzer abgebildete Pflanze auf f11r: FOLGEPOSTEN + DIES_AKTUELLER_POSTEN => zum nächsten Posten wechseln | EINSETZEN => die Fortsetzung einsetzen | DIES_AKTUELLER_POSTEN + BEREIT => bereit | DIES_AKTUELLER_POSTEN => dies	NO	OPEN
H4-S001	H4	f55v	f55v.5	abgebildete Pflanze auf f55v	5	qokaiin · chaiin · ykain · ykan · ody	EINSETZEN + SOLLWERT; SOLLWERT; PORTION; ZWEITE_PORTION; FESTSETZEN + ZURUECKNEHMEN	bemessen; Sollmaß; erste Portion; zweite Portion; aus der Wärme nehmen und abkühlen; Schluss; Arbeitsschritt festsetzen	Beim Besitzer abgebildete Pflanze auf f55v: EINSETZEN + SOLLWERT => bemessen | SOLLWERT => Sollmaß | PORTION => erste Portion | ZWEITE_PORTION => zweite Portion | FESTSETZEN + ZURUECKNEHMEN => aus der Wärme nehmen und abkühlen; Schluss; Arbeitsschritt festsetzen	YES	CLOSED
