master_card_id	master_form	registered_surfaces	old_component_parse	family_parse	family_literal_de	card_class_279	local_prose_default_de	contains_revised_family	prose_event_count
MC001	chdal	chdal	CHD_TRANSFER+AL_TO	AL+CHED_TRANSFER	ZU_ZIEL + UEBERFUEHREN	COMPOSED_FROM_36_FAMILIES	Zieltransfer	YES	1
MC002	okeey	okeey|qokeey	OK_SET+GRADE_2+Y_CURRENT_ITEM	OK+E_GRADE+Y	EINSETZEN + GRAD + DIES_AKTUELLER_POSTEN	COMPOSED_FROM_36_FAMILIES	LAENGER_SETZEN_ODER_HALTEN	YES	7
MC003	sheedy	sheedy	SHED_SETTLE+GRADE_2+DY_CLOSE	E_GRADE+DY+SHED	GRAD + FESTSETZEN + ABSETZEN	COMPOSED_FROM_36_FAMILIES	Langabsetzen; Schluss	YES	1
MC004	ldy	ldy	L_OUT+CLOSE_EXACT	L+DY	AB + FESTSETZEN	COMPOSED_FROM_36_FAMILIES	abziehen; Schluss	YES	2
MC005	okchedy	okchedy|qokchedy	OK_SET+CHED_TRANSFER_PREVIOUS_ITEM+CLOSE	OK+DY+CHED_TRANSFER	EINSETZEN + FESTSETZEN + UEBERFUEHREN	COMPOSED_FROM_36_FAMILIES	vorigen Posten überführen; Schluss	YES	2
MC006	chokcheo	chokcheo	OK + CHEO	OK+CHEO	EINSETZEN + AUSZUG	COMPOSED_FROM_36_FAMILIES	Auszug einsetzen	NO	1
MC007	okey	okey|qokey	OK_SET+GRADE_1+Y_CURRENT_ITEM	OK+E_GRADE+Y	EINSETZEN + GRAD + DIES_AKTUELLER_POSTEN	COMPOSED_FROM_36_FAMILIES	KURZ_SETZEN	YES	2
MC008	lchy	lchy	LCH_WITHDRAW+Y_ITEM	L+Y	AB + DIES_AKTUELLER_POSTEN	COMPOSED_FROM_36_FAMILIES	Abführgut	NO	1
MC009	chary	chary	AR_FROM+Y_CURRENT	AR+Y	VON_QUELLE + DIES_AKTUELLER_POSTEN	COMPOSED_FROM_36_FAMILIES	Quellposten	NO	1
MC010	chodaly	chodaly	CHO + AL + Y	Y+CHO_INPUT	DIES_AKTUELLER_POSTEN + EINGABE	COMPOSED_FROM_36_FAMILIES	Zugabe am aktuellen Ziel	YES	1
MC011	lchedar	lchedar	L_OUT+CHED_TRANSFER+AR_FROM	AR+L+CHED_TRANSFER	VON_QUELLE + AB + UEBERFUEHREN	COMPOSED_FROM_36_FAMILIES	Quellabführung	YES	1
MC012	dl	dl	DL_BATH_ADDITIVE_WHOLE_CARD	WHOLE_SIGN[dl]	Zusatz	MEMORIZED_WHOLE_SIGN	Zusatz	NO	2
MC013	otchor	otchor|qotchor	OT + OR	OT+OR	FOLGEPOSTEN + BEDINGUNGSANSATZ	COMPOSED_FROM_36_FAMILIES	Folgeansatz	NO	2
MC014	chair	chair	CH + AIR	AIR+CH_POUR	LAUF_BAHN + ZUGIESSEN	COMPOSED_FROM_36_FAMILIES	laufendes Medium zugießen	NO	1
MC015	qokokchy	qokokchy	OK + OK + Y	OK+Y	EINSETZEN + DIES_AKTUELLER_POSTEN	COMPOSED_FROM_36_FAMILIES	denselben Posten erneut einsetzen	NO	1
MC016	rol	rol	R_FRAME+OL_CONTINUE	OL	WEITER_GLEICHER_LAUF	COMPOSED_FROM_36_FAMILIES	Anschluss	NO	1
MC017	okain	okain|qokain	OK+AIN_PORTION	OK+AIN	EINSETZEN + PORTION	COMPOSED_FROM_36_FAMILIES	Anteil zugeben	NO	7
MC018	qotedaiin	qotedaiin	OT_FOLLOW+E_SHORT+AIIN_MEASURE	OT+AIIN+E_GRADE	FOLGEPOSTEN + SOLLWERT + GRAD	COMPOSED_FROM_36_FAMILIES	Kurzsoll	YES	1
MC019	oldy	oldy	OL_CONTINUE+DY_CLOSE	OL+DY	WEITER_GLEICHER_LAUF + FESTSETZEN	COMPOSED_FROM_36_FAMILIES	fertig	YES	2
