event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	card_value_de	five_habit_class	matching_extreme_profiles	fit_status	same_habit_profile_forms	registered_surface	master_recovery
3	H1-S001	H1	f10r	char	MC055	davon	OPEN_CH_ENTRY	MASTER_BARE|CH_OPEN_HAND|Q_CELL_HAND	PROFILE_REPRODUCED	char	YES	EXACT
4	H1-S001	H1	f10r	chty	MC086	Anteil	OPEN_CH_ENTRY	NONE	REGISTERED_MICRO_ALLOGRAPH_WITHIN_HABIT	chety	YES	EXACT
8	H1-S001	H1	f10r	oky	MC026	einsetzen	BARE_OR_INTERNAL	MASTER_BARE|S_FLOW_HAND|HARD_COMPACT_HAND	PROFILE_REPRODUCED	oky	YES	EXACT
9	H1-S001	H1	f10r	daiin	MC039	Sollmaß	HARD_D_T_ENTRY	HARD_COMPACT_HAND	PROFILE_REPRODUCED	daiin	YES	EXACT
11	H1-S002	H1	f10r	qokchy	MC103	weiterbearbeiten	Q_CELL_ENTRY	Q_CELL_HAND	PROFILE_REPRODUCED	qokchy	YES	EXACT
13	H1-S002	H1	f10r	chol	MC153	weiter	OPEN_CH_ENTRY	NONE	REGISTERED_MICRO_ALLOGRAPH_WITHIN_HABIT	cheol	YES	EXACT
14	H1-S002	H1	f10r	cthy	MC161	bereit	BARE_OR_INTERNAL	MASTER_BARE|Q_CELL_HAND|HARD_COMPACT_HAND	PROFILE_REPRODUCED	cthy	YES	EXACT
16	H2-S001	H2	f10r	cthy	MC161	bereit	BARE_OR_INTERNAL	MASTER_BARE|Q_CELL_HAND|HARD_COMPACT_HAND	PROFILE_REPRODUCED	cthy	YES	EXACT
17	H2-S001	H2	f10r	chor	MC080	Ansatz	OPEN_CH_ENTRY	CH_OPEN_HAND	PROFILE_REPRODUCED	chor	YES	EXACT
20	H2-S001	H2	f10r	dy	MC123	dies	HARD_D_T_ENTRY	HARD_COMPACT_HAND	PROFILE_REPRODUCED	dy	YES	EXACT
21	H2-S001	H2	f10r	chy	MC123	dies	OPEN_CH_ENTRY	NONE	REGISTERED_MICRO_ALLOGRAPH_WITHIN_HABIT	chey	YES	EXACT
22	H2-S001	H2	f10r	taiin	MC039	Sollmaß	HARD_D_T_ENTRY	NONE	REGISTERED_MICRO_ALLOGRAPH_WITHIN_HABIT	daiin	YES	EXACT
23	H2-S001	H2	f10r	shy	MC123	dies	S_FLOW_ENTRY	NONE	REGISTERED_MICRO_ALLOGRAPH_WITHIN_HABIT	sy	YES	EXACT
24	H2-S002	H2	f10r	qotchor	MC013	Folgeansatz	Q_CELL_ENTRY	Q_CELL_HAND	PROFILE_REPRODUCED	qotchor	YES	EXACT
25	H2-S002	H2	f10r	chor	MC080	Ansatz	OPEN_CH_ENTRY	CH_OPEN_HAND	PROFILE_REPRODUCED	chor	YES	EXACT
27	H2-S002	H2	f10r	chol	MC153	weiter	OPEN_CH_ENTRY	NONE	REGISTERED_MICRO_ALLOGRAPH_WITHIN_HABIT	cheol	YES	EXACT
28	H2-S002	H2	f10r	cholor	MC157	derselbe Ansatz	OPEN_CH_ENTRY	CH_OPEN_HAND	PROFILE_REPRODUCED	cholor	YES	EXACT
29	H2-S002	H2	f10r	chol	MC153	weiter	OPEN_CH_ENTRY	NONE	REGISTERED_MICRO_ALLOGRAPH_WITHIN_HABIT	cheol	YES	EXACT
30	H2-S002	H2	f10r	daiin	MC039	Sollmaß	HARD_D_T_ENTRY	HARD_COMPACT_HAND	PROFILE_REPRODUCED	daiin	YES	EXACT
